ENSEMBL	ENTREZID	SYMBOL	DESCRIPTION	LPS100.B100.vs.Ctrl.micro.logFC	LPS100.B100.vs.Ctrl.micro.p.value
ENSOARG00000000615	101122206	RBBP9	RB binding protein 9, serine hydrolase	-1.30320842740179	0.0174789417430647
ENSOARG00000000627	101107309	CIT	citron rho-interacting serine/threonine kinase	-1.01922684801351	0.017399639538487
ENSOARG00000000630				1.20627949232825	0.0168301880307347
ENSOARG00000000633	101105744	IQUB	IQ motif and ubiquitin domain containing	1.93664327180033	0.00156326303388856
ENSOARG00000000654	101112078	MAD2L2	mitotic arrest deficient 2 like 2	0.925098443827075	0.0126852890058044
ENSOARG00000000668		ARRDC1	arrestin domain containing 1	-0.731508139162222	0.018283826574104
ENSOARG00000000670	101106412	ASL	argininosuccinate lyase	-0.902365642139509	0.0327037201466706
ENSOARG00000000680	101105164	ELMSAN1	ELM2 and Myb/SANT domain containing 1	-1.05405247676895	0.0223752379103025
ENSOARG00000000685	101114825	B4GALT2	beta-1,4-galactosyltransferase 2	-0.58444288552371	0.0379498611678698
ENSOARG00000000687				-0.844900990919058	0.0295266489458429
ENSOARG00000000697	101104467	TNNT3	troponin T3, fast skeletal type	1.84272096059338	0.0422322569098884
ENSOARG00000000701	101110479	ERLIN2	ER lipid raft associated 2	-0.806182908378298	0.0446649537318532
ENSOARG00000000703				0.872372744262429	0.0386719035892109
ENSOARG00000000726	101105000	PTGR2	prostaglandin reductase 2	-0.763658499404141	0.0192197842785375
ENSOARG00000000728		RAB12	RAB12, member RAS oncogene family	0.793718718452077	0.0274939227741481
ENSOARG00000000732	101109650	XPC	XPC complex subunit, DNA damage recognition and repair factor	-1.48185319836971	0.000264316183199886
ENSOARG00000000735	101106216	CHTOP	chromatin target of PRMT1	0.96046842476248	0.00758287596162832
ENSOARG00000000737	101109087	CCDC138	coiled-coil domain containing 138	-1.67252703288889	0.00488780860362092
ENSOARG00000000742	101121551	DNAJA4	DnaJ heat shock protein family (Hsp40) member A4	0.905155624962696	0.00706064414172871
ENSOARG00000000745	101102495	CSPP1	centrosome and spindle pole associated protein 1	-0.644350065142853	0.0326639793888856
ENSOARG00000000756	101111809	ZNF770	zinc finger protein 770	-1.60203384290359	0.00175355638168124
ENSOARG00000000757	101120539	MYNN	myoneurin	1.15406081031365	0.00298864808438617
ENSOARG00000000758	101123177	SNAPIN	SNAP associated protein	-0.638101533008731	0.019614485786366
ENSOARG00000000762				-1.69254566941585	0.00511577451988497
ENSOARG00000000787	101106476	ILF2	interleukin enhancer binding factor 2	1.02598534356287	0.00689067102162426
ENSOARG00000000791	101114199	HEBP2	heme binding protein 2	2.0318696091021	0.011857610781905
ENSOARG00000000798				1.1089583026382	0.00238328418893228
ENSOARG00000000800	101122599	PEX11G	peroxisomal biogenesis factor 11 gamma	-1.22327039776837	0.00433393695192926
ENSOARG00000000804	101103087	KATNB1	katanin regulatory subunit B1	-0.876235774285682	0.00316018626814807
ENSOARG00000000805	101120792	ACTRT3	actin related protein T3	1.29281228241165	0.0194473387199136
ENSOARG00000000807		PXDC1	PX domain containing 1	0.980536353097589	0.018283826574104
ENSOARG00000000808	101114029	ZC3H3	zinc finger CCCH-type containing 3	-0.8492674579651	0.00495784950496108
ENSOARG00000000826	101105664	COQ6	coenzyme Q6, monooxygenase	-0.639362573603749	0.0292013998968383
ENSOARG00000000840	101118387	HPS4	HPS4, biogenesis of lysosomal organelles complex 3 subunit 2	-0.546377465824833	0.0467972082499775
ENSOARG00000000846	101122529	CCDC28A	coiled-coil domain containing 28A	-0.859928799754017	0.00329797942377775
ENSOARG00000000853	101115235	DLEC1	DLEC1, cilia and flagella associated protein	-1.32680085582857	0.0486264547745437
ENSOARG00000000855		SH3RF3	SH3 domain containing ring finger 3	-1.75708499090867	0.00209950369649799
ENSOARG00000000865		HCFC1R1	host cell factor C1 regulator 1	-0.767677065719955	0.0364029786674329
ENSOARG00000000869	101104881	LMTK2	lemur tyrosine kinase 2	1.74573284643527	0.00123571822457445
ENSOARG00000000875	101117499	TPM4	tropomyosin 4	0.82251363499695	0.0216232311513223
ENSOARG00000000881	101122309	IREB2	iron responsive element binding protein 2	0.682316615526512	0.0493611315310791
ENSOARG00000000884	101119504	SAAL1	serum amyloid A like 1	-1.10372986858823	0.0408841390367482
ENSOARG00000000909	101117811	THOC6	THO complex 6	-0.774362612748686	0.0403613924073135
ENSOARG00000000916		TNFAIP8L3	TNF alpha induced protein 8 like 3	-0.726022680687758	0.0339169254393483
ENSOARG00000000920		PNPLA7	patatin like phospholipase domain containing 7	-0.657054518587395	0.0203394575868485
ENSOARG00000000925	101110514	EID1	EP300 interacting inhibitor of differentiation 1	-0.634025944124815	0.0212796056625069
ENSOARG00000000926	101114870	ENOPH1	enolase-phosphatase 1	-0.672056046476005	0.0291391550891859
ENSOARG00000000948	101110086	HSD17B12	hydroxysteroid 17-beta dehydrogenase 12	1.20748269714912	0.0250046516866098
ENSOARG00000000952	101122615	SEC23B	Sec23 homolog B, coat complex II component	0.573137746345833	0.02340080184731
ENSOARG00000000957	101122555	HYKK	hydroxylysine kinase	-1.52548589222139	0.00936818518634878
ENSOARG00000000960	101109933	XPO6	exportin 6	1.2819128459291	0.00194804766189827
ENSOARG00000000962	101114282	RHPN1	rhophilin Rho GTPase binding protein 1	-1.33732960739533	0.00773447612772808
ENSOARG00000000963	101109235	TMEM53	transmembrane protein 53	-1.61882000017492	0.000674900397733227
ENSOARG00000000964	101121258	ZNF358	zinc finger protein 358	-0.937826726257379	0.00238381556348591
ENSOARG00000000965	101113376	ZNF511	zinc finger protein 511	-1.06609999725784	0.00988691901434198
ENSOARG00000000977		SEPT10	septin 10	-0.530166514101534	0.036676174946785
ENSOARG00000000985	101110657	LOC101110657	bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 2-like	1.31395172162278	0.00982376884321526
ENSOARG00000001013	101103734	RNF19A	ring finger protein 19A, RBR E3 ubiquitin protein ligase	1.86935095032183	0.00425884472468409
ENSOARG00000001014	101113205	PDK1	pyruvate dehydrogenase kinase 1	-1.05947672004459	0.00362368316503602
ENSOARG00000001022	101103214	CSTF2	cleavage stimulation factor subunit 2	0.517947089942737	0.0424584253922295
ENSOARG00000001039	101106317	RAP1B	RAP1B, member of RAS oncogene family	1.37446293356148	0.00634536205188024
ENSOARG00000001040	101111575	REXO2	RNA exonuclease 2	-0.817361812056154	0.0102556822527211
ENSOARG00000001081	101121931	MCOLN1	mucolipin 1	-0.549833454905818	0.0496203669212142
ENSOARG00000001093	101112170	NME6	NME/NM23 nucleoside diphosphate kinase 6	-0.841788834207787	0.00395034630354786
ENSOARG00000001098	101103914	ZNF319	zinc finger protein 319	-1.3492557603701	0.0191826668140128
ENSOARG00000001099				-0.967842200482234	0.00181906523848169
ENSOARG00000001117	101117959	ZNF784	zinc finger protein 784	-0.913278057461123	0.0298340402154849
ENSOARG00000001119				-0.760003746612076	0.00849282278860117
ENSOARG00000001124	101111426	EIF4EBP1	eukaryotic translation initiation factor 4E binding protein 1	-0.608363995849778	0.049886529252721
ENSOARG00000001127				-0.834223375033611	0.0239202056665961
ENSOARG00000001142	101113512	ITPKB	inositol-trisphosphate 3-kinase B	-0.893150086622655	0.0470041245388543
ENSOARG00000001160	101105821	ARAP3	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3	-1.01895457211888	0.00444877741160688
ENSOARG00000001161		MMP25	matrix metallopeptidase 25	2.08411939355853	0.00296237893009157
ENSOARG00000001165	101108558		BOLA class I histocompatibility antigen, alpha chain BL3-7-like	0.743495874773781	0.0371539251978608
ENSOARG00000001174				-1.18469995909012	0.0116618837038674
ENSOARG00000001181	101109080	LOC101109080	HLA class I histocompatibility antigen, Cw-4 alpha chain-like	0.755500015653939	0.037467247554095
ENSOARG00000001187	101113656	ITGA6	integrin subunit alpha 6	-1.3818464753062	0.028210738768495
ENSOARG00000001191	101121849	TMEM140	transmembrane protein 140	1.1712978638553	0.0231669394642387
ENSOARG00000001195	101108001		adenylate cyclase type 10-like	-1.14163515410209	0.0152323471132273
ENSOARG00000001199	101110929	KIAA1841	KIAA1841 ortholog	-1.37634244512212	0.0419958759152019
ENSOARG00000001200		LUZP6	leucine zipper protein 6	1.25907467937426	0.00492504714646161
ENSOARG00000001211	101104170	CFAP20	cilia and flagella associated protein 20	-0.607711647828107	0.0244490458712474
ENSOARG00000001240	101118674	PEF1	penta-EF-hand domain containing 1	-1.25215722518283	0.000666199563124435
ENSOARG00000001248				-1.20869442599813	0.0204179428292413
ENSOARG00000001261	101104833	SPAG1	sperm associated antigen 1	0.869737133657293	0.00757107326521778
ENSOARG00000001262	443061	BCL2L1	BCL2 like 1	1.50600167965451	0.00157026738070833
ENSOARG00000001275	101112710	CRIP2	cysteine rich protein 2	-1.12315797304548	0.00218498739085099
ENSOARG00000001297		NOXA1	NADPH oxidase activator 1	-1.43053624779117	0.011367949696148
ENSOARG00000001301	101116171	RRM1	ribonucleotide reductase catalytic subunit M1	-0.910031549419517	0.00237285572453543
ENSOARG00000001302	101113640	TUBGCP2	tubulin gamma complex associated protein 2	-0.718852627851688	0.029071826992047
ENSOARG00000001311	101108583	NDEL1	nudE neurodevelopment protein 1 like 1	0.965662578190236	0.0168301880307347
ENSOARG00000001319	101119270	ZNF205	zinc finger protein 205	-1.16150820199822	0.00249574801493376
ENSOARG00000001322	101102339	FBXO22	F-box protein 22	-0.603646388031082	0.0187519411777886
ENSOARG00000001325	101118503	BAG4	BCL2 associated athanogene 4	0.60004999834932	0.0251794458082338
ENSOARG00000001329				1.68914589861272	0.000775477707911652
ENSOARG00000001338	101121901	CGGBP1	CGG triplet repeat binding protein 1	0.740337400540546	0.017000199986725
ENSOARG00000001349	101120012	ISOC2	isochorismatase domain containing 2	-0.735650201213022	0.0490626923096815
ENSOARG00000001352	101105838	SMG7	SMG7, nonsense mediated mRNA decay factor	0.962345685935112	0.0461760291724631
ENSOARG00000001354	101103337	COMMD3	BMI1 proto-oncogene, polycomb ring finger	-0.99945910981798	0.00186069113919736
ENSOARG00000001355				-2.3174034058289	0.00172780407851327
ENSOARG00000001363				-1.12715416846825	0.0113803103651838
ENSOARG00000001369	101120352	UBE2S	ubiquitin conjugating enzyme E2 S	1.68514258874893	0.00393543456711109
ENSOARG00000001374	443167	HCRTR1	hypocretin receptor 1	-1.47413412941459	0.000279198873779713
ENSOARG00000001381	101113776	PSEN2	presenilin 2	-0.622547647043499	0.0184973326594771
ENSOARG00000001384	101115595	PMS2	PMS1 homolog 2, mismatch repair system component	-1.36616781270819	0.000759943999480018
ENSOARG00000001390	101106772	SRD5A3	steroid 5 alpha-reductase 3	-1.32572880353045	0.000733710620939336
ENSOARG00000001394				-1.18144929041679	0.0186915267312965
ENSOARG00000001410	101122271	LRRC61	leucine rich repeat containing 61	-0.980071451966036	0.00479984082223468
ENSOARG00000001414	101114993	SUFU	SUFU negative regulator of hedgehog signaling	-1.23695097702532	0.00703782147774607
ENSOARG00000001419	101102581	TPX2	TPX2, microtubule nucleation factor	-0.64937328920818	0.02034438843716
ENSOARG00000001430	101118758	PLPP5	phospholipid phosphatase 5	-0.667357230114231	0.0258906201688261
ENSOARG00000001446	101110558	HECTD3	HECT domain E3 ubiquitin protein ligase 3	-0.806284971384661	0.00488780860362092
ENSOARG00000001454				1.37560597080123	0.00158254226440824
ENSOARG00000001469	101121289	KMT5C	lysine methyltransferase 5C	-0.791294905817301	0.037467247554095
ENSOARG00000001480	101104250	POLR2K	RNA polymerase II subunit K	1.07594892423075	0.00580375361169808
ENSOARG00000001483	101119017	LETM2	leucine zipper and EF-hand containing transmembrane protein 2	-1.28515405431692	0.0134945802419412
ENSOARG00000001485	101114168	METAP1D	methionyl aminopeptidase type 1D, mitochondrial	-1.4894977738399	0.00494934126337507
ENSOARG00000001504	100329218	SREBF1	sterol regulatory element binding transcription factor 1	-1.81854613600956	8.27693364553808e-05
ENSOARG00000001513	101120678	SLC26A11	solute carrier family 26 member 11	-1.86739777714845	0.00166071771821382
ENSOARG00000001518	101110616	ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)	-1.25776862504095	0.00225814085988394
ENSOARG00000001523	101104987	PHC1	polyhomeotic homolog 1	0.710286211539902	0.028447838870061
ENSOARG00000001527	101107695	POT1	protection of telomeres 1	-0.917077315838291	0.00644439333492589
ENSOARG00000001528	101119344	MUTYH	mutY DNA glycosylase	-0.937215803896704	0.0352763230805573
ENSOARG00000001529	101115246	TRIM8	tripartite motif containing 8	1.48330997521279	0.000666199563124435
ENSOARG00000001531	101103511	SCAPER	S-phase cyclin A associated protein in the ER	0.951498738059395	0.00347999717908056
ENSOARG00000001532	101107021	TMEM165	transmembrane protein 165	-0.715015778782497	0.0101193582111585
ENSOARG00000001558	101107767	RENBP	renin binding protein	-0.941980936031674	0.0288701573602317
ENSOARG00000001571	101102021	NADSYN1	NAD synthetase 1	-1.31309237438109	0.00135388229007245
ENSOARG00000001575	101102213	LOC101102213	sialic acid-binding Ig-like lectin 14	0.847549084038327	0.0219768551591097
ENSOARG00000001576	780507	FGFR1	fibroblast growth factor receptor 1	1.74380373102529	0.0334171184239947
ENSOARG00000001584	101107240	DENND4B	DENN domain containing 4B	-0.931654649355506	0.0149096033134117
ENSOARG00000001595		TACC1	transforming acidic coiled-coil containing protein 1	0.62531629809108	0.0305354387391473
ENSOARG00000001599	101106478	SFXN4	sideroflexin 4	-0.736447078388613	0.0162229840448968
ENSOARG00000001610	101102117		CREB regulated transcription coactivator 2	0.93053543096037	0.00204462011179767
ENSOARG00000001620	101105725	BTK	Bruton tyrosine kinase	-0.936468920217433	0.00241639612762868
ENSOARG00000001621	101123354	MED14	mediator complex subunit 14	1.19165756067272	0.00787017196240376
ENSOARG00000001641	101121189	C20orf27	chromosome 13 open reading frame, human C20orf27	-1.28337965119035	0.000375759907247313
ENSOARG00000001642	101111066	TESK2	testis associated actin remodelling kinase 2	-1.94442989915928	0.00240647130757055
ENSOARG00000001649	101119226	LYNX1	Ly6/neurotoxin 1	-0.875772670153583	0.0237676812901832
ENSOARG00000001651	101107707	ZC2HC1C	zinc finger C2HC-type containing 1C	-1.09131823422147	0.0104029888550452
ENSOARG00000001654	101121797	PPP6R1	protein phosphatase 6 regulatory subunit 1	0.744444642995624	0.0185020740075786
ENSOARG00000001659	101117047	WDFY4	WDFY family member 4	-0.774458877589261	0.0188609335758421
ENSOARG00000001668	101109437	TFEC	transcription factor EC	2.08380052594617	0.000208735606191303
ENSOARG00000001669				0.98718659231028	0.004271751361767
ENSOARG00000001674				1.6316154260254	0.00296237893009157
ENSOARG00000001685	101120707	MMACHC	metabolism of cobalamin associated C	-1.06194838392076	0.0294710254205897
ENSOARG00000001695	101106094	NCF2	neutrophil cytosolic factor 2	-0.881447829070614	0.0170227920818308
ENSOARG00000001701	101119545		BOLA class I histocompatibility antigen, alpha chain BL3-7-like	0.815706267282695	0.0177610628993533
ENSOARG00000001724	101119780	ZNF174	zinc finger protein 174	-0.878139100847192	0.0040350141295066
ENSOARG00000001740	101118767	GPR157	probable G-protein coupled receptor 157	2.83948261470031	0.000266828635275273
ENSOARG00000001754	101108043	MDFIC	MyoD family inhibitor domain containing	2.6290537034166	2.93341783458705e-05
ENSOARG00000001774	101106702	LOC101106702	plasma membrane calcium-transporting ATPase 4-like	-1.0924488148242	0.02034438843716
ENSOARG00000001783	443218	FOS	Fos proto-oncogene, AP-1 transcription factor subunit	-3.67814015242472	0.000156458766824592
ENSOARG00000001785	101114751	TM2D2	TM2 domain containing 2	0.699440607526827	0.0276237426232198
ENSOARG00000001792	101111121	CD82	CD82 molecule	2.96566970098238	0.00289416865331449
ENSOARG00000001794		PGAP2	post-GPI attachment to proteins 2	-1.00707308202135	0.00215935496981631
ENSOARG00000001796	101108494	JDP2	Jun dimerization protein 2	-0.887500998877411	0.00959162550698217
ENSOARG00000001803	101105129	USP42	ubiquitin specific peptidase 42	1.01473332566584	0.0297080650211298
ENSOARG00000001819	101105928	KIAA0100	KIAA0100 ortholog	1.04547200349179	0.00289694131514143
ENSOARG00000001820	101121892		nuclear autoantigenic sperm protein	-0.923858776786184	0.00958139612313609
ENSOARG00000001821	101116480	THAP9	THAP domain containing 9	-1.45530104633231	0.00126371320813677
ENSOARG00000001824				-1.24189916110385	0.033774307066549
ENSOARG00000001825		RABEP2	rabaptin, RAB GTPase binding effector protein 2	-1.08689956948752	0.00147844822237462
ENSOARG00000001827	101118905	SLC25A29	solute carrier family 25 member 29	1.06426355352111	0.00438676147562678
ENSOARG00000001836		CAVIN1	caveolae associated protein 1	-0.83744592022079	0.00485697753152271
ENSOARG00000001846	101116427	CCDC92	coiled-coil domain containing 92	-1.48980314264549	0.0058930726704506
ENSOARG00000001850	101104166	GNB1	G protein subunit beta 1	0.575602475418302	0.0467758629547485
ENSOARG00000001866	101113423		5',3'-nucleotidase, mitochondrial	-1.36131158356384	0.00477932001683315
ENSOARG00000001869	101105695	TREM1	triggering receptor expressed on myeloid cells 1	2.83840515936795	0.000586595452506255
ENSOARG00000001870	101116120	VSTM4	V-set and transmembrane domain containing 4	1.10828163992125	0.00506062349242388
ENSOARG00000001882	101121306	CLUAP1	clusterin associated protein 1	-1.73155090690682	0.000636081630820247
ENSOARG00000001896	101123476	ATP6V0A1	ATPase H+ transporting V0 subunit a1	-1.21839936125778	0.0272012448821062
ENSOARG00000001900				0.851791573686384	0.0461428627127393
ENSOARG00000001903	101119423	PITPNB	phosphatidylinositol transfer protein beta	0.780396875504276	0.0463519791068972
ENSOARG00000001909				1.19319502069998	0.0216788340220957
ENSOARG00000001914	780508	ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)	-1.63606834079057	0.000302048041533935
ENSOARG00000001918	101103665	TK2	thymidine kinase 2, mitochondrial	-0.918817102417368	0.0264845008928927
ENSOARG00000001934	105605733	LOC105605733	high affinity cationic amino acid transporter 1-like	2.81299780347407	0.0245173305619961
ENSOARG00000001941	101110458	LOC101110458	serpin B6	1.11691283397245	0.00302583146161428
ENSOARG00000001946	101121088	ORC5	origin recognition complex subunit 5	-0.889532881174676	0.0202056063463451
ENSOARG00000001955	101110544	NEK4	NIMA related kinase 4	-0.899234146547075	0.00521261849185941
ENSOARG00000001956	101105362	SNX33	sorting nexin 33	-1.11826493803094	0.0169427421226228
ENSOARG00000001965	101119091	CARS	cysteinyl-tRNA synthetase	1.34232863140739	0.00740857064304394
ENSOARG00000001973	101111656	TP53I11	tumor protein p53 inducible protein 11	2.14832834514807	0.0122813740189859
ENSOARG00000001992	101110944	TTLL5	tubulin tyrosine ligase like 5	-1.04513835781802	0.00675183045603238
ENSOARG00000002021	100101233	RAC1	Rac family small GTPase 1	0.870468919859029	0.0196907577126027
ENSOARG00000002023	101106473	VSTM5	V-set and transmembrane domain containing 5	-1.23495843980761	0.0291096456287885
ENSOARG00000002042		CYBRD1	cytochrome b reductase 1	-1.75463556453541	0.00683603075672801
ENSOARG00000002069	101123086	SLX4	SLX4 structure-specific endonuclease subunit	-0.844803816892433	0.0154603083765622
ENSOARG00000002075	101123352	APOOL	apolipoprotein O like	-0.606405457218788	0.0464461959299571
ENSOARG00000002088	101107151	GRK5	G protein-coupled receptor kinase 5	-3.47865727863211	0.000199716732206749
ENSOARG00000002097	101114863	CASD1	CAS1 domain containing 1	0.887806524634387	0.0477321807690697
ENSOARG00000002099				1.4488745668211	0.00334483088065921
ENSOARG00000002105	101112322	GPATCH2L	G-patch domain containing 2 like	1.13025715401404	0.00142379744213507
ENSOARG00000002108				1.23170601383249	0.0194697468893454
ENSOARG00000002115	101114806	MRE11	MRE11 homolog, double strand break repair nuclease	0.772808778589523	0.0245871884980801
ENSOARG00000002126				-1.07774863458362	0.0220260406655323
ENSOARG00000002128	101112048	TMEM168	transmembrane protein 168	1.19055129434694	0.0162133354283243
ENSOARG00000002142	101119425	WDR25	WD repeat domain 25	0.85417022349823	0.0281813228356727
ENSOARG00000002145	101108246	DYNC1LI2	dynein cytoplasmic 1 light intermediate chain 2	1.20020924691611	0.000807501906029798
ENSOARG00000002146	101118909	C11orf54	chromosome 21 open reading frame, human C11orf54	-1.14455211019364	0.00408635249324439
ENSOARG00000002155	101119170	TAF1D	TATA-box binding protein associated factor, RNA polymerase I subunit D	-0.712225114153718	0.0219768551591097
ENSOARG00000002158	101112736	VASH1	vasohibin 1	1.28568595682014	0.00168719196094963
ENSOARG00000002171				-1.23564973933891	0.049886529252721
ENSOARG00000002176	101110685	DNAJC3	DnaJ heat shock protein family (Hsp40) member C3	0.61394841484836	0.0226638808406891
ENSOARG00000002177		RAB32	RAB32, member RAS oncogene family	0.658911395699361	0.0496203669212142
ENSOARG00000002182	101123017	GPRASP1	G protein-coupled receptor associated sorting protein 1	1.08883399286055	0.0166160348599349
ENSOARG00000002191	101102252	NAGLU	N-acetyl-alpha-glucosaminidase	-1.04407810153999	0.00152576247242077
ENSOARG00000002193	106992016	LOC106992016	target of Myb protein 1-like	-0.948685082477494	0.042162678376505
ENSOARG00000002206	101113946	MPRIP	myosin phosphatase Rho interacting protein	-0.60595069088874	0.0290999025743982
ENSOARG00000002212	101116707	TLK1	tousled like kinase 1	-0.853426251541796	0.0303390398064257
ENSOARG00000002217	101123656		putative killer cell immunoglobulin-like receptor like protein KIR3DP1	-0.755379558843873	0.013943054619385
ENSOARG00000002220	101102099	POMGNT1	protein O-linked mannose N-acetylglucosaminyltransferase 1 (beta 1,2-)	-0.583730252314583	0.0259786683712662
ENSOARG00000002222				1.26880202214592	0.00196666398107064
ENSOARG00000002223	101104107	MYOF	myoferlin	1.27193999251238	0.00367069946885519
ENSOARG00000002240	101117757	FAF2	Fas associated factor family member 2	0.780631011739756	0.0054141899444387
ENSOARG00000002248	101118784	TBC1D9B	TBC1 domain family member 9B	-0.761237098458936	0.00595520375939708
ENSOARG00000002258				-0.886338920665692	0.0237170101860713
ENSOARG00000002261	101109616	COQ2	coenzyme Q2, polyprenyltransferase	-0.7357898381896	0.0116618837038674
ENSOARG00000002269	101109807	IRF2BPL	interferon regulatory factor 2 binding protein like	-1.01729904622536	0.00627642278470821
ENSOARG00000002281	101118018	RNF44	ring finger protein 44	-1.62147530743806	0.00889034879183643
ENSOARG00000002295	101120548	IDO2	indoleamine 2,3-dioxygenase 2	1.26252347346768	0.00972697076000544
ENSOARG00000002320	101112307	LSMEM1	leucine rich single-pass membrane protein 1	-1.65848229923244	0.014666514877668
ENSOARG00000002326	101113774	WSCD1	WSC domain containing 1	-1.25415629942777	0.00610328329244064
ENSOARG00000002331	101112417	SLC35C1	solute carrier family 35 member C1	-1.31770134879705	0.00779641900535214
ENSOARG00000002340	101118531		zinc finger GRF-type containing 1	-1.46754351026719	0.00611640054683939
ENSOARG00000002346	101110745	PPP1R16A	protein phosphatase 1 regulatory subunit 16A	-0.966533307640216	0.0232784125929502
ENSOARG00000002356	101107654	RARRES1	retinoic acid receptor responder 1	-0.653488434488693	0.0474893770848567
ENSOARG00000002361	101116535	GOLGA7	golgin A7	0.927869909618346	0.0196306322872948
ENSOARG00000002365	101114202	USP22	ubiquitin specific peptidase 22	-1.29160818191873	0.0131767666398608
