ENSEMBL	ENTREZID	SYMBOL	DESCRIPTION	LPS100.A10_1_hit.vs.Ctrl_1_hit.logFC	LPS100.A10_1_hit.vs.Ctrl_1_hit.p.value
ENSOARG00000000862	101118632		myeloid associated differentiation marker	-1.89822677713914	6.07767470042709e-05
ENSOARG00000000869	101104881	LMTK2	lemur tyrosine kinase 2	1.22454533883178	0.00696956739165833
ENSOARG00000000894	101104434	NFYA	nuclear transcription factor Y subunit alpha	1.08842854043129	0.00208771311293823
ENSOARG00000001022	101103214	CSTF2	cleavage stimulation factor subunit 2	1.20836735183996	0.00128086783414097
ENSOARG00000001072	101105027	TRPC3	transient receptor potential cation channel subfamily C member 3	-1.40477913244076	0.0201566599257963
ENSOARG00000001161		MMP25	matrix metallopeptidase 25	-2.32375192579206	0.000290673963257084
ENSOARG00000001187	101113656	ITGA6	integrin subunit alpha 6	-1.33567465192017	0.000409179412890302
ENSOARG00000001196	101115338	LOC101115338	radial spoke head 10 homolog B	-1.18799017203053	0.0284369679627445
ENSOARG00000001224	101123615	LOC101123615	leukocyte immunoglobulin-like receptor subfamily A member 5	-1.38450474580289	0.0481926570431033
ENSOARG00000001243	101104195	RAB31	RAB31, member RAS oncogene family	-0.97007765182113	0.0044680672282509
ENSOARG00000001260	101122459	CSNK2A2	casein kinase 2 alpha 2	0.808203197815818	0.043869657566738
ENSOARG00000001275	101112710	CRIP2	cysteine rich protein 2	-1.06351214124562	0.00642776580549235
ENSOARG00000001335		HIST1H1C	histone cluster 1 H1 family member c	1.24815691911476	0.0143706853020258
ENSOARG00000001369	101120352	UBE2S	ubiquitin conjugating enzyme E2 S	1.01289797551045	0.0279138414001187
ENSOARG00000001371	101118320	DHCR7	7-dehydrocholesterol reductase	-1.58909420407086	0.000148286234058527
ENSOARG00000001374	443167	HCRTR1	hypocretin receptor 1	-1.40570706862916	4.75711970762461e-05
ENSOARG00000001504	100329218	SREBF1	sterol regulatory element binding transcription factor 1	-1.55914005865329	0.000514680527456493
ENSOARG00000001527	101107695	POT1	protection of telomeres 1	-0.962247476793463	0.0311332765128008
ENSOARG00000001555	101121231	NFATC2IP	nuclear factor of activated T cells 2 interacting protein	0.907877927621713	0.0206453030401802
ENSOARG00000001584	101107240	DENND4B	DENN domain containing 4B	-0.993962876250615	0.0160365181475834
ENSOARG00000001590	101112660	RAI1	retinoic acid induced 1	-1.09136778828657	0.00919835268965427
ENSOARG00000001617	101108844	MYH10	myosin heavy chain 10	-1.31858385577495	0.00152096995157288
ENSOARG00000001620	101105725	BTK	Bruton tyrosine kinase	-1.72044820173553	0.00228782240139551
ENSOARG00000001659	101117047	WDFY4	WDFY family member 4	-2.10201539723367	0.000794652537192647
ENSOARG00000001661	101111334	LOC101111334	uncharacterized LOC101111334	1.7576071948224	0.0125968464074512
ENSOARG00000001703	101105770	SLC38A7	solute carrier family 38 member 7	-1.16774422257531	0.00230784949010537
ENSOARG00000001774	101106702	LOC101106702	plasma membrane calcium-transporting ATPase 4-like	-1.18647931860973	0.00988725938370925
ENSOARG00000001778	101118832		oxysterol binding protein like 5	-1.07298393845076	0.00771078266602967
ENSOARG00000001794		PGAP2	post-GPI attachment to proteins 2	-0.967899632411923	0.0197962797594567
ENSOARG00000001796	101108494	JDP2	Jun dimerization protein 2	-1.46216656035128	0.00517806400043467
ENSOARG00000001800	101107769	NKAIN1	sodium/potassium transporting ATPase interacting 1	-1.19047094653516	0.00232830411256872
ENSOARG00000001820	101121892		nuclear autoantigenic sperm protein	0.912077804292085	0.0077464935639112
ENSOARG00000001835	101111390	TSPAN18	tetraspanin 18	-1.62663085481252	0.0436026199809474
ENSOARG00000001836		CAVIN1	caveolae associated protein 1	-0.920760304412746	0.00634494942330276
ENSOARG00000001860		BEAN1	brain expressed associated with NEDD4 1	-1.20831716621432	0.0469641542908423
ENSOARG00000001865	101123061	RIN2	Ras and Rab interactor 2	-1.64398114177054	0.00448277969189329
ENSOARG00000001874	101120168	UTRN	utrophin	-1.40421921586985	0.00038277595802792
ENSOARG00000001911	101111597	CCDC17	coiled-coil domain containing 17	-1.26110174006835	0.00136675993700285
ENSOARG00000001965	101119091	CARS	cysteinyl-tRNA synthetase	0.809270073828187	0.0226686605557832
ENSOARG00000002009	101121322	SDC3	syndecan 3	-1.00836388595244	0.00669075560359911
ENSOARG00000002050	554323	TGFB3	transforming growth factor beta 3	-1.48673933959439	0.00242245138826372
ENSOARG00000002065	101111886	IFT43	intraflagellar transport 43	-0.962761763779463	0.0186549178807407
ENSOARG00000002144	101107751	LDLRAD4	low density lipoprotein receptor class A domain containing 4	-1.53017860729258	0.0488205373048365
ENSOARG00000002178				-1.10059456433635	0.00865004662821956
ENSOARG00000002262				-1.16159678155405	0.000439083178750626
ENSOARG00000002269	101109807	IRF2BPL	interferon regulatory factor 2 binding protein like	-1.11933598540134	0.00765212181434442
ENSOARG00000002282	101108271	SETBP1	SET binding protein 1	-2.0860165167913	0.0102052596127617
ENSOARG00000002326	101113774	WSCD1	WSC domain containing 1	-1.29157858506608	0.00178003197174496
ENSOARG00000002333	101113242	TMEM63C	transmembrane protein 63C	-1.69690027363845	0.0269052154718185
ENSOARG00000002448	101103116	ATP8B2	ATPase phospholipid transporting 8B2	-1.11884036802737	0.00260966979522788
ENSOARG00000002462	101117217	GPAT4	glycerol-3-phosphate acyltransferase 4	0.831770074610834	0.04643179483984
ENSOARG00000002463	101108098	LXN	latexin	-1.79745125405557	0.0210779083313654
ENSOARG00000002464				-1.54874080888559	0.0169072817437693
ENSOARG00000002476	101107650	RGS10	regulator of G protein signaling 10	-0.849829330526474	0.0222572739794161
ENSOARG00000002497	101102302	NECAP1	NECAP endocytosis associated 1	0.843635926541691	0.0198719529047847
ENSOARG00000002504				-1.16933352782054	0.0151516932187775
ENSOARG00000002530	101115060	ANKRD49	ankyrin repeat domain 49	0.90602948609238	0.033122715735571
ENSOARG00000002538	101110689	TBC1D16	TBC1 domain family member 16	-1.28878036001677	0.00394167852295449
ENSOARG00000002541	101115498	AS3MT	arsenite methyltransferase	-1.04383300934088	0.0348269891011967
ENSOARG00000002612	101122959	MAP2K3	mitogen-activated protein kinase kinase 3	0.788564684828439	0.0348091289179798
ENSOARG00000002622	101114218	EIF1B	eukaryotic translation initiation factor 1B	0.849623026174273	0.0303183400401574
ENSOARG00000002680	101107918	TIAL1	TIA1 cytotoxic granule associated RNA binding protein like 1	0.796209453695397	0.0366279774563857
ENSOARG00000002701	101117231		sialic acid-binding Ig-like lectin 5	-1.11429642496193	0.04462834248508
ENSOARG00000002718	100135686	CLEC4E	C-type lectin domain family 4 member E	-1.5613219979328	0.00141701898971019
ENSOARG00000002785	101105016	KIAA1217	KIAA1217 ortholog	-0.806421008257461	0.0268039729262123
ENSOARG00000002867				-1.7366706300588	0.00536692260640841
ENSOARG00000002972	101108247	ZDHHC1	zinc finger DHHC-type containing 1	-0.899666071948073	0.0309029891738871
ENSOARG00000002978	101109290	NFASC	neurofascin	-1.06022016015439	0.0456085308737204
ENSOARG00000002982	101111432	LOC101111432	plasma membrane calcium-transporting ATPase 4-like	-1.27915538207582	0.00335305756249774
ENSOARG00000003028	101104011	DOCK2	dedicator of cytokinesis 2	-0.990857182782948	0.00452281610031602
ENSOARG00000003056	101113026	PMVK	phosphomevalonate kinase	-0.998883799073436	0.0403254536148283
ENSOARG00000003069	101112104	C18orf25	chromosome 23 open reading frame, human C18orf25	1.01408520101547	0.00397992665206702
ENSOARG00000003112		AKAP12	A-kinase anchoring protein 12	-1.50366217718412	0.000500649046030636
ENSOARG00000003124	101122247	APOBR	apolipoprotein B receptor	0.93646569655038	0.0390284201411444
ENSOARG00000003130	101118332	PLAT	plasminogen activator, tissue type	1.04802161819803	0.00345463044324524
ENSOARG00000003148		ZBTB2	zinc finger and BTB domain containing 2	-1.3380142274097	0.00112956358729692
ENSOARG00000003178		C1orf198	chromosome 1 open reading frame 198	-0.981333127602903	0.0194445270673573
ENSOARG00000003201	101120442	KREMEN1	kringle containing transmembrane protein 1	-1.06017881485757	0.0176503872605652
ENSOARG00000003244	101112476	CCDC136	coiled-coil domain containing 136	-1.34869539472712	0.000322051979410237
ENSOARG00000003252	101119209	HK3	hexokinase 3	-1.55988418671631	0.0060625631397915
ENSOARG00000003274	101106339	NIPAL2	NIPA like domain containing 2	-1.44952842154975	0.0466509881537265
ENSOARG00000003279	101105527	KCNIP1	potassium voltage-gated channel interacting protein 1	-1.34146283465862	0.0285509912574084
ENSOARG00000003317	101116683	CCK	cholecystokinin	2.40905889326997	0.00231325973701455
ENSOARG00000003333	101114915	ZBTB7B	zinc finger and BTB domain containing 7B	-1.25458092683666	0.000369156945867957
ENSOARG00000003340				1.65443344301559	0.01223233809957
ENSOARG00000003343	101114448	TTC8	tetratricopeptide repeat domain 8	-1.25570800481016	0.000963589687816371
ENSOARG00000003355	101104880	DCST2	DC-STAMP domain containing 2	-1.5410673624974	0.00945384105571677
ENSOARG00000003396	101106951	RAB34	RAB34, member RAS oncogene family	-0.850091466563938	0.0254883217736963
ENSOARG00000003426				3.01117680265721	0.000563501644607895
ENSOARG00000003438	101111652	CDH3	cadherin 3	-1.59710862691939	0.000427161056287014
ENSOARG00000003455	101119747	CDH1	cadherin 1	-1.70497187993921	0.000890569698276195
ENSOARG00000003467	101102279	HMOX2	heme oxygenase 2	1.0110234854749	0.00237521566579182
ENSOARG00000003486	100270718	SS18L2	SS18 like 2	1.06831339606322	0.00781350911819157
ENSOARG00000003501	101117752	PDK4	pyruvate dehydrogenase kinase 4	-2.00253187675017	0.0179531965867252
ENSOARG00000003588	101105936	THNSL1	threonine synthase like 1	-1.00589429525322	0.0441841517275608
ENSOARG00000003603	101114775	DPYSL3	dihydropyrimidinase like 3	-1.27476031682978	0.000585213972126952
ENSOARG00000003604	101114326	CORO1A	coronin 1A	-2.29730935365857	6.09057705823382e-05
ENSOARG00000003605	101117727	GPR137B	G protein-coupled receptor 137B	-0.885003760157168	0.0266505860963063
ENSOARG00000003619				-1.58047527518754	0.00250540572173778
ENSOARG00000003652		FOXK1	forkhead box K1	-0.831611534745832	0.0466509881537265
ENSOARG00000003764	101114511	AGPAT2	1-acylglycerol-3-phosphate O-acyltransferase 2	-0.965651195334064	0.0107881888079576
ENSOARG00000003828	101119904	ARHGAP24	Rho GTPase activating protein 24	-1.09671654099363	0.00235044923833326
ENSOARG00000003880	101113950	NOL4L	nucleolar protein 4 like	-1.15620746426424	0.0230618316285765
ENSOARG00000003966	101123554		notch 3	-1.35395768683559	0.00181845255242158
ENSOARG00000003975	101101901	EVI2A	ecotropic viral integration site 2A	-2.63957047330156	0.000500649046030636
ENSOARG00000003977	101116950	IGSF10	immunoglobulin superfamily member 10	-1.06600743471174	0.0235520292004187
ENSOARG00000003990	101107897	ERGIC1	endoplasmic reticulum-golgi intermediate compartment 1	-0.877837465103894	0.00721515524934438
ENSOARG00000003991	101123474	EVI2B	ecotropic viral integration site 2B	-2.51569571501897	0.000484555235972645
ENSOARG00000004033	101112124	RXYLT1	ribitol xylosyltransferase 1	0.894630424229119	0.0230854113356495
ENSOARG00000004062	101122822	RAB38	RAB38, member RAS oncogene family	-1.17930721214718	0.00772647033281707
ENSOARG00000004086	101119363	BICC1	BicC family RNA binding protein 1	-1.08227406699278	0.019869092279553
ENSOARG00000004135				1.29481807896047	0.00174283680227816
ENSOARG00000004166		ADA	adenosine deaminase	-1.27055601478817	0.000607744458383029
ENSOARG00000004168	101107888	DPY19L3	dpy-19 like C-mannosyltransferase 3	-1.25379376061592	0.00459248010045968
ENSOARG00000004176	101109910	STC2	stanniocalcin 2	-1.53342646328336	0.00503101931486992
ENSOARG00000004254	101117011	TDRD12	tudor domain containing 12	-1.50540793446537	0.00458264818259045
ENSOARG00000004255	101107450	TMEM242	transmembrane protein 242	1.23659697474917	0.00762524290801877
ENSOARG00000004352		SIAH2	siah E3 ubiquitin protein ligase 2	0.944371198899247	0.0185340793332296
ENSOARG00000004356	101110813	CARD11	caspase recruitment domain family member 11	-1.44234455521721	0.000345046087513423
ENSOARG00000004361	101116045	ANLN	anillin actin binding protein	-1.61576818081587	0.000260738907947118
ENSOARG00000004373	101122663	RARB	retinoic acid receptor beta	-2.17246956733439	0.000379317963454714
ENSOARG00000004386	101111731	FLRT3	fibronectin leucine rich transmembrane protein 3	-1.42225487492701	0.00429616957443106
ENSOARG00000004444	443445	THRB	thyroid hormone receptor beta	-1.4302745874335	0.00349362139586456
ENSOARG00000004446	101103823	TOB1	transducer of ERBB2, 1	1.26918366408964	0.000835189722183382
ENSOARG00000004544	101113608	VAT1	vesicle amine transport 1	-1.07291278400899	0.000704289705211357
ENSOARG00000004665	101116307	KIAA0895	KIAA0895 ortholog	-1.44228222768895	0.0136857798253816
ENSOARG00000004667	100135440	RPL6	60S ribosomal protein L6	-1.47630313743077	0.0180892749434414
ENSOARG00000004686	101120073	ASNS	asparagine synthetase (glutamine-hydrolyzing)	0.921397678112915	0.0155621747332345
ENSOARG00000004691	100302077	RAB21	RAB21, member RAS oncogene family	0.935414496216925	0.00322093552251175
ENSOARG00000004739				-2.68238299165328	0.0303183400401574
ENSOARG00000004768		NACC2	NACC family member 2	-1.59059129450438	0.000259240647745852
ENSOARG00000004783	101103843	CMKLR1	chemerin chemokine-like receptor 1	-2.49814322756506	4.73541776894113e-05
ENSOARG00000004837	101120596	SBSN	suprabasin	1.26976899830053	0.0022665806435782
ENSOARG00000004847	101114027	PDE10A	phosphodiesterase 10A	-1.31956856946989	0.00361737625437515
ENSOARG00000004852	101123531	SCN1A	sodium voltage-gated channel alpha subunit 1	-2.12149207196461	0.00219010616466697
ENSOARG00000004861	101113888	STXBP6	syntaxin binding protein 6	-1.19378684082068	0.042065240312745
ENSOARG00000004864	101120970	SYT11	synaptotagmin 11	-1.0494561324766	0.0170771047575476
ENSOARG00000004963	101115978	RAB7B	RAB7B, member RAS oncogene family	-0.973879964060225	0.0377240576746032
ENSOARG00000005003	101108594	IGFLR1	IGF like family receptor 1	-1.0270849849636	0.0336850866970017
ENSOARG00000005030	101118408	KCTD13	potassium channel tetramerization domain containing 13	0.876172180856321	0.0274852859469969
ENSOARG00000005098	101114207	ST3GAL2	ST3 beta-galactoside alpha-2,3-sialyltransferase 2	-1.16791648072531	0.00516866212434723
ENSOARG00000005208	101120390	FLNA	filamin A	-0.924257709945884	0.0132160066349344
ENSOARG00000005356	101119435	MVP	major vault protein	-0.8414943019247	0.0487278500739524
ENSOARG00000005399	101122748	NEDD4L	neural precursor cell expressed, developmentally down-regulated 4-like, E3 ubiquitin protein ligase	1.21556214520706	0.00631444381512727
ENSOARG00000005412	101118038	ITGA3	integrin subunit alpha 3	-1.08803855333807	0.00192342337881232
ENSOARG00000005422	101109472	DBNDD2	dysbindin domain containing 2	-1.67035887456534	0.000242885766592812
ENSOARG00000005433	101116895	AGAP2	ArfGAP with GTPase domain, ankyrin repeat and PH domain 2	-1.42307555828477	0.0099921534078362
ENSOARG00000005435	101114909	LOC101114909	death domain-containing membrane protein NRADD-like	-1.38761640275486	0.000567912415459819
ENSOARG00000005446	101110450	NAIP	NLR family apoptosis inhibitory protein	-1.9331035502164	0.00045349958490405
ENSOARG00000005487				-2.82098915503411	2.89772562058553e-05
ENSOARG00000005489	101107924	LMNA	lamin A/C	-1.15759857697846	0.0171620712817739
ENSOARG00000005511				-1.91924251040636	0.0109467451836301
ENSOARG00000005514	101118391	DDAH2	dimethylarginine dimethylaminohydrolase 2	-0.992000677673672	0.0159141023629695
ENSOARG00000005516		TUBB4A	tubulin beta 4A class IVa	-1.09189481716956	0.0417383867448841
ENSOARG00000005517				1.34800786140967	0.00278707404542872
ENSOARG00000005566	101109372	DLX3	distal-less homeobox 3	-1.63510131172435	0.00912657850994666
ENSOARG00000005569	101123432	ZNF532	zinc finger protein 532	-1.27472903498988	0.0187409548889484
ENSOARG00000005574	101110698	KCNK6	potassium two pore domain channel subfamily K member 6	-1.52889377176347	0.00254438913810437
ENSOARG00000005579	101123594	SEMA4A	semaphorin 4A	-2.38765867578516	0.00125044699486552
ENSOARG00000005621	101112083	SPRED3	sprouty related EVH1 domain containing 3	-1.14614347857176	0.0332018535926546
ENSOARG00000005628	101104786	EIF5	eukaryotic translation initiation factor 5	0.773969012680579	0.0490598604875616
ENSOARG00000005631	101115767	PHF19	PHD finger protein 19	-1.17070369248896	0.0119509156860838
ENSOARG00000005712				-1.05597779680221	0.0282680502133327
ENSOARG00000005716				-1.36507307630716	0.0314644394547104
ENSOARG00000005721	101123308	SLA	Src like adaptor	-2.81931836196495	0.0124078875772515
ENSOARG00000005742	101116123	APEX2	apurinic/apyrimidinic endodeoxyribonuclease 2	-0.989135520721351	0.0319751173877482
ENSOARG00000005749	101106290	RAB23	RAB23, member RAS oncogene family	-0.943609154801949	0.0308955492872656
ENSOARG00000005785	101115289	MYO16	myosin XVI	-0.88724279881332	0.0402309678275362
ENSOARG00000005791	101111737	ACTN4	actinin alpha 4	-0.949349151360171	0.00335200717921989
ENSOARG00000005811				-1.19403782528983	0.022127367523919
ENSOARG00000005826		ADAP1	ArfGAP with dual PH domains 1	-1.28560337580687	0.00268506885106037
ENSOARG00000005874	101118430	ARHGEF25	Rho guanine nucleotide exchange factor 25	-1.64414082350497	0.00233975264425293
ENSOARG00000005888	443157	PAPPA	pappalysin 1	-2.16950658726833	0.000179140344206022
ENSOARG00000005894	101118069	CDH20	cadherin 20	-1.81387346000392	0.0342198374676273
ENSOARG00000005900	101117456	GMNN	geminin, DNA replication inhibitor	0.944759440496492	0.0289687143270258
ENSOARG00000005974	101108185	MEF2D	myocyte enhancer factor 2D	-0.86231357225067	0.0330863122506858
ENSOARG00000006003	101108447	IQGAP3	IQ motif containing GTPase activating protein 3	-1.20803194391935	0.0407865936852007
ENSOARG00000006033	101112349	FAM198B	family with sequence similarity 198 member B	-1.91031678360198	0.000953462542210254
ENSOARG00000006086	101115645	PLEKHG2	pleckstrin homology and RhoGEF domain containing G2	-1.48264328671848	0.000690577223123898
ENSOARG00000006122	101111467	GAS7	growth arrest specific 7	-1.85724378401035	0.000720295607449408
ENSOARG00000006140	100294558	SLC26A2	solute carrier family 26 member 2	-1.4620039744366	0.0238438076426422
ENSOARG00000006154	101103513	TADA3	transcriptional adaptor 3	-0.911234813899145	0.0237188582201941
ENSOARG00000006200	101106557	NES	nestin	-1.00854560522285	0.0452862008413723
ENSOARG00000006205	101102074	SEPT9	septin 9	-0.958466922223178	0.00452989897303474
ENSOARG00000006206	443098	SLC17A5	solute carrier family 17 member 5	-0.87496381873026	0.0391711859868541
ENSOARG00000006228	101118356		adhesion G protein-coupled receptor L1	-1.33615719709706	0.00657000930613034
ENSOARG00000006313	101108974	ALDH18A1	aldehyde dehydrogenase 18 family member A1	-0.94478767256372	0.01081303715157
ENSOARG00000006371	101103840	ADAMTS6	ADAM metallopeptidase with thrombospondin type 1 motif 6	-1.77556942278504	0.000863744519465718
ENSOARG00000006421		RUNX3	runt related transcription factor 3	-1.72940494817555	0.00656301084549219
ENSOARG00000006451		CASTOR1	cytosolic arginine sensor for mTORC1 subunit 1	-1.34113827753187	0.0133050410490816
ENSOARG00000006487	101110021	PEAR1	platelet endothelial aggregation receptor 1	-1.28755883077564	0.000374368641440048
ENSOARG00000006514	101115892	FRMD4A	FERM domain containing 4A	-1.14751853925468	0.00221002570436088
ENSOARG00000006538	101122783	PDGFRB	platelet derived growth factor receptor beta	-1.4536700847679	0.000560807013353597
ENSOARG00000006553	101119756	SPI1	Spi-1 proto-oncogene	-1.42587706765706	8.00719143162657e-05
ENSOARG00000006557	101117111	AKAP6	A-kinase anchoring protein 6	-1.71098766262076	0.00251788718289299
ENSOARG00000006630		PRX	periaxin	-1.00301586922152	0.00638997190987472
ENSOARG00000006702	101107037		tyrosine-protein phosphatase non-receptor type 11-like	-1.17104031252348	0.0332274770478125
ENSOARG00000006716	101107489	ENTPD1	ectonucleoside triphosphate diphosphohydrolase 1	-1.11562556298919	0.00399089810740119
ENSOARG00000006730	101109187	PI15	peptidase inhibitor 15	-1.6822880825315	0.00335549189554057
ENSOARG00000006760	443346	LPAR1	lysophosphatidic acid receptor 1	-1.45812703907593	0.0224033796809951
ENSOARG00000006885	101115726	NEURL2	neuralized E3 ubiquitin protein ligase 2	-1.23228310146532	0.0074239658231747
ENSOARG00000006947	101120515	ITPKC	inositol-trisphosphate 3-kinase C	0.848179346638041	0.0218917571756575
ENSOARG00000006990	101110720	CCNJ	cyclin J	1.35547398194777	0.0142530134950187
ENSOARG00000007024		ARSI	arylsulfatase family member I	-1.78139933656609	0.000500649046030636
ENSOARG00000007096	101121508	PDE1C	phosphodiesterase 1C	-1.58213848897648	0.0174967681050297
ENSOARG00000007109		ELOVL4	ELOVL fatty acid elongase 4	1.35650360084883	0.00952231081731303
ENSOARG00000007110	101111081	PLA2R1	phospholipase A2 receptor 1	-0.905155758083553	0.0196820129047314
ENSOARG00000007238	101111756	PAK1	p21 (RAC1) activated kinase 1	-0.855748737883998	0.0283750133607544
ENSOARG00000007245	101109759	PIK3CB	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta	1.5182606316609	0.0136857798253816
ENSOARG00000007256	101116874	CCDC88B	coiled-coil domain containing 88B	-2.24081843773057	0.04905831247272
ENSOARG00000007280	101110876		SEC14 like lipid binding 2	-1.19503511037764	0.00811370072591955
ENSOARG00000007297				-1.3772250325677	0.00058401673870265
ENSOARG00000007313	101104064	GMIP	GEM interacting protein	-1.18926037795662	0.000690577223123898
ENSOARG00000007398	101109874		chromodomain helicase DNA binding protein 4	-0.957200311686684	0.0031817513182825
ENSOARG00000007435		PRPSAP1	phosphoribosyl pyrophosphate synthetase associated protein 1	-1.3115889651427	0.00698161921633398
ENSOARG00000007452		HSPA6	heat shock protein family A (Hsp70) member 6	2.53564253185865	0.000781954988616116
ENSOARG00000007459	101116956	NUDT13	nudix hydrolase 13	-1.21534900772096	0.021891354188146
ENSOARG00000007495	101111663	MTFP1	mitochondrial fission process 1	-1.56214535626136	0.000600657849536977
ENSOARG00000007513	101110761	SYNPO	synaptopodin	-1.24583110533632	0.00594164130063526
ENSOARG00000007524	101107808	PLEKHN1	pleckstrin homology domain containing N1	-1.79283431452426	0.000165843019100568
ENSOARG00000007525	101102750	AXL	AXL receptor tyrosine kinase	-1.26780467690406	0.00128877086080641
ENSOARG00000007549	101104572	LPAR2	lysophosphatidic acid receptor 2	-2.30644005348582	0.00448277969189329
ENSOARG00000007556	101103075	NUFIP1	nuclear FMR1 interacting protein 1	0.934755124539739	0.0116114536088489
ENSOARG00000007582	101122919	CAVIN4	caveolae associated protein 4	-1.96686119647276	0.00142482040404932
ENSOARG00000007588	101102134	STAT6	signal transducer and activator of transcription 6	-1.15259926011641	0.00150981437070493
ENSOARG00000007606				1.01438478819607	0.0428051533037576
ENSOARG00000007615	101103343	LOC101103343	carcinoembryonic antigen-related cell adhesion molecule 6	-1.12061039923178	0.00151603052399051
ENSOARG00000007635	101118663	ANXA7	annexin A7	-0.848429941777609	0.0400719380677474
ENSOARG00000007664	101117348	PIK3CD	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta	-1.72098662009125	0.000877227067666926
ENSOARG00000007679				-1.52043499198433	0.00521725643484472
ENSOARG00000007699		DTX1	deltex E3 ubiquitin ligase 1	-1.75577593696726	0.00124525129788384
ENSOARG00000007704	101116432	ALS2CL	ALS2 C-terminal like	-1.11715251926395	0.0422237559447124
ENSOARG00000007758	101116716		solute carrier family 8 member A1	-2.25934420908366	0.00092881217346799
ENSOARG00000007791	101119925	VAT1L	vesicle amine transport 1 like	-0.98342556887327	0.0440833713687121
ENSOARG00000007828	101109469	SNTA1	syntrophin alpha 1	-1.01886303265423	0.02176965166151
ENSOARG00000007850	101109779	ROR2	receptor tyrosine kinase like orphan receptor 2	-1.04560051432073	0.00260966979522788
ENSOARG00000007908	100192422	MMP9	matrix metallopeptidase 9	-1.86679563408392	0.00952231081731303
ENSOARG00000007924	101113652	PDLIM3	PDZ and LIM domain 3	-1.11221464211917	0.0128294980229887
ENSOARG00000007926	101102006	PAFAH1B3	platelet activating factor acetylhydrolase 1b catalytic subunit 3	-1.22279037558607	0.00180014077576883
ENSOARG00000007939	101115033	WDR1	WD repeat domain 1	-0.804945825902624	0.0242233516812608
ENSOARG00000007959	101106728	SPTBN2	spectrin beta chain, non-erythrocytic 2	-1.34393816709105	0.00154402829590845
ENSOARG00000008023	101108870		nuclear autoantigenic sperm protein-like	0.976256468014745	0.0349908463405874
ENSOARG00000008038	101110276	BRD2	bromodomain containing 2	0.972406974524177	0.00291568627938254
ENSOARG00000008063	101111557	HEY1	hes related family bHLH transcription factor with YRPW motif 1	-2.63157376204642	0.0242319277876824
ENSOARG00000008157	101120977	CABLES1	Cdk5 and Abl enzyme substrate 1	-1.90882836164175	0.00721388390917933
ENSOARG00000008163	101104773	POU2F2	POU class 2 homeobox 2	-1.94515170654039	0.00888436874011648
ENSOARG00000008188	101105245	ANXA6	annexin A6	-0.897214535971591	0.0256372131460362
ENSOARG00000008209	101115265	FNBP1	formin binding protein 1	1.08395523964466	0.0395746799143269
ENSOARG00000008212	101119848	ITGA2	integrin subunit alpha 2	-1.16174125088945	0.0232086184153647
ENSOARG00000008244	101108588	ZBTB17	zinc finger and BTB domain containing 17	0.870582861554515	0.0156310391428566
ENSOARG00000008255	101105716	HSD3B7	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7	-0.929464672140404	0.00520456695498698
ENSOARG00000008257				-1.20191268249298	0.0169521020341187
ENSOARG00000008281	101106938	PLPP2	phospholipid phosphatase 2	-1.11637709159521	0.0011278063411019
ENSOARG00000008297	101118148	ATP1A2	ATPase Na+/K+ transporting subunit alpha 2	-1.22781157427544	0.0221904166755707
