ENSEMBL	ENTREZID	SYMBOL	DESCRIPTION	LPS100_1_hit.vs.Ctrl_1_hit.logFC	LPS100.A10_1_hit.vs.Ctrl_1_hit.logFC	LPS100_1_hit.vs.Ctrl_1_hit.p.value	LPS100.A10_1_hit.vs.Ctrl_1_hit.p.value
ENSOARG00000009879	101119084	HPDL	4-hydroxyphenylpyruvate dioxygenase like	-2.06894615863273	-1.55291626548773	0.00422321192626248	0.0198097330951082
ENSOARG00000010017	101111717	SLC22A16	solute carrier family 22 member 16	-1.16384931664195	-1.5790543363553	0.0334549660239434	0.0047735992431523
ENSOARG00000010480	101120933	CASKIN2	CASK interacting protein 2	-0.970966503148332	-0.929763093277588	0.0171392158798587	0.0279836769302887
ENSOARG00000010864	101110257	SPTLC3	serine palmitoyltransferase long chain base subunit 3	1.40817269992151	1.49949529087468	0.008716010222225	0.00530307168313699
ENSOARG00000010890	101112240	PDPN	podoplanin	0.971920844520255	1.1300209502262	0.0321224180961329	0.00783524263922985
ENSOARG00000010919	101122499	STX17	syntaxin 17	0.923628153977562	1.17247888881725	0.0178070346280312	0.00104940154533811
ENSOARG00000010984	101121743	PDE9A	phosphodiesterase 9A	-1.12121860978468	-1.37868682391638	0.0439543708768487	0.0107643192549039
ENSOARG00000011009	101102402	TEX14	testis expressed 14, intercellular bridge forming factor	1.52046556395578	1.92918771827823	0.0370286836173556	0.00787749034942348
ENSOARG00000011061				-1.24195728687341	-1.41074874257898	0.016380501919668	0.00665115701064125
ENSOARG00000011069	101106050	PKNOX1	PBX/knotted 1 homeobox 1	1.13052176687495	1.33946057444572	0.0194125316478158	0.00466885535299352
ENSOARG00000011307	101123278	ST6GALNAC6	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 6	-0.824763606683207	-1.18195050529426	0.0370049931363294	0.000427273219713663
ENSOARG00000011332	101113676	CBARP	CACN subunit beta associated regulatory protein	-0.919756180696554	-1.25642536743316	0.0172602095572837	0.000514632859555644
ENSOARG00000012029				-0.932980079723093	-2.11694500046917	0.0348159920118954	2.88943646770267e-05
ENSOARG00000012633	101109825	PPFIA3	PTPRF interacting protein alpha 3	-1.08901688375677	-1.7570016629978	0.0417594414309653	0.00158610441132566
ENSOARG00000012945	101105631	CTPS2	CTP synthase 2	-0.839636233102097	-0.985546823837235	0.045762404646108	0.00728227159466956
ENSOARG00000013298	101112387	OLFML2A	olfactomedin like 2A	-1.29650984720652	-1.51747571835953	0.0473262567489146	0.0221875879119819
ENSOARG00000014192				-1.15586120986696	-2.61093290424067	0.0252403248647632	0.000112696933143709
ENSOARG00000014654		FRMD8	FERM domain containing 8	-0.874771459826104	-0.951182355710846	0.0412422590034901	0.0173166572611895
ENSOARG00000015175	101117905	MTMR9	myotubularin related protein 9	0.826223621233124	1.1986646089029	0.0329006081202757	0.000291228960533236
ENSOARG00000015319	101117833	KLF11	Kruppel like factor 11	-2.02123446334031	-1.85496606291644	0.0219077687004766	0.0357006911879976
ENSOARG00000015331	443240		casein kinase I isoform epsilon	-0.819856016727391	-1.0815684598875	0.0435984234921008	0.00135177479078788
ENSOARG00000016560		IGFALS	insulin like growth factor binding protein acid labile subunit	-1.5928995554607	-1.25228251866561	0.00983064798726371	0.0390284201411444
ENSOARG00000016642	101109956	ITGB7	integrin subunit beta 7	-1.21308219508794	-1.60115862191519	0.0244402402689132	0.00381122719007379
ENSOARG00000016794	101105305	ZMYM3	zinc finger MYM-type containing 3	-0.913746013720367	-0.907781892211405	0.0151827218704788	0.0169072817437693
ENSOARG00000017288	101123096	PLEKHA3	pleckstrin homology domain containing A3	0.934378279397778	1.03165732628794	0.014443753186012	0.00443446166756309
ENSOARG00000017296	101103312	NUAK1	NUAK family kinase 1	-1.61752531740457	-2.54445571178403	0.036791895373831	0.00221898887432718
ENSOARG00000017486		ADORA2B	adenosine A2b receptor	-1.15384360389029	-1.16333546459888	0.0465936276184564	0.0452862008413723
ENSOARG00000017663	101121782	MYBL1	MYB proto-oncogene like 1	-1.64821217713784	-1.62786741585195	0.0269769779097132	0.0301931671052682
ENSOARG00000018123	101119487	SARM1	sterile alpha and TIR motif containing 1	-1.13261829990631	-1.50390598311661	0.0252403248647632	0.00295891667085468
ENSOARG00000018165	101117755	RAB3D	transmembrane protein 205	-1.01681704978129	-1.82014414232218	0.014658357714691	8.4990366064048e-05
ENSOARG00000018480		FAM83G	family with sequence similarity 83 member G	-1.36435137047941	-1.40783239033729	0.0414771480650281	0.0361602818274358
ENSOARG00000019074	101118362	NYNRIN	NYN domain and retroviral integrase containing	-1.0537604230987	-1.95684494917672	0.0412422590034901	0.000376384561211821
ENSOARG00000019171	101106839	KCTD17	potassium channel tetramerization domain containing 17	-1.01681360851241	-1.02306976202431	0.0252744097332919	0.0252526814210239
ENSOARG00000019382	101101893	C14orf93	chromosome 7 open reading frame, human C14orf93	-1.11827807639577	-1.04425382055133	0.0266776961883549	0.0463568451813378
ENSOARG00000019687	101114961	ARHGEF40	Rho guanine nucleotide exchange factor 40	-0.846903571673977	-1.50265325629659	0.0291553206544433	5.52493403917775e-05
ENSOARG00000019933	101121133	DCLRE1B	DNA cross-link repair 1B	-1.08097276469064	-1.43172994606098	0.00345514602271484	0.000217177695521749
ENSOARG00000020229	101108574	CHST14	carbohydrate sulfotransferase 14	-0.974868805546475	-0.995340266533074	0.0332678420984635	0.0281804761028635
ENSOARG00000021197	101103160	MAP3K9	mitogen-activated protein kinase kinase kinase 9	1.01007359507122	1.30048716803112	0.00887681314121728	0.000522428746595517
ENSOARG00000021199	101122281	SIPA1L1	signal induced proliferation associated 1 like 1	-0.972558053052186	-0.84199490950633	0.00764064326314088	0.0432784840218116
