ENSEMBL	ENTREZID	SYMBOL	DESCRIPTION	LPS100_1_hit.vs.Ctrl_1_hit.logFC	LPS100_1_hit.vs.Ctrl_1_hit.p.value
ENSOARG00000018361		ZDHHC8	zinc finger DHHC-type containing 8	-0.990582792924584	0.00864532712592835
ENSOARG00000018420	101109587	LOC101109587	putative protein FAM172B	1.46318541823824	0.0183926210829443
ENSOARG00000018498		PEX10	peroxisomal biogenesis factor 10	-1.02236391631792	0.0480616640984623
ENSOARG00000018504	101119979	TPK1	thiamin pyrophosphokinase 1	-1.09181172606247	0.033785024039113
ENSOARG00000018720	101106451	SNPH	syntaphilin	-1.11255316020194	0.0393952287525662
ENSOARG00000018727	101118358	FAM13A	family with sequence similarity 13 member A	1.14357503514233	0.0346897136558096
ENSOARG00000018966	101110416	BBS4	Bardet-Biedl syndrome 4	0.891568450618499	0.0328451992034968
ENSOARG00000018970	101115924	CIP2A	cell proliferation regulating inhibitor of protein phosphatase 2A	1.007592186108	0.032446277357926
ENSOARG00000019231	101107857	ELFN2	extracellular leucine rich repeat and fibronectin type III domain containing 2	-1.04239615265464	0.0427573772915104
ENSOARG00000019291		PRR5	proline rich 5	-0.876684619218434	0.0415599583401864
ENSOARG00000019463	101112271	CD53	CD53 molecule	0.943146848286945	0.0420978185595009
ENSOARG00000019557	101110306	CTDSP1	CTD small phosphatase 1	-0.933946433957163	0.0399014989485424
ENSOARG00000019896	101116516	MTF1	metal regulatory transcription factor 1	1.04024771859089	0.0137047619722503
ENSOARG00000020072	101106849	FSIP1	fibrous sheath interacting protein 1	1.38516281403085	0.0224215989955307
ENSOARG00000020102		NHLRC1	NHL repeat containing E3 ubiquitin protein ligase 1	-1.28627505655663	0.0249709610862355
ENSOARG00000020301	101122917		tyrosine kinase non receptor 2	-1.17224290943346	0.0391605206232645
ENSOARG00000020394	101102615	ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	1.2768232310129	0.0217185281304347
ENSOARG00000020414	101121590	LOC101121590	protein SCO2 homolog, mitochondrial	-1.03963774565947	0.0266776961883549
ENSOARG00000020541	101103139	TMEM150A	transmembrane protein 150A	-1.0072083569817	0.0286547205986063
ENSOARG00000020762	101109256	THNSL2	threonine synthase like 2	-1.40897968295911	0.0353427155821845
ENSOARG00000020864	101112472	BORCS5	BLOC-1 related complex subunit 5	-1.08226119316941	0.0192855595682163
ENSOARG00000020894	101119464	ETV6	ETS variant 6	1.06233771141884	0.033001545192872
ENSOARG00000020895	101104754	PYGO1	pygopus family PHD finger 1	-1.12575151619699	0.013560094697196
ENSOARG00000021109	100381249	PSMA3	proteasome subunit alpha 3	0.918071080059784	0.0311658547522387
