ENSEMBL	ENTREZID	SYMBOL	DESCRIPTION	LPS100.A10_1_hit.vs.LPS100.A10_2_hit.logFC	LPS100.B100_1_hit.vs.LPS100.B100_2_hit.logFC	LPS100.A10_1_hit.vs.LPS100.A10_2_hit.p.value	LPS100.B100_1_hit.vs.LPS100.B100_2_hit.p.value
ENSOARG00000009205	101102378	CDA	cytidine deaminase	-1.52156152952091	-0.997827922285274	0.00168958411204212	0.042501802129814
ENSOARG00000009238	101121992	THOC1	THO complex 1	1.08143303093809	0.898204289591248	0.0105622426710029	0.0479943599919911
ENSOARG00000009248	101105691	PRPF39	pre-mRNA processing factor 39	1.20710637830108	1.16668269121963	0.0292778998668097	0.0305110795108669
ENSOARG00000009321	101111072	MTMR7	myotubularin related protein 7	3.47329764406381	3.12489797776837	0.026642084986511	0.0173656511364958
ENSOARG00000009441	101102311	TBCK	TBC1 domain containing kinase	1.18764822229799	1.19415503407488	0.00689506094983742	0.00659832133661614
ENSOARG00000009537		DUSP5	dual specificity phosphatase 5	-1.66991895007976	-1.34098080471925	0.000720898555448756	0.0033975432820886
ENSOARG00000009588		RYBP	RING1 and YY1 binding protein	-1.215567537141	-0.983339050976711	0.00915712919249669	0.0437060460772887
ENSOARG00000009773	101104656	RAD23A	RAD23 homolog A, nucleotide excision repair protein	-0.984331883926039	-0.914659011757449	0.021758619771632	0.0371271291673214
ENSOARG00000009803	101106766	TWISTNB	TWIST neighbor	-1.45520949206946	-1.07659188142899	0.00268195318747268	0.0258537620235348
ENSOARG00000009913	101116596	PPP1R13L	protein phosphatase 1 regulatory subunit 13 like	1.06183721586656	0.955178372343399	0.028225627014647	0.0476906219211141
ENSOARG00000010277	101118650	CDC42BPG	CDC42 binding protein kinase gamma	-1.22533077364847	-1.42465574324956	0.0124693029183829	0.00330189033101168
ENSOARG00000010281	101118379	DMPK	DM1 protein kinase	-1.2634530315495	-1.10744143190747	0.00401092943186069	0.012158250643849
ENSOARG00000010291		DMWD	DM1 locus, WD repeat containing	-0.877235921813925	-0.878355865287321	0.0498599974397439	0.0445222947338546
ENSOARG00000010423				-1.59568152350701	-1.33634029784568	0.00301963955771731	0.0120762636774086
ENSOARG00000010468	101120466	PRDM15	PR/SET domain 15	-1.32587592658762	-1.16852150700935	0.00717743795596783	0.0174567672863036
ENSOARG00000010526	101120722	C2CD2	C2 calcium dependent domain containing 2	-1.31258977673704	-1.07748329723627	0.00875292523919431	0.0347210136789792
ENSOARG00000010697	101108399	RFC3	replication factor C subunit 3	0.974452524204828	1.06663306612622	0.0440930648324403	0.0217873349806898
ENSOARG00000010704		ADRA2A	adrenoceptor alpha 2A	-2.10910700185176	-1.86269873231409	0.00900404375658671	0.0116476177650068
ENSOARG00000010729	443246	SLC1A3	solute carrier family 1 member 3	-1.67117353561609	-1.14701041306156	0.000861697932191507	0.0134867485927743
ENSOARG00000010758	101104819	SPAST	spastin	1.17354467962991	1.02627746084609	0.0121990974613753	0.0329565753923529
ENSOARG00000010812				1.08153430263064	0.991836303691827	0.018982075739504	0.0281405714044681
ENSOARG00000010858				1.21785083996566	0.943420918683932	0.00546583569267169	0.0394381888077348
ENSOARG00000011042	101113745	LOC101113745	transmembrane protein 198-like	1.04169968938105	1.08687541762022	0.0456550249341627	0.0280213149602575
ENSOARG00000011174	101109467	C1orf112	chromosome 12 open reading frame, human C1orf112	1.22580264482658	1.18595331358661	0.0376326501931113	0.0438067898451524
ENSOARG00000011199	100913169	ATG5	autophagy related 5	1.0304771814437	1.23599058489537	0.0251182514403007	0.00526375175484979
ENSOARG00000011230	101120509	THAP3	THAP domain containing 3	1.04280285197431	1.06329782527988	0.0351203715600585	0.0291752841496782
ENSOARG00000011290		SDHAF4	succinate dehydrogenase complex assembly factor 4	1.22545030552218	1.23365825767742	0.00938380435532803	0.00854134964201463
ENSOARG00000011352	101116433	MST1R	macrophage stimulating 1 receptor	3.45347160053275	1.68410654915289	0.000330039362671639	0.00283665960620022
ENSOARG00000011538	101121712	VPS33A	VPS33A, CORVET/HOPS core subunit	0.933280174521906	0.937922228969219	0.024730599737357	0.0209152100120003
ENSOARG00000011678				1.58063495446486	1.59749574315113	0.0174995411899134	0.0151871381368099
ENSOARG00000011874	101103575	PNISR	PNN interacting serine and arginine rich protein	1.39419681697784	1.11910245360221	0.00382934080057794	0.0166081320731568
ENSOARG00000012229	101107698	WDR83	WD repeat domain 83	-0.916317855072615	-1.07310251815067	0.0320135746956812	0.00612357768219476
ENSOARG00000012246				1.08275033854913	1.03830521631067	0.0289011185425361	0.0333456291262463
ENSOARG00000012548	101105510		zinc finger protein 250	-1.26870562223282	-1.30020537127309	0.0222411362838925	0.0205336095046047
ENSOARG00000012875	101107310	BLM	BLM RecQ like helicase	1.52750772380452	1.50939564538209	0.00548740996482689	0.00658846524690096
ENSOARG00000012938	101114275	RNASE4	ribonuclease A family member 4	-0.908700889939165	-1.11529273144568	0.0286280583377823	0.00306486908284934
ENSOARG00000013076	101119215	GNA11	G protein subunit alpha 11	-0.958723485327069	-0.855889609595894	0.0133324141157404	0.0372042732225922
ENSOARG00000013095	100499498		makorin ring finger protein 1	-0.921572166418685	-1.14643195682994	0.0238002637437905	0.0021959544453239
ENSOARG00000013311	101116737	TONSL	tonsoku like, DNA repair protein	1.62689975614213	2.1847860126244	0.00713970328596853	0.00112087704194587
ENSOARG00000013541	101111664		glutathione S-transferase theta 2B	-1.47937719866365	-0.982341840145318	0.000544745069016842	0.0215617831784231
ENSOARG00000013545		OLFM2	olfactomedin 2	-1.68131852584993	-1.29662086343226	0.00247670967762981	0.0123362068198969
ENSOARG00000013589	101118990		glutathione S-transferase theta-1	-2.17147528074762	-1.28503614366752	0.00127052824224704	0.035787333578322
ENSOARG00000013590	101117845	LIMCH1	LIM and calponin homology domains 1	-2.14898624444495	-1.56869298463031	0.00249474818327066	0.0154367481102629
ENSOARG00000013717				-1.26121538195084	-1.3592269594523	0.0261187405272292	0.0121634124373351
ENSOARG00000013727	101108264	TTLL7	tubulin tyrosine ligase like 7	1.1160134899273	1.08572038296301	0.0443641532391818	0.0498657272605733
ENSOARG00000014063	101107536	CDC6	cell division cycle 6	2.18129150976051	2.03384344661856	0.00903758599977444	0.00682005173683244
ENSOARG00000014198	101102469	GCAT	glycine C-acetyltransferase	-1.0211700002373	-1.15480862049494	0.0249807584875343	0.00847610606120878
ENSOARG00000014312	101123222	AJAP1	adherens junctions associated protein 1	-1.56992419638644	-1.82100376503748	0.0442194674958578	0.0189027177461419
ENSOARG00000014350	101114320	ZNHIT6	zinc finger HIT-type containing 6	-0.895889674561805	-0.95443419460285	0.0277983605134487	0.012394667528235
ENSOARG00000014594				1.45779016653884	1.47071680859588	0.0198552308553798	0.0155149702837599
ENSOARG00000014680				1.19339629609338	0.944219519719748	0.00384060326191857	0.0273551078301916
ENSOARG00000014697	101119099	GPR160	G protein-coupled receptor 160	1.54725018223309	2.00021191558841	0.0450210599588843	0.0103289456180027
ENSOARG00000014758	101115156	CCDC153	coiled-coil domain containing 153	-1.75638025389244	-1.85382182381191	0.0206729283836287	0.0119341173008497
ENSOARG00000014789	101116033	MBOAT2	membrane bound O-acyltransferase domain containing 2	-1.79584767991659	-1.32256629101575	0.00845882335023482	0.0404627357693218
ENSOARG00000014811	101107766	SCARA3	scavenger receptor class A member 3	-1.32802190917775	-1.02365607127495	0.000282300795536715	0.00421837705024826
ENSOARG00000014838	101122264		nucleosome assembly protein 1 like 1	1.07267349290239	0.859639430817718	0.00522949679116048	0.0411440552819514
ENSOARG00000015005				1.7797742905196	0.971513842624609	0.000506932221227456	0.0389501164238225
ENSOARG00000015091	101120553	ZDHHC9	zinc finger DHHC-type containing 9	-1.04965931742685	-1.042350565077	0.00383118290380352	0.00357505577620126
ENSOARG00000015227	101122993	LTBP3	latent transforming growth factor beta binding protein 3	-0.936999870697126	-0.85598641407531	0.0132853484795192	0.0309559320506442
ENSOARG00000015274	101121032	DOK5	docking protein 5	-1.2737084987548	-1.00552165621195	0.00179102450450047	0.0149417652031914
ENSOARG00000015333	101118093	RRM2	ribonucleotide reductase regulatory subunit M2	1.65521500865815	1.36174320656368	0.0224105320837123	0.0454890628024655
ENSOARG00000015391	100135448	ARNT2	Ovis aries aryl hydrocarbon receptor nuclear translocator 2 (ARNT2), mRNA.	-1.68138262256168	-1.10573022440448	0.00103203142705971	0.0213991123564484
ENSOARG00000015449				1.6404137070093	1.34445890019359	0.005512542870569	0.01495048941672
ENSOARG00000015452				1.35130583551381	1.1659400865911	0.00273227282285189	0.00850968211301338
ENSOARG00000015463				1.39222964966183	1.17035815617238	0.00834279909710737	0.0252624143939111
ENSOARG00000015467	101109084	DRAM1	DNA damage regulated autophagy modulator 1	1.87311543909974	1.53620728763107	0.0142585550395524	0.0330711607248858
ENSOARG00000015473	101115210	PRDM5	PR/SET domain 5	-1.25042729468973	-1.41419048426316	0.0260235040030912	0.00926627819757272
ENSOARG00000015536	101116178	CEMIP	cell migration inducing hyaluronidase 1	-2.03410387135756	-1.18117982394185	0.000827031896229295	0.0307762971654826
ENSOARG00000015559				1.55180291485037	1.02471241451805	0.00030713703873095	0.00984592736903833
ENSOARG00000015826	101119067	MASTL	microtubule associated serine/threonine kinase like	1.71612647877381	1.60474998833839	0.00598940466891915	0.00839805536313843
ENSOARG00000015937		TMEM204	transmembrane protein 204	2.05759743284704	1.77897053706212	0.0284571672245729	0.0395075681046478
ENSOARG00000016004	101121522	MCC	MCC, WNT signaling pathway regulator	-1.09612555188627	-1.04543641397097	0.0346724473123128	0.0407846548775029
ENSOARG00000016039	101103649	DCP2	decapping mRNA 2	0.991008210531863	1.03077879479408	0.0307197050143603	0.0187078184209633
ENSOARG00000016224	101123512	PPP1R3C	protein phosphatase 1 regulatory subunit 3C	-1.59534300594928	-1.3093169593723	0.00392840779462524	0.0133507113581273
ENSOARG00000016407				2.21717506918413	3.04418298090475	0.0432990524893771	0.0118223926745066
ENSOARG00000016463				-1.35932118765128	-1.32474122381558	0.00692933215585875	0.0077795170341615
ENSOARG00000016775	100216465	ATF4	activating transcription factor 4	-1.00639553383282	-1.11548778598959	0.0255798178913542	0.00907500964515371
ENSOARG00000017121	101108506	KIF21B	kinesin family member 21B	2.69289118371709	2.39441530085782	0.00629762049768796	0.00821146692898167
ENSOARG00000017181	101109802	CCDC158	coiled-coil domain containing 158	-1.36769512939865	-1.33425085721708	0.0440930648324403	0.0427578975210511
ENSOARG00000017192				-1.90713194476008	-1.31757880573391	0.00779266848311902	0.0493530707859309
ENSOARG00000017263		TMEM237	transmembrane protein 237	-1.18031050997338	-1.18335123944437	0.0144922624099445	0.0142614731483022
ENSOARG00000017345	101113071	SLC10A4	solute carrier family 10 member 4	-3.01747007662506	-2.14232476502341	0.00522949679116048	0.0471933313270289
ENSOARG00000017370	101115200	TCP11L2	t-complex 11 like 2	1.16339886365667	1.16831735035771	0.0475045880908883	0.0410218157455411
ENSOARG00000017454	101116565	SMARCA4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4	-0.922720848897977	-0.852128373052612	0.0235124616496866	0.0445555087404511
ENSOARG00000017486		ADORA2B	adenosine A2b receptor	1.8637924506109	1.69560421878981	0.0151703803492014	0.0199464896536274
ENSOARG00000017544	101112659	LRRC45	leucine rich repeat containing 45	1.25618354952622	1.32017466492065	0.0173676377093603	0.0143729176619499
ENSOARG00000017577		ING5	inhibitor of growth family member 5	-1.27673311643763	-1.31161149123465	0.0479411749554401	0.0421094331020819
ENSOARG00000017827	101102439	AP5B1	adaptor related protein complex 5 subunit beta 1	1.64233216363935	1.67999049230779	0.0373166344479003	0.03364732046568
ENSOARG00000017830	101123261	UFSP1	UFM1 specific peptidase 1 (inactive)	-1.50590698893991	-1.49036487622782	0.0212012046486283	0.0190140637646256
ENSOARG00000017921	101112610	SASS6	SAS-6 centriolar assembly protein	1.24785509229332	1.38279363353585	0.017632194658178	0.00697911677396125
ENSOARG00000017964	101118126	IRX3	iroquois homeobox 3	-1.76417929434916	-2.03518012587276	0.0413764488232432	0.0182683727079732
ENSOARG00000018035	443115	MMP2	matrix metallopeptidase 2	-0.906897397213298	-0.828622040125169	0.0210952923990032	0.0461194604400005
ENSOARG00000018390				1.44374124961707	1.45753267490287	0.00136211819582501	0.001089911518864
ENSOARG00000018447	101113852	SGCB	sarcoglycan beta	-1.17889902957378	-1.04071733561816	0.00960945234877516	0.0238015933428162
ENSOARG00000018454	101103837	ABTB2	ankyrin repeat and BTB domain containing 2	-1.51669263883802	-1.15779891380366	0.00153617613141229	0.0123362068198969
ENSOARG00000018469	101111645	MTHFR	methylenetetrahydrofolate reductase	1.31039366602796	1.25337585971725	0.0350587101462904	0.0326683664265136
ENSOARG00000018487	101110464	CTSW	cathepsin W	-1.97173389844136	-2.30718153333385	0.0324327128561327	0.0392460557460786
ENSOARG00000018520	101119917	PRPSAP2	phosphoribosyl pyrophosphate synthetase associated protein 2	-1.03399265764297	-0.884684497582178	0.00598940466891915	0.028372061896325
ENSOARG00000018886	101110145	PKM	pyruvate kinase PKM	-0.985433576409061	-1.03440042814784	0.0112119283420084	0.00606377016285363
ENSOARG00000018909	101103718	ARMC10	armadillo repeat containing 10	1.29169698868911	1.07124006927816	0.00525660183277939	0.0207181361079606
ENSOARG00000019012	101121699	SRXN1	sulfiredoxin 1	1.63944370228882	1.27632120098797	0.00680660983822204	0.0281043059420452
ENSOARG00000019297	101108092	LOC101108092	glutathione S-transferase Mu 1	-1.22082018138095	-1.29250435230773	0.00786902304667336	0.00432341737335299
ENSOARG00000019375	101107515	HDAC7	histone deacetylase 7	1.40541315852168	1.41816493519391	0.00949679023988347	0.00757479638672685
ENSOARG00000019382	101101893	C14orf93	chromosome 7 open reading frame, human C14orf93	2.07884910271419	1.64913012454274	0.00419772784657983	0.0129452092608893
ENSOARG00000020197				1.05448178574054	1.20803439537523	0.020150058923031	0.00583124292841304
ENSOARG00000020424		PPCS	phosphopantothenoylcysteine synthetase	0.99191929039197	1.26221051422893	0.0417984252579235	0.00623647802904506
ENSOARG00000020585	101119826	TMEM62	transmembrane protein 62	1.09256974086775	1.20233743924972	0.0232949816719836	0.00978195700761634
ENSOARG00000020607	101123044	POLE2	DNA polymerase epsilon 2, accessory subunit	1.64144110352865	1.63086897002793	0.0125957650867397	0.0155480071948878
ENSOARG00000021023	101102473		G2/mitotic-specific cyclin-B1-like	9.39954690566303	8.72690797818645	0.000172770400486194	0.000366024388621255
ENSOARG00000021072		THEM4	thioesterase superfamily member 4	1.84240558135406	1.97687767907252	0.0228468042150839	0.0126911358723433
ENSOARG00000021176				1.52131246191563	1.96121596154773	0.031367357923581	0.00927528293077507
