ENSEMBL	ENTREZID	SYMBOL	DESCRIPTION	LPS100.B100_1_hit.vs.LPS100.B100_2_hit.logFC	LPS100.B100_1_hit.vs.LPS100.B100_2_hit.p.value
ENSOARG00000003626	101119246	NUMA1	nuclear mitotic apparatus protein 1	0.922019834044204	0.0148280541276983
ENSOARG00000003658	101103804		ATP binding cassette subfamily F member 2	-0.860650350275958	0.0305895857994504
ENSOARG00000003713	101116372	ACTN2	actinin alpha 2	-1.65065752898088	0.016773461208358
ENSOARG00000003727	101110440	LOC101110440	zinc finger protein 211-like	1.07696192246994	0.0361481730460229
ENSOARG00000003756	101103287	ANKS3	ankyrin repeat and sterile alpha motif domain containing 3	-0.898662901772099	0.0196720225307978
ENSOARG00000003786	101108504	TRMT1L	tRNA methyltransferase 1 like	1.2691340233335	0.00929909406407126
ENSOARG00000003791	101111620	C12orf66	chromosome 3 open reading frame, human C12orf66	-1.34831345664614	0.0357052804576209
ENSOARG00000003882	101115250	YPEL3	yippee like 3	1.65326145013111	0.0282331267151543
ENSOARG00000003891	101105169	PTRH2	peptidyl-tRNA hydrolase 2	-0.954748446655689	0.0366461812046623
ENSOARG00000003959	101120047	RASGEF1A	RasGEF domain family member 1A	1.73804862672077	0.0142505386707636
ENSOARG00000004045		ZNF354C	zinc finger protein 354C	-1.44703902877461	0.0196176289466636
ENSOARG00000004112	101107451	TRAF4	TNF receptor associated factor 4	-0.978109043490813	0.0266770114776035
ENSOARG00000004156	101123224	SWT1	SWT1, RNA endoribonuclease homolog	1.54759104086191	0.0259005545194495
ENSOARG00000004172	101107295	LOC101107295	alanyl-tRNA editing protein Aarsd1	-0.925160665601692	0.018590197554636
ENSOARG00000004272				-1.25470930170614	0.023839040594497
ENSOARG00000004352		SIAH2	siah E3 ubiquitin protein ligase 2	-0.919611301959541	0.0475233965842134
ENSOARG00000004402	101110149	DYNLT1	dynein light chain Tctex-type 1	-0.935263203927548	0.0345324890308759
ENSOARG00000004435	101105644		eukaryotic peptide chain release factor subunit 1	-0.971047396083055	0.0145001676534075
ENSOARG00000004495	101106217	HELLS	helicase, lymphoid specific	1.65384730762795	0.00322346101084249
ENSOARG00000004498	101110654	DHDDS	dehydrodolichyl diphosphate synthase subunit	-0.889048171962366	0.0342375513172296
ENSOARG00000004562	101110470	ZADH2	zinc binding alcohol dehydrogenase domain containing 2	1.09025747794281	0.0209923572067983
ENSOARG00000004563	101123267	NKIRAS1	NFKB inhibitor interacting Ras like 1	1.73773916684942	0.0167134999813306
ENSOARG00000004570				-1.28785714795503	0.0187608459043167
ENSOARG00000004866				-1.18272900723677	0.0245024768997026
ENSOARG00000004963	101115978	RAB7B	RAB7B, member RAS oncogene family	1.08145689952819	0.0419016946849614
ENSOARG00000005030	101118408	KCTD13	potassium channel tetramerization domain containing 13	-0.988673828306816	0.0179492777002927
ENSOARG00000005121	101119212	AFAP1L1	actin filament associated protein 1 like 1	1.55964432033925	0.0261100041227067
ENSOARG00000005159	101104705	LOC101104705	plasminogen activator inhibitor 2-like	-1.53600649393047	0.0289590182002518
ENSOARG00000005285	101121966	CLPB	ClpB homolog, mitochondrial AAA ATPase chaperonin	-0.96633346813582	0.00936480184866284
ENSOARG00000005406	101107841	HKDC1	hexokinase domain containing 1	1.56895928531643	0.0349259250274817
ENSOARG00000005408	101103173	ZNF570	zinc finger protein 570	-1.19243097087447	0.0419185419995485
ENSOARG00000005416	101106958	MCM10	minichromosome maintenance 10 replication initiation factor	0.994224625450634	0.0475360488351827
ENSOARG00000005525	101116274	MALT1	MALT1 paracaspase	1.31836585306972	0.0396266687063043
ENSOARG00000005545	101116001	COA7	cytochrome c oxidase assembly factor 7	-1.2720679957762	0.0140593898964426
ENSOARG00000005573	101115432	MAGEH1	MAGE family member H1	-1.23997953444278	0.00794672836753059
ENSOARG00000005602	101110621	C12orf49	chromosome 17 open reading frame, human C12orf49	-1.06913079774085	0.0186193879702321
ENSOARG00000005735	105609414	UMAD1	UBAP1-MVB12-associated (UMA) domain containing 1	1.32626681782576	0.0479943599919911
ENSOARG00000005824		BAG2	BCL2 associated athanogene 2	-1.38211966075825	0.0207171434016027
ENSOARG00000005842	101119820	CASP6	caspase 6	1.46388167722495	0.038922840431406
ENSOARG00000005982				-0.972184271246496	0.0473141229918067
ENSOARG00000005994	101105204	TRPC1	transient receptor potential cation channel subfamily C member 1	1.07913902976466	0.046338515995631
ENSOARG00000006012				-1.26658263920376	0.0487096746753592
ENSOARG00000006086	101115645	PLEKHG2	pleckstrin homology and RhoGEF domain containing G2	1.28520443161374	0.0115581974687018
ENSOARG00000006099				1.17891387944402	0.0194740993387021
ENSOARG00000006183	100505404		microcephalin 1	-1.22595231181095	0.00466912620199159
ENSOARG00000006234	101107241	ISG20L2	interferon stimulated exonuclease gene 20 like 2	-0.951277862789418	0.0264528489465748
ENSOARG00000006249	101110875	TBX3	T-box 3	-1.42227071787887	0.0286642380254
ENSOARG00000006254	101111670	DNPH1	2'-deoxynucleoside 5'-phosphate N-hydrolase 1	-1.04499104223205	0.0209713415560248
ENSOARG00000006341	101104080	IDH3B	isocitrate dehydrogenase 3 (NAD(+)) beta	-0.934997208747295	0.0144214412795872
ENSOARG00000006411	101120912	MED27	mediator complex subunit 27	-1.06892362510424	0.0102291491495476
ENSOARG00000006414	101105168	DIAPH3	diaphanous related formin 3	0.978759867193606	0.0434506654637421
ENSOARG00000006539		SAMD1	sterile alpha motif domain containing 1	0.947816680147757	0.0393383582181705
ENSOARG00000006667	101121416	UCK1	uridine-cytidine kinase 1	-1.15843560634582	0.0085853358105226
ENSOARG00000006692	101104233	CLK4	CDC like kinase 4	1.01701192990406	0.0297634887908272
ENSOARG00000006702	101107037		tyrosine-protein phosphatase non-receptor type 11-like	2.53809723246078	0.00426861253261514
ENSOARG00000006799	101115474	ACOT8	acyl-CoA thioesterase 8	1.05743573293959	0.0496037477871204
ENSOARG00000007112	101116070	VMO1	vitelline membrane outer layer 1 homolog	2.06955205206547	0.00720767157927996
ENSOARG00000007125	101111236	CLNS1A	chloride nucleotide-sensitive channel 1A	-0.882809933233463	0.0416926228846409
ENSOARG00000007130	101113351	CLSTN1	calsyntenin 1	-0.843654344034385	0.0381791828283135
ENSOARG00000007229	101102561	CD74	CD74 molecule	1.27281290368624	0.0458391152750717
ENSOARG00000007605	101120014	FNBP4	formin binding protein 4	0.986030190521517	0.0345370809383378
ENSOARG00000007685	101111028	ZC2HC1A	zinc finger C2HC-type containing 1A	1.29228827810049	0.0313927570715069
ENSOARG00000007751	101110140	IFFO1	intermediate filament family orphan 1	1.42405949570752	0.00456304440527477
ENSOARG00000007783		ASMTL	acetylserotonin O-methyltransferase like	-0.980505585163975	0.0411528361956885
ENSOARG00000007800	101122028	UTP3	UTP3, small subunit processome component	-0.904851742437378	0.0439190995291381
ENSOARG00000007967	101120778	NUP160	nucleoporin 160	-0.998851385902063	0.0322341217531046
ENSOARG00000008185	101105645	PRIM1	DNA primase subunit 1	1.69087398013766	0.0453765188176857
ENSOARG00000008214		PES1	pescadillo ribosomal biogenesis factor 1	-1.055572586254	0.0180841868383089
ENSOARG00000008311	101122068	MIB1	mindbomb E3 ubiquitin protein ligase 1	-1.05236872892428	0.0164363315237558
ENSOARG00000008469	101118967	KPNB1	karyopherin subunit beta 1	-0.902066285947891	0.0186105855297062
ENSOARG00000008524	101104140	PTGES	prostaglandin E synthase	2.02636476348955	0.01758914232296
ENSOARG00000008684	101122874	NPEPPS	aminopeptidase puromycin sensitive	0.909024492389091	0.0388229244940611
ENSOARG00000008726	101109678	IQSEC2	IQ motif and Sec7 domain 2	1.25548724452349	0.0128688004232174
ENSOARG00000008795	101107040		immunity related GTPase Q	-0.961102041222126	0.0499084631188832
ENSOARG00000008806	101111451	WIPF3	WAS/WASL interacting protein family member 3	1.53737632067185	0.0166342944530144
ENSOARG00000008915	101119633	HNRNPLL	heterogeneous nuclear ribonucleoprotein L like	1.07809227159845	0.0114084811293658
ENSOARG00000009052	101109640	ZNF112	zinc finger protein 112	-1.05673426203063	0.0344080193008774
ENSOARG00000009057				-1.0688169909571	0.0159588562519086
ENSOARG00000009166	101104440	SF1	splicing factor 1	-0.919948336879318	0.0180756140708968
ENSOARG00000009297	101114664	FOPNL	FGFR1OP N-terminal like	1.06702920388683	0.0199324960533124
ENSOARG00000009386	101120049	VPS37A	VPS37A, ESCRT-I subunit	0.954889677269719	0.0200527872626903
ENSOARG00000009486	101122612	NME7	NME/NM23 family member 7	1.0427319889956	0.016247449192016
ENSOARG00000009622	101114394	EIF4E3	eukaryotic translation initiation factor 4E family member 3	1.26820417673168	0.0209374752207411
ENSOARG00000009644	101123051	NHLRC3	NHL repeat containing 3	1.0849556197703	0.0219761773228169
ENSOARG00000009653	443163	RGS2	regulator of G protein signaling 2	-1.75310189395886	0.0137461596378642
ENSOARG00000009658	101115908	ASB7	ankyrin repeat and SOCS box containing 7	-1.16695709400478	0.0408777314912959
ENSOARG00000009719	101114882	SLC16A13	solute carrier family 16 member 13	1.40782024689455	0.0327687427562446
ENSOARG00000009862	101116429	LYSMD4	LysM domain containing 4	1.31591787445461	0.0281043059420452
ENSOARG00000010014	101109195	SAP30BP	SAP30 binding protein	-1.04953565539027	0.00431111271564754
ENSOARG00000010100	101121709	YPEL4	yippee like 4	1.95198210611339	0.0133176479755654
ENSOARG00000010119	101107191		DEAD-box helicase 49	-1.06690497766589	0.0127340135693343
ENSOARG00000010177	101120338	MED30	mediator complex subunit 30	-1.25550706949304	0.0323133523995854
ENSOARG00000010185	101113245	FIG4	FIG4 phosphoinositide 5-phosphatase	1.19163532909774	0.0366461812046623
ENSOARG00000010190	101108610	TCF19	transcription factor 19	1.94957965263865	0.0444255141690167
ENSOARG00000010409	101107873	SMPD2	sphingomyelin phosphodiesterase 2	-1.09286905071127	0.0475233965842134
ENSOARG00000010438	101108010	SNRNP25	small nuclear ribonucleoprotein U11/U12 subunit 25	-1.17273891428675	0.0184153378456081
ENSOARG00000010579	101108213	TRUB2	TruB pseudouridine synthase family member 2	-1.06836778692015	0.0204359900763866
ENSOARG00000010649	101122223	SEMA3F	semaphorin 3F	1.32343046714306	0.0165859129266285
ENSOARG00000010723	101113150	WDR19	WD repeat domain 19	1.41957794809955	0.0123601117149184
ENSOARG00000010784	100302549	SLC1A5	solute carrier family 1 member 5	-0.984290336361793	0.0169870856500689
ENSOARG00000010799	101101999	FBXL20	F-box and leucine rich repeat protein 20	1.21698191311657	0.0409240781790612
ENSOARG00000010885	101103420	PHLDB1	pleckstrin homology like domain family B member 1	1.42701058563984	0.00607022517246604
ENSOARG00000010891				1.11376241601146	0.0309057013889444
ENSOARG00000010918	101115416		C-terminal binding protein 2	0.968001679624338	0.0371069838434718
ENSOARG00000011061				1.81756092048148	0.0120485355487676
ENSOARG00000011102	101117951	INTS7	integrator complex subunit 7	-1.00852859949151	0.0272277277635393
ENSOARG00000011158	101110781	ESF1	ESF1 nucleolar pre-rRNA processing protein homolog	-0.953257955794593	0.0144826069141493
ENSOARG00000011340	101116410	MMP16	matrix metallopeptidase 16	1.05912794635944	0.0469650382012106
ENSOARG00000011356	101115240	GADD45A	growth arrest and DNA damage inducible alpha	-1.03837814154382	0.0357476257344647
ENSOARG00000011436	101107672	MGAT5	alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase	-1.20951499466331	0.02451090720439
ENSOARG00000011440	101103251	GPATCH2	G-patch domain containing 2	-1.18701320752237	0.012003565767114
ENSOARG00000011464	101115845	SYT17	synaptotagmin 17	-1.17299816891895	0.0407709895351675
ENSOARG00000011554		SLC30A1	solute carrier family 30 member 1	1.18955271191847	0.0190407330961445
ENSOARG00000011587	443484	HACD1	3-hydroxyacyl-CoA dehydratase 1	1.33382722175746	0.0208808983415297
ENSOARG00000011624	101113028	FAM78B	family with sequence similarity 78 member B	1.49999416115933	0.00397194925881871
ENSOARG00000011772		MRPL54	mitochondrial ribosomal protein L54	-0.969678327696599	0.0347985647722229
ENSOARG00000011808	101110047	PTRH1	peptidyl-tRNA hydrolase 1 homolog	-1.14607180470333	0.0277717180660093
ENSOARG00000011988	101103494	GORAB	golgin, RAB6 interacting	-0.999172393299304	0.0476906219211141
ENSOARG00000012014	101102843	IDH2	isocitrate dehydrogenase (NADP(+)) 2, mitochondrial	0.978860904158824	0.0369020260237413
ENSOARG00000012111	101108724	PHF6	PHD finger protein 6	1.37846186191956	0.0131599269749847
ENSOARG00000012117	101123176	RAB11FIP3	RAB11 family interacting protein 3	-1.12304843570383	0.0246014213627299
ENSOARG00000012139	101118247	STOML2	stomatin like 2	-0.855333940460006	0.0373072533276691
ENSOARG00000012219	101110569	INSIG2	insulin induced gene 2	1.22932203451825	0.0422952221676047
ENSOARG00000012222	101121975		pyruvate dehydrogenase E1 beta subunit	0.95751709626116	0.0211098382684378
ENSOARG00000012420	101112290	PORCN	porcupine O-acyltransferase	-1.22472117312185	0.00570569243387834
ENSOARG00000012426	101118747	GOT1	glutamic-oxaloacetic transaminase 1	-0.884423842169261	0.0263567364026242
ENSOARG00000012452	101105469	ADARB1	adenosine deaminase, RNA specific B1	-1.36635812160669	0.0397014300893841
ENSOARG00000012570	101105761	C8orf33	chromosome 9 open reading frame, human C8orf33	-1.12072596798633	0.023339324205389
ENSOARG00000012620	101113674	THG1L	tRNA-histidine guanylyltransferase 1 like	-0.965343386256542	0.0245188672146064
ENSOARG00000012647	101107394	MRPS18B	mitochondrial ribosomal protein S18B	-0.923294916224861	0.0361476591027505
ENSOARG00000012699	101114880	WASF3	WAS protein family member 3	-1.48085526971993	0.0130498081616227
ENSOARG00000012704	101110640	PCBP3	poly(rC) binding protein 3	-1.00881060016866	0.0453765188176857
ENSOARG00000012761	101105344	FMO4	flavin containing monooxygenase 4	1.43115347989537	0.0299675485856432
ENSOARG00000012783	101115806	INPP5K	inositol polyphosphate-5-phosphatase K	1.02082098356421	0.0299675485856432
ENSOARG00000012855	100127212	ST3GAL4	ST3 beta-galactoside alpha-2,3-sialyltransferase 4	-1.05022250737794	0.0360667808833309
ENSOARG00000012858	101116146	NSUN7	NOP2/Sun RNA methyltransferase family member 7	2.44727899653355	0.0154367481102629
ENSOARG00000012879	101120908	SEMA4F	ssemaphorin 4F	1.37243756222118	0.0121575776526499
ENSOARG00000012895				1.57501316262237	0.0223024818992199
ENSOARG00000012909	101107690	HK2	hexokinase 2	-1.34748551552656	0.0442837432885838
ENSOARG00000013055	101107413	FXN	frataxin	-1.04597361027088	0.0302438740257309
ENSOARG00000013083	101102424	ZNF622	zinc finger protein 622	-0.919768453194422	0.0289642936505035
ENSOARG00000013084	101115332	ZWINT	ZW10 interacting kinetochore protein	2.03879432032589	0.0142448262522903
ENSOARG00000013092	101102675		membrane associated ring-CH-type finger 11	-1.65981905087749	0.0223920307771269
ENSOARG00000013136	101111987	PITRM1	pitrilysin metallopeptidase 1	-1.02158812858079	0.0102413889310632
ENSOARG00000013234	101116152	SNX14	sorting nexin 14	0.998282933969094	0.0332357104227151
ENSOARG00000013456				1.13694731124212	0.0157393751366012
ENSOARG00000013554	101102107	CFAP298	cilia and flagella associated protein 298	-0.991833597917452	0.0242835088361155
ENSOARG00000013607	101118097	MICAL3	microtubule associated monooxygenase, calponin and LIM domain containing 3	-1.35624125100587	0.0167134999813306
ENSOARG00000013627	101113606	FAM104A	family with sequence similarity 104 member A	-1.00514286913044	0.0240968827430849
ENSOARG00000013706	101108262	LANCL2	LanC like 2	-0.879297406426369	0.0279724293058887
ENSOARG00000013716	101107601	NAF1	nuclear assembly factor 1 ribonucleoprotein	-0.86591424140998	0.0336795758414605
ENSOARG00000013758	101109383		acyl-CoA synthetase family member 3	0.977895143148756	0.0489400036606531
ENSOARG00000013893	101116766	MGARP	mitochondria localized glutamic acid rich protein	1.73642423118099	0.0395421303566362
ENSOARG00000013923	101117012	POLD1	DNA polymerase delta 1, catalytic subunit	1.15542725333384	0.0146348463457873
ENSOARG00000014044				-1.32973953405061	0.0204735792587964
ENSOARG00000014056	101120528	ZNF660	zinc finger protein 660	-1.12619655461102	0.0496007570959911
ENSOARG00000014079		MOCS3	molybdenum cofactor synthesis 3	-1.06761298948502	0.0380135718910304
ENSOARG00000014174	101114100	CCM2	CCM2 scaffold protein	-0.924575879895882	0.04936204111202
ENSOARG00000014186	101109368		heat shock transcription factor 1	-1.00180010898157	0.017491803632083
ENSOARG00000014191	101117239	MRPS5	mitochondrial ribosomal protein S5	-0.989725351413067	0.0127344048126601
ENSOARG00000014193	101110385	PIGP	phosphatidylinositol glycan anchor biosynthesis class P	1.16787603811033	0.0296577874841512
ENSOARG00000014218				1.59338002042873	0.0416482298664189
ENSOARG00000014224	101102429	SLC4A7	solute carrier family 4 member 7	-1.4590668343218	0.041541074163621
ENSOARG00000014343	101117680	SMYD4	SET and MYND domain containing 4	1.03058894748308	0.0471267379212769
ENSOARG00000014401	101107371	RPS6KB1	ribosomal protein S6 kinase B1	-0.963077757537747	0.0221736750906954
ENSOARG00000014507	101119085	PRDM10	PR/SET domain 10	-1.11363679795989	0.0366409475256905
ENSOARG00000014786	101118881	EIF3E	eukaryotic translation initiation factor 3 subunit E	1.02083889884148	0.00726789731559711
ENSOARG00000015000				1.29010694300121	0.0463957416524293
ENSOARG00000015051	101102166	BCAS1	breast carcinoma amplified sequence 1	1.33326617988932	0.0233533266806489
ENSOARG00000015069	101120757	MTFR2	mitochondrial fission regulator 2	1.74879664262505	0.0163758749145991
ENSOARG00000015134		CLCN7	chloride voltage-gated channel 7	1.02069524201247	0.0462483166734781
ENSOARG00000015254	101107741	FBXO9	F-box protein 9	0.948965927444141	0.0309949553887651
ENSOARG00000015273	101122704	BORA	bora, aurora kinase A activator	1.3687796637102	0.0223749370594721
ENSOARG00000015302	101110940	HAUS3	HAUS augmin like complex subunit 3	1.14828170906619	0.0177276345843297
ENSOARG00000015337	101109035	LOC101109035	5-hydroxyisourate hydrolase-like	1.42532276391434	0.0451314932325734
ENSOARG00000015367	101108441	BNIP3	BCL2 interacting protein 3	1.60112483365548	0.0462752937304308
ENSOARG00000015431		ODC1	ornithine decarboxylase 1	-1.48495945642586	0.0436107543334844
ENSOARG00000015507	101118598	NOL10	nucleolar protein 10	-0.987911125965047	0.0198879116425349
ENSOARG00000015578	101121640	LRRC8C	leucine rich repeat containing 8 VRAC subunit C	-1.23642053407788	0.0473141229918067
ENSOARG00000015582	101123311	TBC1D4	TBC1 domain family member 4	2.00171670454463	0.0345650264888135
ENSOARG00000015603	101121711	MFSD8	major facilitator superfamily domain containing 8	1.13313574317346	0.0331866777183149
ENSOARG00000015691	101121970	PLK4	polo like kinase 4	1.02918335743064	0.0382078659175238
ENSOARG00000015771	101107452	NOL11	nucleolar protein 11	-0.857955393853888	0.0274103739571152
ENSOARG00000015911				-0.881279039274722	0.0462288073467046
ENSOARG00000015918				2.55992214364315	0.0419016946849614
ENSOARG00000015990	101120781	BDKRB2	bradykinin receptor B2	-1.32939055140976	0.0442987823036467
ENSOARG00000016009		STK32C	serine/threonine kinase 32C	1.38534065729743	0.0363318064828919
ENSOARG00000016048	101111224	NKAPD1	NKAP domain containing 1	-0.922646289881195	0.0266693509381789
ENSOARG00000016118	101104306	LOC101104306	plasma membrane calcium-transporting ATPase 4-like	-0.94054900944942	0.0434652117441915
ENSOARG00000016150				-1.00948279905491	0.0488857864102548
ENSOARG00000016188	101119119	BIN1	bridging integrator 1	-0.961190918938115	0.015407472864946
ENSOARG00000016258				-0.842407578940853	0.0372658248993725
ENSOARG00000016278	101106554	GCNT2	glucosaminyl (N-acetyl) transferase 2 (I blood group)	-1.47175746402825	0.0178114806938138
ENSOARG00000016312	101112432	LBHD1	chromosome 21 C11orf98 homolog	-0.9953728008142	0.0249647735220411
ENSOARG00000016409				1.73929023041525	0.038897222054404
ENSOARG00000016665	101106146	ORC2	origin recognition complex subunit 2	0.900636323652	0.0449667869518145
ENSOARG00000016873	101115316	UNG	uracil DNA glycosylase	-1.01302200518411	0.0261634564632636
ENSOARG00000016920	101118353	BLVRA	biliverdin reductase A	1.16772812652679	0.017181631130833
ENSOARG00000016935	101106808	BCAR3	BCAR3, NSP family adaptor protein	1.0856863989985	0.0393383582181705
ENSOARG00000017021	101103137	WDR35	WD repeat domain 35	-0.924866508382406	0.0361785387152307
ENSOARG00000017110	101109018	PIGG	phosphatidylinositol glycan anchor biosynthesis class G	0.840504361819329	0.0375810370525305
ENSOARG00000017159	101114433	WASHC4	WASH complex subunit 4	1.09216070834358	0.0115581974687018
ENSOARG00000017196	101110782	PARD3	par-3 family cell polarity regulator	-1.0297183593574	0.0465942626768395
ENSOARG00000017202				1.06352450327734	0.0302944807112938
ENSOARG00000017275	101123040	RFESD	Rieske Fe-S domain containing	1.26678473528943	0.0463100680661821
ENSOARG00000017285	780459	UBE2D2	ubiquitin conjugating enzyme E2 D2	1.21783870472112	0.0442987823036467
ENSOARG00000017292	101114631	CDS2	CDP-diacylglycerol synthase 2	0.930770003373778	0.0480896415279312
ENSOARG00000017405	101121019	MRPL13	mitochondrial ribosomal protein L13	-0.955992536380854	0.0363177344035914
ENSOARG00000017408	101119179	SLC44A3	solute carrier family 44 member 3	1.30487909545878	0.0352415120637841
ENSOARG00000017430	101102858	ARL6	ADP ribosylation factor like GTPase 6	1.62525241377	0.0171493143341069
ENSOARG00000017466	101102385	SGSM3	small G protein signaling modulator 3	1.21750800385433	0.00514610448240298
ENSOARG00000017593				-1.18325182946498	0.0136615138361767
ENSOARG00000017632				1.1574968150285	0.0185768763032102
ENSOARG00000017673	443013	PTGER2	prostaglandin E receptor 2	1.73241740905476	0.0299422707701843
ENSOARG00000017700	101111238	FRRS1	ferric chelate reductase 1	-1.27695644341446	0.019523957697969
ENSOARG00000017720	101115025	CASP2	caspase 2	-1.16067918207824	0.0355371218620386
