ENSEMBL	ENTREZID	SYMBOL	DESCRIPTION	LPS100.A10_1_hit.vs.LPS100.A10_2_hit.logFC	LPS100.A10_1_hit.vs.LPS100.A10_2_hit.p.value
ENSOARG00000004886	101116293	UBXN11	UBX domain protein 11	-1.17914772280819	0.0168338528118215
ENSOARG00000004896	101103681	SYTL2	synaptotagmin like 2	-1.09859855055857	0.00500243780012571
ENSOARG00000004903	101113362	ANKRA2	ankyrin repeat family A member 2	0.92459667152362	0.0339492954357669
ENSOARG00000004936	101119411	ETV2	ETS variant 2	1.59150049128032	0.0346724473123128
ENSOARG00000004942	101118349	KCNT1	potassium sodium-activated channel subfamily T member 1	4.87235870497908	0.00295201963489268
ENSOARG00000004954	101120036	RAB27B	RAB27B, member RAS oncogene family	-1.59104390931336	0.0374274577569566
ENSOARG00000005014	101118949	ABLIM3	actin binding LIM protein family member 3	1.41053210346134	0.0274052967569115
ENSOARG00000005093	101121729	ARHGEF2	Rho/Rac guanine nucleotide exchange factor 2	-0.906872276318351	0.0220634209808509
ENSOARG00000005128		CDK2AP1	cyclin dependent kinase 2 associated protein 1	-0.983997545037222	0.034643808525693
ENSOARG00000005208	101120390	FLNA	filamin A	0.898798158018771	0.0494268243860854
ENSOARG00000005216				1.74218312051327	0.00129116117239489
ENSOARG00000005222	101116039	CYP27B1	25-hydroxyvitamin D-1 alpha hydroxylase, mitochondrial	-1.16193194932145	0.0322347320821869
ENSOARG00000005243				1.79786175785167	0.022452462832203
ENSOARG00000005365	101115334	FHOD3	formin homology 2 domain containing 3	-1.67661421731657	0.0416724114617196
ENSOARG00000005375	443548	FGFR2	fibroblast growth factor receptor 2	-1.59032430834582	0.0351291018647793
ENSOARG00000005570	101116923	IKBKE	inhibitor of nuclear factor kappa B kinase subunit epsilon	0.959378505031623	0.049117008517162
ENSOARG00000005599	101105327	DENND1C	DENN domain containing 1C	2.67693198253229	0.00936741918450776
ENSOARG00000005855	101114987	LOC101114987	heat shock cognate 71 kDa protein-like	1.11079258068222	0.0347685340951398
ENSOARG00000005981	101118324	PIGN	phosphatidylinositol glycan anchor biosynthesis class N	0.929852177436659	0.0298450601486169
ENSOARG00000006031				-1.10343931272938	0.0490679022287694
ENSOARG00000006117	101114819	SLC41A3	solute carrier family 41 member 3	1.199163698816	0.0158424745893505
ENSOARG00000006160	101123169	NSMCE4A	NSE4 homolog A, SMC5-SMC6 complex component	1.19632373328096	0.00688035316013634
ENSOARG00000006212	101106810	CRABP2	cellular retinoic acid binding protein 2	1.71551174421379	0.00423340530805393
ENSOARG00000006244	101104506	TDRD3	tudor domain containing 3	1.05771858603471	0.0250074338333212
ENSOARG00000006337		TMEM70	transmembrane protein 70	1.11809253176927	0.0353636233176681
ENSOARG00000006382	101107068	UNC5B	unc-5 netrin receptor B	-1.75562783848645	0.00181492592372916
ENSOARG00000006531				1.13601986230142	0.0407011376299326
ENSOARG00000006562	101108759	GDAP1	ganglioside induced differentiation associated protein 1	-1.84967762744782	0.0216753825424877
ENSOARG00000006570	101122982	TBC1D10A	TBC1 domain family member 10A	-1.0047472503395	0.0346724473123128
ENSOARG00000006571				-0.902295077758534	0.0208806460062795
ENSOARG00000006658	101117820	WNK3	family with sequence similarity 120C	-1.27688935773967	0.034185623517719
ENSOARG00000006787	101103094	DCLK2	doublecortin like kinase 2	-1.32994907662676	0.00812760441300135
ENSOARG00000006832	101113998	PRRC2B	proline rich coiled-coil 2B	-1.01590811001088	0.047333417226702
ENSOARG00000006868	101113090	ZSWIM3	zinc finger SWIM-type containing 3	2.08489097122452	0.012634639745828
ENSOARG00000006982	443268	AQP4	aquaporin 4	-1.83677403340365	0.0117762563801027
ENSOARG00000007151	101113682	TTK	TTK protein kinase	1.68675319598914	0.0495100516466174
ENSOARG00000007179	101101880	SHMT2	serine hydroxymethyltransferase 2	-1.13778171479422	0.0170051925396079
ENSOARG00000007309	101118722	MON1B	MON1 homolog B, secretory trafficking associated	-1.10900421373633	0.0051810174158659
ENSOARG00000007356	101113443	LRRC73	leucine rich repeat containing 73	-1.7851150501259	0.0027889457701527
ENSOARG00000007419	101122941	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	-1.14060279227389	0.0438707126992022
ENSOARG00000007452		HSPA6	heat shock protein family A (Hsp70) member 6	2.11803562302771	0.0185378756414303
ENSOARG00000007480	101117643	FAM149B1	family with sequence similarity 149 member B1	0.95709744003194	0.0432199182847404
ENSOARG00000007493	101123162	DHCR24	24-dehydrocholesterol reductase	1.05405869609148	0.0218393039042883
ENSOARG00000007694	101120460	LAMA3	laminin subunit alpha 3	1.83458320284715	0.0241376463442754
ENSOARG00000007738	101115580	TAP1	transporter 1, ATP binding cassette subfamily B member	2.19706043888132	0.00193232997994444
ENSOARG00000007849	101102511	PLEKHB1	pleckstrin homology domain containing B1	-1.27973630807529	0.00477562043931663
ENSOARG00000007942	101112829	RUBCNL	RUN and cysteine rich domain containing beclin 1 interacting protein like	1.6666259365038	0.0359699767876692
ENSOARG00000007944	101116005	SLAMF8	SLAM family member 8	1.97337940860679	0.00098735717676613
ENSOARG00000008057	554258	TLR3	toll like receptor 3	1.04462536136667	0.0220951157880646
ENSOARG00000008093	101116098	RSPH9	radial spoke head 9 homolog	-1.11297432742086	0.0219393372057771
ENSOARG00000008096				-0.951754709110921	0.0322986794970907
ENSOARG00000008109	101123112		60S ribosomal protein L23a	8.5971442466022	0.00388604580166179
ENSOARG00000008203				1.07075470689304	0.010588345217563
ENSOARG00000008255	101105716	HSD3B7	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7	0.876919530186917	0.0386497869286194
ENSOARG00000008264	101116803	FMNL2	formin like 2	-1.31791778331723	0.00358026017360689
ENSOARG00000008267	101104425	PAAF1	proteasomal ATPase associated factor 1	-0.916460038527348	0.038503246616302
ENSOARG00000008473	100302501	PLAU	plasminogen activator, urokinase	0.927153478913218	0.0168989158420532
ENSOARG00000008546	101111688	ERCC6L2	ERCC excision repair 6 like 2	0.999252898181031	0.0458006508173452
ENSOARG00000008579	101109647	ZNF827	zinc finger protein 827	-1.24847814815211	0.0484163048593132
ENSOARG00000008675	101103376	LOC101103376	interferon beta-2-like	4.79683514465648	0.0193526441772858
ENSOARG00000008790	101115000	GOLM1	golgi membrane protein 1	-0.992342508480771	0.00442688080878364
ENSOARG00000008847	101102530	VANGL2	VANGL planar cell polarity protein 2	-1.90124061281821	0.0180270701042434
ENSOARG00000008869				-0.802405869791574	0.04930306748615
ENSOARG00000008926				2.75530702488901	0.0480385920926197
ENSOARG00000008962				-1.21333877053429	0.0168338528118215
ENSOARG00000009056	443046	ATP7B	ATPase copper transporting beta	-1.60768422207359	0.026642084986511
ENSOARG00000009102	101117007		biorientation of chromosomes in cell division protein 1-like	-1.38462098798657	0.0041115893247685
ENSOARG00000009108	101106979	KANK4	KN motif and ankyrin repeat domains 4	-1.54500855815866	0.00816081279523597
ENSOARG00000009173				1.13867148543267	0.0149511789148712
ENSOARG00000009178	101120625		copine 4	-1.7660256997163	0.0174995411899134
ENSOARG00000009195	101103585	PLCB1	phospholipase C beta 1	-1.76344387585229	0.00428288051109279
ENSOARG00000009319	101117541	SLC29A1	solute carrier family 29 member 1 (Augustine blood group)	1.23754601144675	0.0354230372438897
ENSOARG00000009391	100170652	TAPBP	TAP binding protein	1.05189584466224	0.00708814577939101
ENSOARG00000009440	101118145	MAP4K2	mitogen-activated protein kinase kinase kinase kinase 2	1.28227551871101	0.0155113235629301
ENSOARG00000009518	101110976		SRY-box 4	-1.42612271554747	0.0230299587390896
ENSOARG00000009519	100505403	DAXX	death domain associated protein	1.42985503562099	0.0353880975620668
ENSOARG00000009568	101120958	ZMYND10	zinc finger MYND-type containing 10	-1.58357410256417	0.0239720208517855
ENSOARG00000009703				0.928293223403638	0.0478012342207194
ENSOARG00000009704	101112053	CHAF1A	chromatin assembly factor 1 subunit A	1.11849388837512	0.0456088285158096
ENSOARG00000009733	101110843	RELL1	RELT like 1	-1.19678245948818	0.0312298946940932
ENSOARG00000009740	101121673	EIF2AK2	eukaryotic translation initiation factor 2 alpha kinase 2	2.37714599524345	0.0038097990811244
ENSOARG00000009753	101118853	ANOS1	anosmin 1	-2.0952970223138	0.00459543040011954
ENSOARG00000009792	101122544	OSGIN1	oxidative stress induced growth inhibitor 1	2.21644120360481	0.00451732008869147
ENSOARG00000009844	101112216	RAD51AP1	RAD51 associated protein 1	1.73962821056013	0.0455540200413247
ENSOARG00000009845	101105948	OSMR	oncostatin M receptor	-1.06608944049838	0.0168989158420532
ENSOARG00000009866	101119116	TBL1X	transducin beta like 1 X-linked	-1.04265587433757	0.00349933871774404
ENSOARG00000009894	101114868	SH3GL1	SH3 domain containing GRB2 like 1, endophilin A2	-0.806335649380081	0.0475847143110814
ENSOARG00000009921	101117650	BEX3	brain expressed X-linked 3	-1.07677559614892	0.0102741102715994
ENSOARG00000009955	101110433	CUBN	cubilin	1.12485061997312	0.0395558043331666
ENSOARG00000010098	101112230	CDC40	cell division cycle 40	1.35562593323597	0.0031814652277881
ENSOARG00000010112		SYCE2	synaptonemal complex central element protein 2	1.68679937350932	0.0187101266370644
ENSOARG00000010132	101107187	HNRNPA2B1	heterogeneous nuclear ribonucleoprotein A2/B1	0.860605284472102	0.0322347320821869
ENSOARG00000010162	101118997	SACM1L	SAC1 like phosphatidylinositide phosphatase	-0.948344030687724	0.0319954514265323
ENSOARG00000010215	101113702	RGMA	repulsive guidance molecule BMP co-receptor a	-1.71150088391695	0.0180672676005011
ENSOARG00000010217	101110161	FHAD1	forkhead associated phosphopeptide binding domain 1	-1.75052511894375	0.0156900711622529
ENSOARG00000010244	101112396	GRIN3B	glutamate ionotropic receptor NMDA type subunit 3B	-1.3269612898386	0.0463054725327462
ENSOARG00000010272	101103535	DUSP4	dual specificity phosphatase 4	1.41876237920568	0.0351800556780438
ENSOARG00000010280	101115002	SORBS3	sorbin and SH3 domain containing 3	0.978250520683142	0.046851392843615
ENSOARG00000010362	100270714	MRCL3	myosin regulatory light chain MRCL3	0.87074299064236	0.0339319927604082
ENSOARG00000010448	101103889	ERBB3	erb-b2 receptor tyrosine kinase 3	-2.37932419753995	0.0122066156484156
ENSOARG00000010460	101110559	KCTD7	potassium channel tetramerization domain containing 7	1.76604471460848	0.0180493162420996
ENSOARG00000010484	100037668	LOC100037668	ribosomal protein S15a	1.0030401131503	0.0187039645851217
ENSOARG00000010670	101108435	ESAM	endothelial cell adhesion molecule	3.5541691735611	0.00225536229601718
ENSOARG00000010748		C11orf96	chromosome 11 open reading frame 96	-1.08275026859601	0.012968698719863
ENSOARG00000010789	101109555	BTBD3	BTB domain containing 3	-1.10028107005145	0.0259594817369541
ENSOARG00000010840	101105125	RSPH1	radial spoke head component 1	-1.10348600429025	0.0461390909930851
ENSOARG00000010854		JUNB	JunB proto-oncogene, AP-1 transcription factor subunit	0.976735035940628	0.0380743340720679
ENSOARG00000010960	101101953	ALG2	ALG2, alpha-1,3/1,6-mannosyltransferase	0.972372285634669	0.0379966759965956
ENSOARG00000010993	101105349	ISM1	isthmin 1	-2.47116784330053	0.011766437033556
ENSOARG00000011021	101109223	HEPACAM	hepatic and glial cell adhesion molecule	-1.38529214054143	0.00371160289021068
ENSOARG00000011043		ZC3HAV1	zinc finger CCCH-type containing, antiviral 1	1.53740518343102	0.00992285949736782
ENSOARG00000011086	101112992	ABR	ABR, RhoGEF and GTPase activating protein	-1.02894449066247	0.0239720208517855
ENSOARG00000011175		HYPK	huntingtin interacting protein K	-0.913752546911734	0.0463054725327462
ENSOARG00000011197	101115883	RIPK2	receptor interacting serine/threonine kinase 2	1.29256954420783	0.00823054724142432
ENSOARG00000011202				0.890226100400849	0.0233498337678367
ENSOARG00000011243	101121951	NT5C	5', 3'-nucleotidase, cytosolic	1.72042973877888	0.00394728699463453
ENSOARG00000011253	101102761	HAPLN3	hyaluronan and proteoglycan link protein 3	1.22265707713404	0.035156970463528
ENSOARG00000011548				3.35321220340992	0.00369788190247574
ENSOARG00000011689	101117371	DEF6	DEF6, guanine nucleotide exchange factor	2.30365187452548	0.0209743656563413
ENSOARG00000011696	101121147	GEMIN8	gem nuclear organelle associated protein 8	1.14755868467408	0.039289245174221
ENSOARG00000011760	101108948	GDPD5	glycerophosphodiester phosphodiesterase domain containing 5	1.23510297597205	0.00840297123436769
ENSOARG00000011768	101113147	CYFIP2	cytoplasmic FMR1 interacting protein 2	-1.38849687343798	0.0301355684380354
ENSOARG00000011806	101102910	TSTD3	thiosulfate sulfurtransferase like domain containing 3	1.16617824586816	0.0262641027324106
ENSOARG00000011867		RFLNB	refilin B	-1.32390050406994	0.00278118759075437
ENSOARG00000011947	101109449	AFAP1	actin filament associated protein 1	-1.21126882024873	0.00198882733228197
ENSOARG00000011990	101105004	MMS22L	MMS22 like, DNA repair protein	1.98668460418087	0.0366668068902375
ENSOARG00000011993	101118642	ADAMTS12	ADAM metallopeptidase with thrombospondin type 1 motif 12	-1.42173662419494	0.00483146827678147
ENSOARG00000012079				1.00626464139115	0.033852854737097
ENSOARG00000012098	101104854	CCDC84	coiled-coil domain containing 84	1.17467610602641	0.0365236893353853
ENSOARG00000012170	101116668	TNFRSF25	TNF receptor superfamily member 25	-2.37164241159162	0.00337646544273854
ENSOARG00000012299	101110740	TLE1	transducin-like enhancer protein 1	-1.50925082394343	0.00169231272893577
ENSOARG00000012303	101110820	LOC101110820	ubiquitin carboxyl-terminal hydrolase 28-like	3.25249826084292	0.00378774445780359
ENSOARG00000012341	101112029	EBP	EBP, cholestenol delta-isomerase	1.32453355272841	0.00453492019213023
ENSOARG00000012365		INKA1	inka box actin regulator 1	2.017294693078	0.022452462832203
ENSOARG00000012378	494440	SLC4A4	solute carrier family 4 member 4	-1.33098160019745	0.0375222975618443
ENSOARG00000012448	101106028		zinc finger protein 469	-1.19595017981069	0.0281640188866421
ENSOARG00000012515		PCSK5	proprotein convertase subtilisin/kexin type 5	-1.74515076865295	0.00190893841965491
ENSOARG00000012522	101114222	FOXRED1	FAD dependent oxidoreductase domain containing 1	1.25178711508847	0.00278118759075437
ENSOARG00000012542				-1.60807627401703	0.0489785936947581
ENSOARG00000012543	101119164	COQ5	coenzyme Q5, methyltransferase	1.09898270669053	0.0249871204509262
ENSOARG00000012564	101121000	ERC1	ELKS/RAB6-interacting/CAST family member 1	-1.03269820326178	0.0278479991549867
ENSOARG00000012678				-1.47434225052928	0.0350047814993166
ENSOARG00000012773	100305130	ATP5PO	ATP synthase peripheral stalk subunit OSCP	0.928677553432935	0.0434847499907015
ENSOARG00000013025	101103249	SLC43A2	solute carrier family 43 member 2	1.25555398297434	0.0310944776478556
ENSOARG00000013051	101107829	SDHAF2	succinate dehydrogenase complex assembly factor 2	1.28721061294432	0.0401864565547654
ENSOARG00000013087	101111900	ALDH16A1	aldehyde dehydrogenase 16 family member A1	1.144050083914	0.00754133217796088
ENSOARG00000013094				-1.35361139242233	0.0404861659056595
ENSOARG00000013120	101120116	BRPF3	bromodomain and PHD finger containing 3	-1.26685001037372	0.0117197879709747
ENSOARG00000013159	101103308	IL1R2	interleukin 1 receptor type 2	2.18826261513092	0.00337536469524856
ENSOARG00000013273	101107545	RRAS	RAS related	1.49506616530856	0.00113739162006673
ENSOARG00000013426	101106607	TAF1A	TATA-box binding protein associated factor, RNA polymerase I subunit A	1.25033956384001	0.031710499101921
ENSOARG00000013515	101115656	GON7	GON7, KEOPS complex subunit	-1.03041323067554	0.0229984786810478
ENSOARG00000013740	101118965	TMEM100	transmembrane protein 100	3.0674538679716	0.0134891250084913
ENSOARG00000013747	101113927	ANKRD23	ankyrin repeat domain 23	-1.64492898619116	0.0287687236660447
ENSOARG00000013913	101103233	LOC101103233	protocadherin beta-10	-1.82779090307078	0.0108438101541713
ENSOARG00000014011	101110466	FADS3	fatty acid desaturase 3	0.922702668007646	0.0486948548185815
ENSOARG00000014016	101103280	TIAM1	T cell lymphoma invasion and metastasis 1	-1.44097361942335	0.0235648321612229
ENSOARG00000014163	101119830	PSPC1	paraspeckle component 1	-1.04247872158049	0.00598940466891915
ENSOARG00000014177	101121261	DOT1L	DOT1 like histone lysine methyltransferase	-0.997969327805222	0.00732738163921669
ENSOARG00000014287				-1.58570490147828	0.0029322307148736
ENSOARG00000014351	101119494	ATP9A	ATPase phospholipid transporting 9A (putative)	-1.39929472069571	0.0068784174444153
ENSOARG00000014372	101105193	EFHC1	EF-hand domain containing 1	-1.6645750512581	0.0142796281429364
ENSOARG00000014395				1.59810806054334	0.0226120079721957
ENSOARG00000014416	101112130	TMEM243	transmembrane protein 243	-1.2111831525598	0.031686047392016
ENSOARG00000014432				7.32784989318565	0.0416170888125023
ENSOARG00000014529		CMC1	C-X9-C motif containing 1	1.03267144553162	0.0282230775649073
ENSOARG00000014598	101110563	SOX2	SRY-box 2	-1.10571125578896	0.0305738273085059
ENSOARG00000014646	101107201	TBPL1	TATA-box binding protein like 1	1.23822575823987	0.0432199182847404
ENSOARG00000014648	101115013	RSAD2	radical S-adenosyl methionine domain containing 2	2.85606763081416	0.0175108389850963
ENSOARG00000014649	101105011	TEX2	testis expressed 2	-1.2142726955964	0.00132307852811987
ENSOARG00000014731	101107257	DDX58	DExD/H-box helicase 58	3.67496647672664	0.00335354473470038
ENSOARG00000014801	101119649	CHMP4C	charged multivesicular body protein 4C	1.86222757134644	0.0114630650411983
ENSOARG00000014815		IFIT5	interferon induced protein with tetratricopeptide repeats 5	1.58711449460831	0.00710423002398269
ENSOARG00000014833	101108676	DHTKD1	dehydrogenase E1 and transketolase domain containing 1	-0.849278109100318	0.0481291004459616
ENSOARG00000014894	101102555	ASAP2	ArfGAP with SH3 domain, ankyrin repeat and PH domain 2	-1.24901213792687	0.0319864445400772
ENSOARG00000014935				-1.48526020704507	0.0112218516145356
ENSOARG00000014939	101121229	CLDN15	claudin 15	1.83959187407688	0.0273744470247772
ENSOARG00000014947	101123103	CCDC150	coiled-coil domain containing 150	1.43714842396018	0.0356089243716607
ENSOARG00000014979	101119003	GTF2B	general transcription factor IIB	1.2981048875387	0.030806150590488
ENSOARG00000015013				1.4133861003673	0.0417984252579235
ENSOARG00000015106				0.933729259242879	0.0359279383454087
ENSOARG00000015133	101106443	CEP95	centrosomal protein 95	0.902083165103444	0.03303760401515
ENSOARG00000015182	101118463	ASTN1	astrotactin 1	-1.78609877555813	0.0149511789148712
ENSOARG00000015187	101113030	ATP5PF	ATP synthase peripheral stalk subunit F6	1.01692875513189	0.0132299932624379
ENSOARG00000015314	101116329	AMZ2	archaelysin family metallopeptidase 2	1.05610517907019	0.0110998676221201
ENSOARG00000015336	101118716	BRINP2	BMP/retinoic acid inducible neural specific 2	-2.91362484899202	0.00396866054089576
ENSOARG00000015388	101108431	ELOVL5	ELOVL fatty acid elongase 5	-0.920554261780335	0.0403060312995641
ENSOARG00000015495	101121179	ZFPM2	zinc finger protein, FOG family member 2	-1.63030772082173	0.0338411856803167
ENSOARG00000015586				-1.4501771702734	0.0312786978086832
ENSOARG00000015615	100037668	LOC100037668	40S ribosomal protein S15a	1.00303765257066	0.0187039645851217
ENSOARG00000015646				1.60326582601682	0.0382908872114052
ENSOARG00000015656	443045	ICAM1	intercellular adhesion molecule 1	1.4176202418802	0.0482209345758333
ENSOARG00000015717	101123568		ubiquitin C-terminal hydrolase L3	1.59990359236769	0.00219356095546849
ENSOARG00000015731		DLG3	discs large MAGUK scaffold protein 3	-1.85656268938913	0.00740047306598749
ENSOARG00000015761	101122994	HTR7	5-hydroxytryptamine receptor 7	1.25993290371772	0.00559054232278401
ENSOARG00000015764	101109236	TELO2	telomere maintenance 2	-1.17396113816079	0.0194123067863034
ENSOARG00000015781	101116476	ICAM4	intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)	2.51899376689616	0.00258451330870761
ENSOARG00000015792		EHBP1L1	EH domain binding protein 1 like 1	1.47304240872147	0.00160068974712146
ENSOARG00000015817		CACNG4	calcium voltage-gated channel auxiliary subunit gamma 4	-1.96933618867112	0.0489465190380415
ENSOARG00000015887	101121958	TGIF2	uncharacterized protein C20orf24 homolog	-1.87582114864128	0.00170171385560055
ENSOARG00000015895	101106582	PLXNC1	plexin C1	1.12406883877199	0.00926530174258327
ENSOARG00000015904		FGFR3	fibroblast growth factor receptor 3	-1.48866671665102	0.0255305584085817
