ENSEMBL	ENTREZID	SYMBOL	DESCRIPTION	LPS100_1_hit.vs.LPS100_2_hit.logFC	LPS100_1_hit.vs.LPS100_2_hit.p.value
ENSOARG00000004222	100125355	ABHD5	abhydrolase domain containing 5	-0.935634910527099	0.0381702750212173
ENSOARG00000004384	101110124	RPS6KA1	ribosomal protein S6 kinase A1	1.50308277808787	0.0312629001211688
ENSOARG00000004414				2.0717046371306	0.0204119914015294
ENSOARG00000004469	101109975	TAGAP	T cell activation RhoGTPase activating protein	1.90067114088857	0.0233154401354983
ENSOARG00000004488	101119330	KIAA0355	KIAA0355 ortholog	1.11866080962852	0.0222243794360401
ENSOARG00000004493	101110947	FNDC1	fibronectin type III domain containing 1	0.979863247564891	0.0153228883827073
ENSOARG00000004538	101120528	ZKSCAN7	zinc finger protein 660	-1.3084781637184	0.00331555840320532
ENSOARG00000004548	101119621	FAM50A	family with sequence similarity 50 member A	1.05631313194726	0.0495531632821699
ENSOARG00000004559	101118636	DCUN1D5	defective in cullin neddylation 1 domain containing 5	-1.14742877878444	0.0129041718389206
ENSOARG00000004594	101111600		BRCA1 associated ATM activator 1	-1.28524184935366	0.0181571423855379
ENSOARG00000004639	101122109	KLHL8	kelch like family member 8	-1.55996633228009	0.0329489709091056
ENSOARG00000004667	100135440	RPL6	60S ribosomal protein L6	3.65418203409608	0.000773926164450302
ENSOARG00000004859				2.28190716214378	0.00390450775010811
ENSOARG00000004961	101122992	TRPT1	tRNA phosphotransferase 1	-1.06242789415066	0.0140163752154024
ENSOARG00000005023	101108667	PHF12	PHD finger protein 12	-0.94245780176114	0.0285517888720634
ENSOARG00000005062	101105098	ARHGAP33	Rho GTPase activating protein 33	-1.78157934962627	0.0128091065337443
ENSOARG00000005076	101105877	DNA2	DNA replication helicase/nuclease 2	-1.15146312079844	0.0452689275933758
ENSOARG00000005136	101107944	MSH2	mutS homolog 2	-1.02842072357716	0.0286667606770562
ENSOARG00000005206	101106703	OPTN	optineurin	1.11413119292224	0.0329732802643475
ENSOARG00000005305	101102902	ADGRA3	adhesion G protein-coupled receptor A3	-1.25887869848073	0.0224425588034744
ENSOARG00000005321	101105711	PMM2	phosphomannomutase 2	-0.971249634181077	0.0258336314201698
ENSOARG00000005443	101122104	DNAJB1	DnaJ heat shock protein family (Hsp40) member B1	1.61859941902971	0.0255301213274295
ENSOARG00000005455	101107058	ELP2	elongator acetyltransferase complex subunit 2	-1.20310754218808	0.00498504677280094
ENSOARG00000005489	101107924	LMNA	lamin A/C	1.36818728556806	0.0200652779032583
ENSOARG00000005539	101118099	MEST	mesoderm specific transcript	1.02346648024994	0.0114017461271668
ENSOARG00000005565	101107881	ADSS	adenylosuccinate synthase	-0.959561396076594	0.0476878021435918
ENSOARG00000005669	101108579	C8orf37	chromosome 9 open reading frame, human C8orf37	-1.07687487842151	0.0385888390270822
ENSOARG00000005728	101110493	GNB3	G protein subunit beta 3	-1.48047675727823	0.0489949669498938
ENSOARG00000005757	101111402	SRF	serum response factor	1.02503227490445	0.0237874299103034
ENSOARG00000005759	101120694	CCNB1	cyclin B1	1.31139786755005	0.0229308376659766
ENSOARG00000005777	101117553	CCBE1	collagen and calcium binding EGF domains 1	-2.31553974617823	0.0298867796911814
ENSOARG00000005846	101114540	TMC8	transmembrane channel like 8	1.17332485594173	0.0275637822917941
ENSOARG00000006013	101116421	RFWD3	ring finger and WD repeat domain 3	-1.07048727622373	0.0424813868070275
ENSOARG00000006024	101105979	GCA	grancalcin	-1.56236031890537	0.0127326890275636
ENSOARG00000006027	100135435	HECTD1	HECT domain E3 ubiquitin protein ligase 1	-1.00502433053412	0.0273193367270249
ENSOARG00000006211		ABI3	ABI family member 3	1.65556640729515	0.0368309514092159
ENSOARG00000006228	101118356		adhesion G protein-coupled receptor L1	-1.27732831409294	0.0201378809914652
ENSOARG00000006262	101119602	BCL2	BCL2, apoptosis regulator	1.28761481950686	0.030913717743608
ENSOARG00000006333		PCBD1	pterin-4 alpha-carbinolamine dehydratase 1	1.17064096627896	0.00979129939179858
ENSOARG00000006342	443389	TTR	transthyretin	1.70771817503088	0.00859221555155584
ENSOARG00000006345	101108544	SLC31A1	solute carrier family 31 member 1	1.00970228182028	0.0447731285371782
ENSOARG00000006397		NTNG2	netrin G2	-1.07472449681285	0.0351617997513875
ENSOARG00000006496				1.14248168964916	0.0252855543291754
ENSOARG00000006498	101110478	INIP	INTS3 and NABP interacting protein	-1.1064047628586	0.0119084245216394
ENSOARG00000006573	101105358	RGS7BP	regulator of G protein signaling 7 binding protein	-1.43671198342006	0.0108839723836051
ENSOARG00000006649	101121664	LOC101121664	dnaJ homolog subfamily C member 25	-1.02438942894121	0.0174260585500271
ENSOARG00000006705	101114034	CALCOCO2	calcium binding and coiled-coil domain 2	0.980533600386832	0.049684836969228
ENSOARG00000006789	101111638	IRAK1BP1	interleukin 1 receptor associated kinase 1 binding protein 1	-1.43095284719828	0.0342843910913066
ENSOARG00000006876	101104014	BAZ1A	bromodomain adjacent to zinc finger domain 1A	1.10326942208713	0.0208380990503852
ENSOARG00000006928	101118293	KARS	lysyl-tRNA synthetase	0.952684891102991	0.0146956729843215
ENSOARG00000006976	101121382	TCEANC2	transcription elongation factor A N-terminal and central domain containing 2	1.28828845948743	0.0199272940814089
ENSOARG00000006992	101108545	DCTD	dCMP deaminase	-1.26786009718346	0.00564802567506792
ENSOARG00000007023	101119324	PFKFB2	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2	-1.31665900211097	0.040552089142455
ENSOARG00000007085	101108674		heat shock protein family A (Hsp70) member 14	-0.943055779460855	0.0140298192652246
ENSOARG00000007094	101113387	ASCC1	activating signal cointegrator 1 complex subunit 1	1.31918751962068	0.00378278678143998
ENSOARG00000007120	101109502	MRPS22	mitochondrial ribosomal protein S22	-0.893199285138771	0.0407230878783055
ENSOARG00000007184	101111605	BCAP31	B cell receptor associated protein 31	0.952597344904072	0.0247383460692704
ENSOARG00000007233	443057	ISG15	ISG15 ubiquitin-like modifier	1.25263018328581	0.0464305483027397
ENSOARG00000007249	101116958	TMEM38B	transmembrane protein 38B	-1.47545426065317	0.0161406947493211
ENSOARG00000007344	101119015	ABCA1	ATP binding cassette subfamily A member 1	1.45507041784618	0.0322114979742845
ENSOARG00000007555	101101873	ATP2B3	ATPase plasma membrane Ca2+ transporting 3	1.4974439046758	0.0350828417919228
ENSOARG00000007608	101117347	QRICH2	glutamine rich 2	-1.57528066013445	0.0246261923290787
ENSOARG00000007672	101112535	DZIP1L	DAZ interacting zinc finger protein 1 like	1.45406199718976	0.0192999868469499
ENSOARG00000007679				1.33650563559056	0.0473269630540415
ENSOARG00000007695	101117174	PNPO	pyridoxamine 5'-phosphate oxidase	-1.05622541311316	0.0443732043919803
ENSOARG00000007749				1.01230991385368	0.0265431837034978
ENSOARG00000007771	101104121	SEMA4D	semaphorin 4D	1.60427170341509	0.00836154047103542
ENSOARG00000007974				-1.1178052324976	0.0227647452826089
ENSOARG00000008000		KCNJ3	potassium voltage-gated channel subfamily J member 3	-2.35565062427084	0.00270267965398966
ENSOARG00000008022	101114586	LOC101114586	sorbin and SH3 domain-containing protein 2	1.35201634023654	0.0443671812903126
ENSOARG00000008032	101110436	CBFA2T2	CBFA2/RUNX1 translocation partner 2	-1.61735376289509	0.00466635540782046
ENSOARG00000008205		IGSF8	immunoglobulin superfamily member 8	1.13026411465184	0.0217653472816684
ENSOARG00000008290				-0.990769148738569	0.0422757022581068
ENSOARG00000008314	101107194	MIER2	MIER family member 2	-1.09917789147898	0.0188862924856477
ENSOARG00000008333	443540	TNF	tumor necrosis factor	1.5149124074632	0.0149894079516233
ENSOARG00000008374	101121316	GCNT1	glucosaminyl (N-acetyl) transferase 1, core 2	2.71042700267919	0.0279345628944761
ENSOARG00000008454	101107113	CDK3	cyclin dependent kinase 3	-1.56873072615485	0.012687807261397
ENSOARG00000008576	101121312	VCL	vinculin	1.04352315198137	0.0142747087055719
ENSOARG00000008585	100307033	ASF1A	anti-silencing function 1A histone chaperone	-1.066535013592	0.0278137094871223
ENSOARG00000008591	101120476	LOC101120476	zinc finger protein 623-like	-1.38390165553748	0.0320658510381153
ENSOARG00000008612	101113102	IQCD	IQ motif containing D	1.36650806164599	0.0415141685990144
ENSOARG00000008696	101103071	GOPC	golgi associated PDZ and coiled-coil motif containing	-0.96042068038666	0.0377984155713488
ENSOARG00000008824	101114633	ELMO2	engulfment and cell motility 2	1.71118855640906	0.042768771503132
ENSOARG00000008940	443004	LPO	lactoperoxidase	1.66303043735003	0.0496898676170095
ENSOARG00000009014	101104498	KPNA5	karyopherin subunit alpha 5	-1.30249300303011	0.0405523098629224
ENSOARG00000009069	101120404	ATL2	atlastin GTPase 2	1.14451064593403	0.0463155212655804
ENSOARG00000009259	101108330	ZNF512B	zinc finger protein 512B	-1.27675285295195	0.0102254846272519
ENSOARG00000009337	101106256	BORCS8	BLOC-1 related complex subunit 8	1.0887267901097	0.0285571345760631
ENSOARG00000009701	101110953	CASP9	caspase 9	-1.02482595035324	0.0155779917040632
ENSOARG00000009714	101110874	ABCE1	ATP binding cassette subfamily E member 1	-1.01433284196609	0.0370812225436096
ENSOARG00000009794	101108481	DGKI	diacylglycerol kinase iota	2.07605675045626	0.020237928385893
ENSOARG00000009805				-1.44567851235792	0.0189594090494565
ENSOARG00000009984	101106391	PLAC9	placenta specific 9	1.41991917723073	0.0327694252887391
ENSOARG00000010008	101105616	SDHC	succinate dehydrogenase complex subunit C	0.834049351021933	0.0417669677235354
ENSOARG00000010081	101123258	LPIN2	lipin 2	0.902380130597832	0.029539383998223
ENSOARG00000010164	100302341	GNAI2	G protein subunit alpha i2	0.833509423205708	0.0298867796911814
ENSOARG00000010174		RHOBTB2	Rho related BTB domain containing 2	-1.13099693628291	0.0177488869719249
ENSOARG00000010287	101108716	PRXL2A	peroxiredoxin like 2A	1.08327316732697	0.00654032755624472
ENSOARG00000010322	101117352	TNFRSF6B	TNF receptor superfamily member 6b	-1.11584493750357	0.0385888390270822
ENSOARG00000010354	101121894	LRRC8D	leucine rich repeat containing 8 VRAC subunit D	-1.30618698577854	0.0314424880471369
ENSOARG00000010480	101120933	CASKIN2	CASK interacting protein 2	-1.0281616885651	0.024102385951043
ENSOARG00000010485	101108520	CKMT1A	creatine kinase, mitochondrial 1A	1.68881081730333	0.0222838374735146
ENSOARG00000010530	101102196		transmembrane protein 200C	-1.64788702014281	0.0349520300534589
ENSOARG00000010581	443003	ATP6V0C	ATPase H+ transporting V0 subunit c	0.856940201233322	0.0493550712749583
ENSOARG00000010832	101104158	TBC1D31	TBC1 domain family member 31	-1.18719505958336	0.00394794637985729
ENSOARG00000010862				1.00786530074132	0.0194031999646808
ENSOARG00000010922	101104967	ZRANB3	zinc finger RANBP2-type containing 3	1.21626789305408	0.0448393701913944
ENSOARG00000010989	101108923	SOBP	sine oculis binding protein homolog	-1.34713747285379	0.0366772935799541
ENSOARG00000010999				1.39394516838826	0.0306129751077453
ENSOARG00000011112	101104601	ACAT1	acetyl-CoA acetyltransferase 1	0.910663803632988	0.0211871040343666
ENSOARG00000011246	101121663	PRPS2	phosphoribosyl pyrophosphate synthetase 2	1.05462620392832	0.0448479097203274
ENSOARG00000011327		GSE1	Gse1 coiled-coil protein	2.04425914310718	0.0440535789640074
ENSOARG00000011360	101119071	SERTAD1	SERTA domain containing 1	1.51896894613185	0.0258330677940931
ENSOARG00000011362	101103510	FANCI	FA complementation group I	0.970440459920575	0.0324219368467224
ENSOARG00000011536	101116712	NCKAP5	NCK associated protein 5	2.91925983904557	0.0155765428686148
ENSOARG00000011543	101116112	COQ7	coenzyme Q7, hydroxylase	1.06686930745375	0.0493550712749583
ENSOARG00000011584		F2RL1	F2R like trypsin receptor 1	-1.35739960254514	0.0201378809914652
ENSOARG00000011658	101111700	SFXN5	sideroflexin 5	1.09141041531742	0.03880101221873
ENSOARG00000011676	101103926	KIF7	kinesin family member 7	-1.10455876590681	0.0120870005942119
ENSOARG00000011719	101117459	LRRC7	leucine rich repeat containing 7	-1.63401460832213	0.0212806538051849
ENSOARG00000011734	101104521	FBXO31	F-box protein 31	-0.935518191181528	0.028805777808198
ENSOARG00000011747	101110317	CFAP157	cilia and flagella associated protein 157	-1.48584967719914	0.0312986153026343
ENSOARG00000011840	101109704	ISYNA1	inositol-3-phosphate synthase 1	1.14678191129871	0.0187240345783823
ENSOARG00000011883	101104651	ALMS1	ALMS1, centrosome and basal body associated protein	-1.00685150097333	0.0261249720192251
ENSOARG00000011928	101111960	STEAP2	STEAP2 metalloreductase	4.11986674376182	0.0287246337171454
ENSOARG00000011948	101113315	TPRKB	TP53RK binding protein	1.381889812754	0.0116540347508011
ENSOARG00000011949	101107905	C3orf67	chromosome 19 open reading frame, human C3orf67	1.16440179292674	0.0407794465883128
ENSOARG00000012148	101106778	MANEA	mannosidase endo-alpha	1.31727255293032	0.016588225262503
ENSOARG00000012220	101102594	GMPR	guanosine monophosphate reductase	1.49183139400424	0.0280835049432577
ENSOARG00000012337	101115526	MOB1A	MOB kinase activator 1A	0.956664919178741	0.0438490991669416
ENSOARG00000012371	101112035	CEP78	centrosomal protein 78	-0.936244050639797	0.0341953388374331
ENSOARG00000012473	101111258	RAP2C	RAP2C, member of RAS oncogene family	0.984642703705323	0.0239937511702637
ENSOARG00000012531	101105848	HYOU1	hypoxia up-regulated 1	-0.924432003964948	0.0425977231404996
ENSOARG00000012624	101116894	C3H2orf81	chromosome 3 open reading frame, human C2orf81	1.52598363080556	0.0432838702158742
ENSOARG00000012658	101105732		PBX homeobox 3	1.29431399058056	0.0230578362767161
ENSOARG00000012703	105610484	LOC105610484	zinc finger protein 791-like	-1.1029647705092	0.0138432087207844
ENSOARG00000012917	101107029	RECQL4	RecQ like helicase 4	1.4458740975573	0.0321128124260327
ENSOARG00000012973	101113566	RALB	RAS like proto-oncogene B	0.938673999507456	0.0231336391532061
ENSOARG00000012988	101105978	APBA1	amyloid beta precursor protein binding family A member 1	1.9164477721498	0.0417669677235354
ENSOARG00000013040		AMIGO3	adhesion molecule with Ig like domain 3	-1.54750160661665	0.0103574275696672
ENSOARG00000013191	100037666	RPS11	ribosomal protein S11	0.964650386103658	0.0304714909348408
ENSOARG00000013260		PRR12	proline rich 12	-1.13023641107315	0.00886609324323874
ENSOARG00000013348		DAGLA	diacylglycerol lipase alpha	-1.24682535073585	0.0152627285636231
ENSOARG00000013362	101117339	CEP162	centrosomal protein 162	1.10537968336296	0.0441168271683152
ENSOARG00000013375	101107467	C2CD2L	C2CD2 like	-1.17647750343235	0.0463155212655804
ENSOARG00000013546	101122140	URGCP	up-regulator of cell proliferation	1.01109364139034	0.023904625835359
ENSOARG00000013638	101120325	GNG7	guanine nucleotide binding protein (G protein), gamma 7	1.83984523070467	0.0106316842740989
ENSOARG00000013640		TRAPPC2L	trafficking protein particle complex 2 like	1.07113665797767	0.0116808398855486
ENSOARG00000013701	101107696	MRPS33	mitochondrial ribosomal protein S33	0.944745978468382	0.0439987201265568
ENSOARG00000013730		GGT5	gamma-glutamyltransferase 5	1.12164340407147	0.0468309982213054
ENSOARG00000013837	101116251	KCNC3	potassium voltage-gated channel subfamily C member 3	-1.543875384936	0.0426783473709409
ENSOARG00000013843				1.43977921743296	0.0236112113263404
ENSOARG00000013876	101120756	EPB41L2	erythrocyte membrane protein band 4.1 like 2	1.12846915942427	0.0122717596160959
ENSOARG00000013915	101112644	KIAA1147	KIAA1147 ortholog	2.02150740257321	0.00794453168796527
ENSOARG00000013922	101115725	TAF3	TATA-box binding protein associated factor 3	2.22682415929908	0.0168378962955698
ENSOARG00000013967	101118833	MINPP1	multiple inositol-polyphosphate phosphatase 1	-1.04412749833574	0.0303747293840028
ENSOARG00000013992	101116195	CHAF1B	chromatin assembly factor 1 subunit B	-0.977426232629963	0.041735697738593
ENSOARG00000014009		DUSP2	dual specificity phosphatase 2	2.54992723407731	0.0192560455039153
ENSOARG00000014088	101122225	C6orf89	chromosome 20 open reading frame, human C6orf89	0.941197052099526	0.0153228883827073
ENSOARG00000014195	101118760	TMEFF2	transmembrane protein with EGF like and two follistatin like domains 2	-1.28065349986366	0.0236738946125923
ENSOARG00000014625	101120066	TMEM19	transmembrane protein 19	1.64471693010546	0.0102848564189436
ENSOARG00000014655	101115116	ZMIZ2	zinc finger MIZ-type containing 2	-1.20375301605377	0.00891644513385205
ENSOARG00000014688	101108841	PLEKHF2	pleckstrin homology and FYVE domain containing 2	1.1583880756796	0.0486311611948953
ENSOARG00000014721	101104511	DPH1	diphthamide biosynthesis 1	-1.26080865712698	0.0122945775056404
ENSOARG00000014755		TMEM220	transmembrane protein 220	1.55393410508691	0.0220876400173499
ENSOARG00000014760	100462693	NDUFB6	NADH:ubiquinone oxidoreductase subunit B6	1.10548374136164	0.0149109018989302
ENSOARG00000014792	101120919	FAM151B	family with sequence similarity 151 member B	1.09000553777182	0.0499444070970407
ENSOARG00000014837				1.31120552519035	0.0195489176510443
ENSOARG00000014867	101121679	MSH3	mutS homolog 3	-1.34788793120777	0.00457083175541812
ENSOARG00000014908	101110791	LGR4	leucine rich repeat containing G protein-coupled receptor 4	-1.15709296587072	0.0494725783200104
ENSOARG00000014984	101119406	FXR2	FMR1 autosomal homolog 2	-0.926740845971661	0.0178723926518933
ENSOARG00000015032	101120031	ADAMTS8	ADAM metallopeptidase with thrombospondin type 1 motif 8	1.2879492473997	0.0322614518150524
ENSOARG00000015083	101107232	GSTA4	glutathione S-transferase A4	0.995890904050489	0.0372864197956371
ENSOARG00000015149				1.14141356422833	0.0414862059009614
ENSOARG00000015345	101107457	DENND1B	DENN domain containing 1B	1.15130626754987	0.0122038982397203
ENSOARG00000015368				-0.846300526290429	0.0386829440942931
ENSOARG00000015756				-1.5568143014773	0.0311021268598085
ENSOARG00000015822	101103738	WRAP53	WD repeat containing antisense to TP53	-0.91980890458068	0.0260092952336054
ENSOARG00000015857	101103741	METRNL	meteorin like, glial cell differentiation regulator	1.24493750539955	0.0298188339480092
ENSOARG00000015859		KCTD10	potassium channel tetramerization domain containing 10	0.957097946696153	0.0440535789640074
ENSOARG00000016325	101121552	AK7	adenylate kinase 7	1.81431731321108	0.0431649126526937
ENSOARG00000016424		CELSR3	cadherin EGF LAG seven-pass G-type receptor 3	-1.33340349533993	0.0496965289944103
ENSOARG00000016539	105603547	SLC26A6	solute carrier family 26 member 6	-1.06724221879033	0.0377106302611351
ENSOARG00000016908	101120606	LOC101120606	mitotic-spindle organizing protein 2	1.04645111418417	0.043728724783928
ENSOARG00000016941				1.31726341586213	0.0202458403855282
ENSOARG00000016993	101122702	AZIN1	antizyme inhibitor 1	-1.03486040069835	0.00487938760085855
ENSOARG00000017262	101109354	ARSK	arylsulfatase family member K	1.04638036160995	0.0184764978884763
ENSOARG00000017266	101118659	ABCD3	ATP binding cassette subfamily D member 3	-0.997213063148231	0.0354588761192378
ENSOARG00000017313	101122658	GPC2	glypican 2	-1.32028571608827	0.0264912179604687
ENSOARG00000017560	101117848	FLRT2	fibronectin leucine rich transmembrane protein 2	1.73338357318853	0.0167685818594108
ENSOARG00000017573	101118361	GPR65	G protein-coupled receptor 65	1.58726338900455	0.030379373207428
ENSOARG00000017583	101113875	SALL1	spalt like transcription factor 1	-1.30840428377538	0.00632299074448926
ENSOARG00000017596	101104012	LOC101104012	centrin-4	1.055665116244	0.0489884898642401
ENSOARG00000017616	101115697	RFX4	regulatory factor X4	-1.38236023390192	0.0150884196611133
ENSOARG00000017640				-1.18768246660065	0.0353670772330054
ENSOARG00000017647				1.08437075983017	0.0436856364019019
ENSOARG00000017652	101122750	BOK	BCL2 family apoptosis regulator BOK	2.08656884660174	0.0420427608072914
ENSOARG00000017653	101111259	FAM117B	family with sequence similarity 117 member B	-1.67021120879836	0.0245096173045376
ENSOARG00000017758	101118025	RASL12	RAS like family 12	2.14663585259209	0.0231336391532061
ENSOARG00000017771	101111369	CNOT6L	CCR4-NOT transcription complex subunit 6 like	1.55599647796697	0.0360511723431695
ENSOARG00000017937	101110990	ZNF3	zinc finger protein 3	-0.968885810931906	0.0458017623693865
ENSOARG00000018058	101122440	DENND4A	DENN domain containing 4A	-1.07254169870362	0.0473184592323155
ENSOARG00000018111	100302073	RAB9A	RAB9A, member RAS oncogene family	1.06907346721515	0.0329049078480417
ENSOARG00000018250	101115857	ZDHHC15	zinc finger DHHC-type containing 15	-1.45636782288224	0.0439987201265568
ENSOARG00000018274	101117962	SORL1	sortilin related receptor 1	1.28809078173407	0.0127042926456236
ENSOARG00000018288	101122265	NCKAP5L	NCK associated protein 5 like	-1.00667634226287	0.023436380742906
ENSOARG00000018524	101117921	PRPF40B	pre-mRNA processing factor 40 homolog B	-1.04766038665975	0.0393734447081992
ENSOARG00000018545	101104415	UBE2T	ubiquitin conjugating enzyme E2 T	1.27024036015852	0.0425750342571541
ENSOARG00000018560	101114871	USP46	ubiquitin specific peptidase 46	-1.09698073385794	0.0176510485243777
ENSOARG00000018561				1.24310816565504	0.0477767256616392
ENSOARG00000018590	101114170	MID2	midline 2	1.20416327000449	0.0352643531948214
ENSOARG00000018758	101117648	PBDC1	polysaccharide biosynthesis domain containing 1	-0.85703050215462	0.047316283979709
