ENSEMBL	ENTREZID	SYMBOL	DESCRIPTION	LPS100.A10.vs.Ctrl.micro.logFC	LPS100.A10.vs.Ctrl.micro.p.value
ENSOARG00000000301	101116725	FAM32A	family with sequence similarity 32 member A	0.761032592178925	0.00943354313069909
ENSOARG00000000302	101102329	POLR2C	RNA polymerase II subunit C	0.479455589232885	0.0451636838765012
ENSOARG00000000304	101102850	ACKR3	atypical chemokine receptor 3	2.74986018317667	0.00317213767325928
ENSOARG00000000313				-1.1511554937488	0.000768065261318754
ENSOARG00000000320	101118322	PRKCI	protein kinase C iota	0.698059626845265	0.0435972616281795
ENSOARG00000000324	101105639	SCRN3	secernin 3	-0.508699502908844	0.0282876209683931
ENSOARG00000000329	101112478	SRFBP1	serum response factor binding protein 1	1.39891564144846	0.000830792924877646
ENSOARG00000000333	101114142	ADAMTS7	ADAM metallopeptidase with thrombospondin type 1 motif 7	2.55772104974907	0.000203069751354509
ENSOARG00000000338	101111169	ABCA2	ATP binding cassette subfamily A member 2	-0.790705590739219	0.0479449012713142
ENSOARG00000000341		RNPEP	arginyl aminopeptidase	-1.00300626862056	0.00142982879387866
ENSOARG00000000362	101106068	NUP107	nucleoporin 107	0.569949199582554	0.00905079789347727
ENSOARG00000000369	101112867	ECHS1	enoyl-CoA hydratase, short chain 1	-0.690428359361039	0.00535508758532831
ENSOARG00000000373	101110815	CCSER2	coiled-coil serine rich protein 2	1.17243716607967	0.000218159162246744
ENSOARG00000000380	101123219	LOC101123219	phosphoribosylformylglycinamidine synthase-like	-0.760025090065904	0.0196351675376935
ENSOARG00000000381	101107904	RFT1	RFT1 homolog	-0.57633861003106	0.011394621531919
ENSOARG00000000384	101108365	MAK16	MAK16 homolog	0.52962188987328	0.00896497437323397
ENSOARG00000000395	101108629	TTI2	TELO2 interacting protein 2	0.57483078393363	0.0260570980532885
ENSOARG00000000399	101114393	TBC1D2B	TBC1 domain family member 2B	2.5233692170194	0.00137563718532497
ENSOARG00000000409	101111750	CCDC51	coiled-coil domain containing 51	-0.619804380908035	0.031706777364883
ENSOARG00000000418	101118840	PHC3	polyhomeotic homolog 3	0.658446600381995	0.0217805193074073
ENSOARG00000000433	101118873	NAP1L5	nucleosome assembly protein 1 like 5	-2.32171077420973	0.00050302891409035
ENSOARG00000000446	101116555	LIMS1	LIM zinc finger domain containing 1	-2.2361951575323	0.000442593421979208
ENSOARG00000000457	101109343	LOC101109343	serpin B6-like	0.657347701994267	0.046957779892072
ENSOARG00000000460	101114585	WAPL	WAPL cohesin release factor	0.838671469611528	0.00233362096628771
ENSOARG00000000468	101105339	LOC101105339	nuclear transcription factor Y subunit beta	1.19527626961004	0.000195648832337207
ENSOARG00000000470	101121517	DCAF16	DDB1 and CUL4 associated factor 16	-1.05385769387141	0.0485933725680852
ENSOARG00000000480	101106721	MOCS1	molybdenum cofactor synthesis 1	-0.672239060527187	0.0126382116215345
ENSOARG00000000498	101109832	ITGA9	integrin subunit alpha 9	1.87098978885674	0.000297746446632059
ENSOARG00000000500	101119578	RNF24	ring finger protein 24	1.19841773674137	0.0238804771981758
ENSOARG00000000510	101112907	IFNGR1	interferon gamma receptor 1	-1.61431345190581	0.000901671343002422
ENSOARG00000000515	101112269	ST3GAL3	ST3 beta-galactoside alpha-2,3-sialyltransferase 3	-0.738300110428794	0.0278980268819058
ENSOARG00000000519	101105495	PCDHGC3	protocadherin gamma-C4	-0.826283885479039	0.038684269607683
ENSOARG00000000532	101116275	C1orf216	chromosome 1 open reading frame, human C1orf216	-1.15722527652453	0.00582469403784884
ENSOARG00000000535		CIB2	calcium and integrin binding family member 2	-0.632940959798599	0.021671021080046
ENSOARG00000000541	101108428	LOC101108428	store-operated calcium entry regulator STIMATE	0.830323891550901	0.0409798978163696
ENSOARG00000000564				1.51907688453971	0.00375999737262834
ENSOARG00000000570	101104979	MDM2	MDM2 proto-oncogene	0.653915025888344	0.0249960058550979
ENSOARG00000000580	101110857	FLII	FLII, actin remodeling protein	-0.852439327326702	0.000757806864081817
ENSOARG00000000581	101113905	LRRC31	leucine rich repeat containing 31	2.7374075030982	0.000189481089025145
ENSOARG00000000587	101120868	IDH3A	isocitrate dehydrogenase 3 (NAD(+)) alpha	0.63387633410866	0.0113652885459259
ENSOARG00000000588	101103726	ACOT4	acyl-coenzyme A thioesterase 4	0.576823376179122	0.0293894645743309
ENSOARG00000000595				1.24253171153509	0.0298368399864043
ENSOARG00000000605	101120025	PLXNB1	plexin B1	-0.536701276613045	0.0477066336134898
ENSOARG00000000607				-1.52490047209725	0.0002065320434634
ENSOARG00000000622	101117141	KPNA6	karyopherin subunit alpha 6	0.554052819426859	0.0496663510343443
ENSOARG00000000625	101122675		leukocyte immunoglobulin-like receptor subfamily A member 6	-0.682402606305139	0.0165679619296919
ENSOARG00000000633	101105744	IQUB	IQ motif and ubiquitin domain containing	2.5900653402569	8.24353395050923e-05
ENSOARG00000000637		EHMT1	euchromatic histone lysine methyltransferase 1	-0.686187172257074	0.0229173154045896
ENSOARG00000000647	101102946	KIF11	kinesin family member 11	-1.43151666318663	0.0242380233023238
ENSOARG00000000654	101112078	MAD2L2	mitotic arrest deficient 2 like 2	0.643493281078063	0.0266092788507479
ENSOARG00000000666	101117825	KHDRBS1	KH RNA binding domain containing, signal transduction associated 1	-0.565982499556458	0.0199290335040889
ENSOARG00000000669	101107368	SLC25A35	solute carrier family 25 member 35	-0.969645155290989	0.00235893817528649
ENSOARG00000000676	101119527	PAQR4	progestin and adipoQ receptor family member 4	-1.19655029679089	0.00333030060379367
ENSOARG00000000680	101105164	ELMSAN1	ELM2 and Myb/SANT domain containing 1	-0.974262751693881	0.00907892251429506
ENSOARG00000000687				-0.607085645160387	0.0368223236424293
ENSOARG00000000694	101103685	SART1	spliceosome associated factor 1, recruiter of U4/U6.U5 tri-snRNP	0.525529620917727	0.0442350946734219
ENSOARG00000000697	101104467	TNNT3	troponin T3, fast skeletal type	2.97553347717418	0.00198946380183462
ENSOARG00000000703				0.674746716241895	0.0488748103195881
ENSOARG00000000708	101113579	CALCR	calcitonin receptor	-1.11837528767774	0.0142500625384087
ENSOARG00000000717				0.838965596523417	0.0240021478889021
ENSOARG00000000722	101114519	HSD17B4	hydroxysteroid 17-beta dehydrogenase 4	-0.429730424622473	0.0487443074491533
ENSOARG00000000726	101105000	PTGR2	prostaglandin reductase 2	-0.67057637184971	0.00981655359052745
ENSOARG00000000732	101109650	XPC	XPC complex subunit, DNA damage recognition and repair factor	-0.863341530217003	0.00199850057197022
ENSOARG00000000735	101106216	CHTOP	chromatin target of PRMT1	0.797393359576054	0.00643685352754303
ENSOARG00000000736	101119784	PKMYT1	protein kinase, membrane associated tyrosine/threonine 1	-1.25314531613589	0.0019793244124899
ENSOARG00000000737	101109087	CCDC138	coiled-coil domain containing 138	-0.965702892233753	0.0196311212879253
ENSOARG00000000739	101108183		solute carrier family 6 member 9	1.77042974937609	0.00059253732416588
ENSOARG00000000742	101121551	DNAJA4	DnaJ heat shock protein family (Hsp40) member A4	0.802718555196119	0.0044506087948826
ENSOARG00000000754	101117730	PLPBP	pyridoxal phosphate binding protein	-0.819247125603538	0.00857319731378168
ENSOARG00000000756	101111809	ZNF770	zinc finger protein 770	-0.743723658769992	0.0228145962118369
ENSOARG00000000757	101120539	MYNN	myoneurin	0.889018979718862	0.00443742391919823
ENSOARG00000000758	101123177	SNAPIN	SNAP associated protein	-0.56816962635305	0.0112217978958834
ENSOARG00000000762				-1.73298882111547	0.000727817182730976
ENSOARG00000000769	443239	GLUD1	Ovis aries glutamate dehydrogenase 1 (GLUD1), mRNA.	-1.17904029075149	0.00810839195271161
ENSOARG00000000779	101112855	PPT2	palmitoyl-protein thioesterase 2	-0.519081978220488	0.0363198762512529
ENSOARG00000000780		SLC2A4RG	SLC2A4 regulator	-1.8488804634725	0.000917634664997428
ENSOARG00000000785				1.1103829970961	0.00643643674037161
ENSOARG00000000787	101106476	ILF2	interleukin enhancer binding factor 2	1.06077275806112	0.00154457452070022
ENSOARG00000000791	101114199	HEBP2	heme binding protein 2	1.65337958537713	0.0160327684850017
ENSOARG00000000798				1.0618510264197	0.00107687458575062
ENSOARG00000000800	101122599	PEX11G	peroxisomal biogenesis factor 11 gamma	-1.14097909224295	0.00112773618487206
ENSOARG00000000803	101103445	MTCL1	microtubule crosslinking factor 1	-1.89230290678439	0.00076744631562177
ENSOARG00000000804	101103087	KATNB1	katanin regulatory subunit B1	-0.464563041640518	0.0247289211060882
ENSOARG00000000805	101120792	ACTRT3	actin related protein T3	1.26564259908691	0.00879212408387389
ENSOARG00000000807		PXDC1	PX domain containing 1	0.690108196400091	0.0352868062423537
ENSOARG00000000808	101114029	ZC3H3	zinc finger CCCH-type containing 3	-0.861644479721123	0.000997546410319931
ENSOARG00000000810	101114450	NHSL1	NHS like 1	-1.10895853190096	0.0308169418175995
ENSOARG00000000813	101104628		tectonin beta-propeller repeat containing 1	-0.730173883147644	0.0144939202223973
ENSOARG00000000818	101113359	TRIM68	tripartite motif containing 68	-0.931879708488438	0.0294769483462574
ENSOARG00000000823	101116000	ERI3	ERI1 exoribonuclease family member 3	-1.22395972612233	0.00050050614692094
ENSOARG00000000827	101113562	SHLD2	shieldin complex subunit 2	-1.26446261850264	0.000236272753407198
ENSOARG00000000829	443186	ACACA	acetyl-CoA carboxylase alpha	-0.936653757672961	0.0155747421286924
ENSOARG00000000837	101117368	HHIPL1	HHIP like 1	-0.781204227408767	0.0220958396591119
ENSOARG00000000846	101122529	CCDC28A	coiled-coil domain containing 28A	-0.381491570645101	0.0486034184215656
ENSOARG00000000855		SH3RF3	SH3 domain containing ring finger 3	-0.722662993486812	0.0370081525827841
ENSOARG00000000875	101117499	TPM4	tropomyosin 4	-0.608120251639304	0.0333302148979803
ENSOARG00000000878	101103342	KIFC3	kinesin family member C3	-0.616000405114941	0.0176717194590022
ENSOARG00000000881	101122309	IREB2	iron responsive element binding protein 2	0.671647264201876	0.0227008546584104
ENSOARG00000000888	101103655	XAF1	XIAP associated factor 1	1.46795134310064	0.0136992692337811
ENSOARG00000000901	101103220		uncharacterized LOC101103220	0.957648951613974	0.0112827207001381
ENSOARG00000000912	101114082	LOC101114082	annexin A8	-1.23075455295136	0.00501870592937822
ENSOARG00000000920		PNPLA7	patatin like phospholipase domain containing 7	-0.980711458701488	0.000584877267142608
ENSOARG00000000925	101110514	EID1	EP300 interacting inhibitor of differentiation 1	-0.879125640130157	0.000934285750818615
ENSOARG00000000934	101102960	SYTL4	synaptotagmin like 4	0.762176127095299	0.0463252836528937
ENSOARG00000000938	101117935	SOCS4	suppressor of cytokine signaling 4	0.664887131378561	0.0214641300731867
ENSOARG00000000945		NSMF	NMDA receptor synaptonuclear signaling and neuronal migration factor	-1.00171555554412	0.000640366851705141
ENSOARG00000000950	101122940	A2M	alpha-2-macroglobulin	-0.582381213484037	0.0156545518626307
ENSOARG00000000952	101122615	SEC23B	Sec23 homolog B, coat complex II component	0.520644001647446	0.013795739186942
ENSOARG00000000957	101122555	HYKK	hydroxylysine kinase	-1.45273000366515	0.00248679087386946
ENSOARG00000000959	101107265	LOC101107265	RNA-binding motif protein, X-linked 2-like	0.984462396312757	0.0132146013751993
ENSOARG00000000962	101114282	RHPN1	rhophilin Rho GTPase binding protein 1	-1.09881137849564	0.00538092151526943
ENSOARG00000000964	101121258	ZNF358	zinc finger protein 358	-1.27269096868354	7.9559037570218e-05
ENSOARG00000000965	101113376	ZNF511	zinc finger protein 511	-0.694786047908336	0.0239932014404602
ENSOARG00000000977		SEPT10	septin 10	-0.539724302713165	0.0119880935941606
ENSOARG00000000984		HIST1H2BD	histone cluster 1 H2B family member d	0.695567610851135	0.044914069151109
ENSOARG00000000986	101110733	BRF2	BRF2, RNA polymerase III transcription initiation factor subunit	0.664988376841761	0.00531312250437217
ENSOARG00000000995	101106932	WASL	Wiskott-Aldrich syndrome like	0.659303998563523	0.00952364060720336
ENSOARG00000001000				-0.707418884454874	0.00264514943277347
ENSOARG00000001010	101103200	EXOC6	exocyst complex component 6	-0.811385115213717	0.0162188157012447
ENSOARG00000001014	101113205	PDK1	pyruvate dehydrogenase kinase 1	-0.631197898823893	0.0137146450883629
ENSOARG00000001030	101106333	ABCD4	ATP binding cassette subfamily D member 4	-0.471444518858702	0.0352868062423537
ENSOARG00000001034	101117834	GCFC2	GC-rich sequence DNA-binding factor 2	0.800370944079677	0.0163268566900523
ENSOARG00000001038	101121183	DRG2	developmentally regulated GTP binding protein 2	0.591633586092395	0.00975033369437958
ENSOARG00000001039	101106317	RAP1B	RAP1B, member of RAS oncogene family	0.722376676860353	0.0472940548891693
ENSOARG00000001040	101111575	REXO2	RNA exonuclease 2	-0.583675851648605	0.0193925287361402
ENSOARG00000001045	101102829	DNAJC1	DnaJ heat shock protein family (Hsp40) member C1	1.50714240786757	0.000232183953438211
ENSOARG00000001047	101122020		ATPase H+ transporting V0 subunit e2	-1.25922898457123	0.00272787073761742
ENSOARG00000001051	101114963	REPS1	RALBP1 associated Eps domain containing 1	0.779612509629643	0.00427643223651783
ENSOARG00000001059	100190977	CKB	creatine kinase B-type	-0.916473902283154	0.0360429851250277
ENSOARG00000001060	443087	KDR	kinase insert domain receptor	-1.40738073187234	0.0468242895143728
ENSOARG00000001066	101115090		CCZ1 homolog, vacuolar protein trafficking and biogenesis associated	0.441315494568769	0.0405587665919499
ENSOARG00000001075	101120100	AP5S1	adaptor related protein complex 5 subunit sigma 1	-0.583546761709427	0.0142787733630773
ENSOARG00000001090	101112585	LOC101112585	F-box only protein 44	-0.911976227848294	0.00113781696256207
ENSOARG00000001093	101112170	NME6	NME/NM23 nucleoside diphosphate kinase 6	-0.790181958726952	0.00128883381796711
ENSOARG00000001095	101106729	INTS3	integrator complex subunit 3	-0.545079386625186	0.0123662743621581
ENSOARG00000001099				-0.705813425967773	0.00330840798250952
ENSOARG00000001117	101117959	ZNF784	zinc finger protein 784	-0.643124888859737	0.0469709153377074
ENSOARG00000001121				-0.445232545727157	0.0265564451162131
ENSOARG00000001124	101111426	EIF4EBP1	eukaryotic translation initiation factor 4E binding protein 1	-0.533808429174274	0.0377970453814737
ENSOARG00000001127				-0.59698209514956	0.0366723725844431
ENSOARG00000001128	101112176	EIF1AD	eukaryotic translation initiation factor 1A domain containing	1.04834198996894	0.00574142856838942
ENSOARG00000001142	101113512	ITPKB	inositol-trisphosphate 3-kinase B	-1.11424593931636	0.00545759819970059
ENSOARG00000001148	101105539	HFE	homeostatic iron regulator	-0.954797295855324	0.029524448874303
ENSOARG00000001165	101108558		BOLA class I histocompatibility antigen, alpha chain BL3-7-like	0.882516736255869	0.005346771579008
ENSOARG00000001170	101107605	LTBP2	latent transforming growth factor beta binding protein 2	-1.20765856243469	0.00215207943174678
ENSOARG00000001191	101121849	TMEM140	transmembrane protein 140	1.60727765042176	0.00139604319577578
ENSOARG00000001194		FBXO2	F-box protein 2	1.17030705601708	0.0161668297930074
ENSOARG00000001195	101108001		adenylate cyclase type 10-like	-1.33503569522999	0.00146298716193597
ENSOARG00000001206	101114348	BET1	Bet1 golgi vesicular membrane trafficking protein	0.860307574929035	0.0028688530414166
ENSOARG00000001213	101104161	MED31	mediator complex subunit 31	0.815758785703189	0.00330840798250952
ENSOARG00000001215		PRKAR1B	protein kinase cAMP-dependent type I regulatory subunit beta	-0.813575540595989	0.0282301111057589
ENSOARG00000001224	101123615	LOC101123615	leukocyte immunoglobulin-like receptor subfamily A member 5	-1.11967935694649	0.00334707031576251
ENSOARG00000001240	101118674	PEF1	penta-EF-hand domain containing 1	-1.51379612901932	4.70941427562151e-05
ENSOARG00000001261	101104833	SPAG1	sperm associated antigen 1	0.873072277090834	0.00259986355783081
ENSOARG00000001262	443061	BCL2L1	BCL2 like 1	1.37783499092123	0.000702213407793375
ENSOARG00000001269	443122	STAR	steroidogenic acute regulatory protein	-0.990915424811069	0.0195161234596824
ENSOARG00000001286				-0.860513537548676	0.0120689814068371
ENSOARG00000001301	101116171	RRM1	ribonucleotide reductase catalytic subunit M1	-0.524634010663203	0.0149417733049001
ENSOARG00000001302	101113640	TUBGCP2	tubulin gamma complex associated protein 2	-0.520838994351163	0.0479075136474371
ENSOARG00000001311	101108583	NDEL1	nudE neurodevelopment protein 1 like 1	0.829828437893431	0.0126182387047973
ENSOARG00000001317	101111937	LSM1	LSM1 homolog, mRNA degradation associated	0.646736927281938	0.0252584352017185
ENSOARG00000001322	101102339	FBXO22	F-box protein 22	-0.463935277120553	0.0214694349317734
ENSOARG00000001325	101118503	BAG4	BCL2 associated athanogene 4	0.499051852890506	0.0238804771981758
ENSOARG00000001329				1.32279001779986	0.00116563533633253
ENSOARG00000001338	101121901	CGGBP1	CGG triplet repeat binding protein 1	1.30612991729575	0.000204644161882061
ENSOARG00000001349	101120012	ISOC2	isochorismatase domain containing 2	-0.670739597485493	0.0284109485036162
ENSOARG00000001354	101103337	COMMD3	BMI1 proto-oncogene, polycomb ring finger	-0.723492448116273	0.00357932863734496
ENSOARG00000001355				-2.66743834169751	0.000129192519262368
ENSOARG00000001357				0.599610413600082	0.0254423693521202
ENSOARG00000001363				-0.884761756602676	0.0115568371753753
ENSOARG00000001366	101104558	CENPI	centromere protein I	-1.60710556569152	0.0108454217568048
ENSOARG00000001381	101113776	PSEN2	presenilin 2	-0.573738723694915	0.0105665035250048
ENSOARG00000001384	101115595	PMS2	PMS1 homolog 2, mismatch repair system component	-0.919903717424363	0.0017121479473901
ENSOARG00000001390	101106772	SRD5A3	steroid 5 alpha-reductase 3	-1.0283142231244	0.000590792847445746
ENSOARG00000001395	101119187	TINAGL1	tubulointerstitial nephritis antigen like 1	-0.622519142685503	0.0286817382701575
ENSOARG00000001408	443156	ACVR2B	activin A receptor type 2B	0.811306202792075	0.0484117137664227
ENSOARG00000001414	101114993	SUFU	SUFU negative regulator of hedgehog signaling	-1.14359899404721	0.00225535529892338
ENSOARG00000001419	101102581	TPX2	TPX2, microtubule nucleation factor	-0.659537639046616	0.00550138195882746
ENSOARG00000001430	101118758	PLPP5	phospholipid phosphatase 5	-0.472433963704765	0.0381904392970537
ENSOARG00000001446	101110558	HECTD3	HECT domain E3 ubiquitin protein ligase 3	-0.717270006444229	0.0027782718931602
ENSOARG00000001448	101123119	PNPLA6	patatin like phospholipase domain containing 6	-0.83737931342315	0.00389322476655534
ENSOARG00000001454				1.19616049992111	0.00122876662222255
ENSOARG00000001455	101111131	EXOG	exo/endonuclease G	0.705671652725108	0.0212466471983047
ENSOARG00000001460	101106220	FAM45A	family with sequence similarity 45 member A	-1.30042006602446	0.0024924296818779
ENSOARG00000001462	101119755		secretion regulating guanine nucleotide exchange factor	-0.803211312318739	0.00959707831898472
ENSOARG00000001469	101121289	KMT5C	lysine methyltransferase 5C	-0.608984488955337	0.0405119165828528
ENSOARG00000001480	101104250	POLR2K	RNA polymerase II subunit K	1.33758824397474	0.000473135913183038
ENSOARG00000001489	101104858	TPST2	tyrosylprotein sulfotransferase 2	-0.841422773877447	0.000655769795405898
ENSOARG00000001497	100126573	TES	testin LIM domain protein	-0.816138846777215	0.0157320587229325
ENSOARG00000001499	101114037	COQ8A	coenzyme Q8A	-2.32106153068308	6.2106361414658e-05
ENSOARG00000001508	443512	COL1A2	collagen type I alpha 2 chain	-0.613736411735557	0.00646541058290871
ENSOARG00000001513	101120678	SLC26A11	solute carrier family 26 member 11	-1.68557868644106	0.00040691044022485
ENSOARG00000001518	101110616	ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)	-0.783922401129299	0.00777535712465829
ENSOARG00000001519	101114398	TRIM38	tripartite motif containing 38	1.10804568473584	0.00916910816261135
ENSOARG00000001520	101112635		zinc finger protein 616-like	-0.996241818122887	0.024426356424504
ENSOARG00000001525		RPS6KL1	ribosomal protein S6 kinase like 1	-1.8242195219078	0.00306945387813055
ENSOARG00000001529	101115246	TRIM8	tripartite motif containing 8	0.853261280270845	0.0050111887622191
ENSOARG00000001532	101107021	TMEM165	transmembrane protein 165	-0.436165218084204	0.0351390817032941
ENSOARG00000001540	101119804	LOC101119804	SH3 domain-binding glutamic acid-rich-like protein 3	-0.52488267051954	0.0331201650701813
ENSOARG00000001561	101119770	TOE1	target of EGR1, exonuclease	-0.48169718132876	0.0277948673569086
ENSOARG00000001570	101116682	RCN2	reticulocalbin 2	2.61459376444418	0.0001086874814666
ENSOARG00000001576	780507	FGFR1	fibroblast growth factor receptor 1	2.4009134350109	0.00259911853775619
ENSOARG00000001595		TACC1	transforming acidic coiled-coil containing protein 1	1.21368858972164	0.000218159162246744
ENSOARG00000001610	101102117		CREB regulated transcription coactivator 2	0.49442068145829	0.0195113333644114
ENSOARG00000001630	100302552	SLC39A1	solute carrier family 39 member 1	-0.932560068941135	0.00706678116752941
ENSOARG00000001641	101121189	C20orf27	chromosome 13 open reading frame, human C20orf27	-1.05011144698334	0.00029732403670859
ENSOARG00000001642	101111066	TESK2	testis associated actin remodelling kinase 2	-1.04495991906271	0.0126150975962855
ENSOARG00000001647	101106236	GLA	galactosidase alpha	-1.07974013620478	0.0267193470971325
ENSOARG00000001651	101107707	ZC2HC1C	zinc finger C2HC-type containing 1C	-0.720274458129691	0.0191703749129607
ENSOARG00000001668	101109437	TFEC	transcription factor EC	1.38845748931204	0.000699841256157977
ENSOARG00000001669				0.660420231516706	0.0115611090049185
ENSOARG00000001674				1.07866002339518	0.00952421011899385
ENSOARG00000001675	101118880	LTV1	LTV1 ribosome biogenesis factor	0.862296194362957	0.00188560031519757
ENSOARG00000001677	101111763	TRMT10C	tRNA methyltransferase 10C, mitochondrial RNase P subunit	0.540609037036169	0.0224310332143009
ENSOARG00000001688	101108998	TMEM141	transmembrane protein 141	-0.74643530931265	0.0428560391654913
ENSOARG00000001695	101106094	NCF2	neutrophil cytosolic factor 2	-1.05074006984812	0.00224836209176902
ENSOARG00000001701	101119545		BOLA class I histocompatibility antigen, alpha chain BL3-7-like	0.670990806108449	0.0163613648105881
ENSOARG00000001712	101120474	SNRNP40	small nuclear ribonucleoprotein U5 subunit 40	0.463291903430531	0.0422495189453992
ENSOARG00000001718	101105710	MPPE1	metallophosphoesterase 1	-0.916195344273393	0.000502995085983124
ENSOARG00000001724	101119780	ZNF174	zinc finger protein 174	-0.67328402760959	0.00436961957268728
ENSOARG00000001731	101108619	CIDEA	cell death-inducing DFFA-like effector a	-0.984132180262072	0.00240376303352318
ENSOARG00000001740	101118767	GPR157	probable G-protein coupled receptor 157	2.55576387081836	0.000204644161882061
ENSOARG00000001745	101106707	CDH8	cadherin 8	-1.00980258488495	0.00528673804602152
ENSOARG00000001750	101104347	PEAK1	pseudopodium enriched atypical kinase 1	0.940387878528299	0.0145862171266369
ENSOARG00000001767		SYT5	synaptotagmin 5	-1.01509932665417	0.0106197993723597
ENSOARG00000001772	101110051	FOXP2	forkhead box P2	1.14972802112172	0.0138683851492224
ENSOARG00000001777	101107746	RAB13	RAB13, member RAS oncogene family	-0.497810220368256	0.0464338409498897
ENSOARG00000001783	443218	FOS	Fos proto-oncogene, AP-1 transcription factor subunit	-2.39180505996478	0.00036391266166035
ENSOARG00000001785	101114751	TM2D2	TM2 domain containing 2	0.733152726451372	0.007929965084814
ENSOARG00000001792	101111121	CD82	CD82 molecule	2.19526467355093	0.00841449649248737
ENSOARG00000001804				-1.08739332367202	0.041692972782608
ENSOARG00000001812	101110146	BATF	basic leucine zipper ATF-like transcription factor	1.91309586337021	0.000381163307494658
ENSOARG00000001816	101115001	ADAM9	ADAM metallopeptidase domain 9	-0.745553711971471	0.042018945757082
ENSOARG00000001825		RABEP2	rabaptin, RAB GTPase binding effector protein 2	-0.692339159375988	0.00501657644918783
ENSOARG00000001827	101118905	SLC25A29	solute carrier family 25 member 29	0.778059989665634	0.00865286102591859
ENSOARG00000001834	101108756		feline leukemia virus subgroup C receptor-related protein 2	-0.444546412283127	0.0429511098657457
ENSOARG00000001846	101116427	CCDC92	coiled-coil domain containing 92	-1.44735430622011	0.00143534098887596
ENSOARG00000001869	101105695	TREM1	triggering receptor expressed on myeloid cells 1	1.12837861348284	0.0402958842872148
ENSOARG00000001871				-1.05966987853808	0.035595030211258
ENSOARG00000001880	101103959	LOC101103959	kinesin light chain 1-like	-0.422875479001089	0.0498272313128123
ENSOARG00000001882	101121306	CLUAP1	clusterin associated protein 1	-1.7453612633485	8.46735283510626e-05
ENSOARG00000001896	101123476	ATP6V0A1	ATPase H+ transporting V0 subunit a1	-1.19669748366302	0.011394621531919
ENSOARG00000001903	101119423	PITPNB	phosphatidylinositol transfer protein beta	0.671021746327984	0.0381904392970537
ENSOARG00000001909				1.24974568891848	0.00611075076016692
ENSOARG00000001914	780508	ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)	-1.38580040124457	0.000274162779508813
