ENSEMBL	ENTREZID	SYMBOL	DESCRIPTION	LPS100_1_hit.vs.Ctrl_1_hit.astro.logFC	LPS100_1_hit.vs.Ctrl_1_hit.astro.p.value
ENSOARG00000000917	105606097	LOC105606097	armadillo repeat protein deleted in velo-cardio-facial syndrome	-1.63793175113631	0.00160501012178978
ENSOARG00000000929	101116812		serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit beta	-1.02784370783175	0.0353561649892417
ENSOARG00000000935	101106534	LOC101106534	multidrug resistance-associated protein 4	1.80118646822367	0.00140492306488248
ENSOARG00000000944	101114640	TRIM21	tripartite motif containing 21	1.43849806158564	0.00149066823802545
ENSOARG00000000982	101108179	MFSD13A	major facilitator superfamily domain containing 13A	-1.10672389582234	0.00968807118343635
ENSOARG00000001082	101108063	KRBA2	KRAB-A domain containing 2	-1.10319593935262	0.0470441716268593
ENSOARG00000001108		CCDC106	coiled-coil domain containing 106	-1.50546254438737	0.00245069395715951
ENSOARG00000001109	101108552	HMGN5	high mobility group nucleosome binding domain 5	1.43156970767899	0.00467103185262709
ENSOARG00000001154	101117881	EML1	echinoderm microtubule associated protein like 1	-1.22311622989013	0.00198245189711931
ENSOARG00000001160	101105821	ARAP3	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3	-1.02651969560633	0.0346108722841505
ENSOARG00000001238	101115363	DMXL1	Dmx like 1	1.21029835618079	0.0173646201899097
ENSOARG00000001248				-0.92808675044486	0.0401911545906307
ENSOARG00000001290	101118094	PEX13	peroxisomal biogenesis factor 13	0.981841339981489	0.0121493448823093
ENSOARG00000001357				1.37145565920628	0.00294764732951225
ENSOARG00000001379	100126571	CAV2	caveolin 2	-1.31089981234233	0.00110588036616239
ENSOARG00000001406	101103086		DNA topoisomerase I	1.73565381153364	2.00464112968071e-05
ENSOARG00000001444	101109081	LOC101109081	septin-5	-1.15808758302444	0.00914855544116549
ENSOARG00000001448	101123119	PNPLA6	patatin like phospholipase domain containing 6	-0.958647581721306	0.015325764036569
ENSOARG00000001456	101120570	GFPT2	glutamine-fructose-6-phosphate transaminase 2	1.9417492952007	0.000131797986409681
ENSOARG00000001460	101106220	FAM45A	family with sequence similarity 45 member A	-0.887272177304293	0.0183720636043602
ENSOARG00000001468	101116201	MAPK8	mitogen-activated protein kinase 8	0.876824653221893	0.020444484433415
ENSOARG00000001505	101101994	HIVEP2	human immunodeficiency virus type I enhancer binding protein 2	1.20247281858829	0.00255513871492493
ENSOARG00000001511	100294659	STAT3	signal transducer and activator of transcription 3	0.972379318281011	0.0028576687038709
ENSOARG00000001519	101114398	TRIM38	tripartite motif containing 38	1.60217330636377	0.00661002504882543
ENSOARG00000001538		EDF1	endothelial differentiation related factor 1	0.972508473992228	0.0038760111672255
ENSOARG00000001574	100620047	BTG2	BTG anti-proliferation factor 2	1.52121295742566	0.000201970552613282
ENSOARG00000001673				-1.46676057546718	0.0199132640007896
ENSOARG00000001688	101108998	TMEM141	transmembrane protein 141	-1.26259146865581	0.0332178955885979
ENSOARG00000001700	101103341	PLCG1	phospholipase C gamma 1	-1.26407641938468	0.00155645617533611
ENSOARG00000001735	101121442	HSPA12B	heat shock protein family A (Hsp70) member 12B	-1.35991856791457	0.00260985133923346
ENSOARG00000001748		RASD1	ras related dexamethasone induced 1	4.53702421815854	0.000908524849718116
ENSOARG00000001822	101109054	SFXN2	sideroflexin 2	-1.6451820819966	0.00255513871492493
ENSOARG00000001833	101118394	PANX1	pannexin 1	2.10654723963546	1.32554567758024e-05
ENSOARG00000001866	101113423		5',3'-nucleotidase, mitochondrial	-0.926830312331061	0.0329274008261063
ENSOARG00000001908	101105108	CSPG4	chondroitin sulfate proteoglycan 4	-0.972722466705636	0.0467754798397068
ENSOARG00000002086	101116715	LOC101116715	PDZ and LIM domain protein 2-like	-1.23963259060147	0.0188958203026219
ENSOARG00000002142	101119425	WDR25	WD repeat domain 25	1.08394867110125	0.0473291749514219
ENSOARG00000002164	101120906	PNPT1	polyribonucleotide nucleotidyltransferase 1	2.00792994431234	0.000786795041950991
ENSOARG00000002173	101117765	PLAC8	placenta specific 8	3.29952957286919	0.00343220435306883
ENSOARG00000002234	443308	SLC2A3	solute carrier family 2 (facilitated glucose transporter), member 3	2.10716124869954	3.18226776689157e-05
ENSOARG00000002302	101111578	RAPGEF2	Rap guanine nucleotide exchange factor 2	1.7721559429205	0.00255513871492493
ENSOARG00000002311	101110712	SERPINB1	serpin family B member 1	1.26061240784823	0.00534311458049283
ENSOARG00000002322	101109048	TFEB	transcription factor EB	-2.12989657730285	0.000351754154719504
ENSOARG00000002366		RXRA	retinoid X receptor alpha	-1.84016324318241	6.69726919023188e-05
ENSOARG00000002386	100169934	CRY2	cryptochrome circadian regulator 2	-1.53806625888835	0.00067498002798754
ENSOARG00000002482	101103484	SASH1	SAM and SH3 domain containing 1	1.52970316117462	0.000283771720996233
ENSOARG00000002524	101108505	PPP1R15B	protein phosphatase 1 regulatory subunit 15B	1.4714315491749	5.0963737065323e-05
ENSOARG00000002546	101118515	LOC101118515	leukocyte-associated immunoglobulin-like receptor 1	-1.55747610691029	0.000718590379976405
ENSOARG00000002562	101103369	IL6R	interleukin 6 receptor	-1.48495471405698	0.00422569768029018
ENSOARG00000002569				3.06213493077953	3.88936618831858e-06
ENSOARG00000002578	101122114	TAB2	TGF-beta activated kinase 1 (MAP3K7) binding protein 2	1.33901726371476	0.000183811835831173
ENSOARG00000002593	101115373	SPTLC2	serine palmitoyltransferase long chain base subunit 2	0.903700947895897	0.0450349057901603
ENSOARG00000002605				-1.42219723894864	0.0192567772441884
ENSOARG00000002639	101108766	PIK3C2B	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 beta	-0.907726065910917	0.0467754798397068
ENSOARG00000002644	101105773		leukocyte receptor cluster member 9	-1.28633591751532	0.0149949275995301
ENSOARG00000002672	101109570	USP49	ubiquitin specific peptidase 49	1.17747233999513	0.0163682480425814
ENSOARG00000002688	101121569	ANK1	ankyrin 1	-1.0300231879272	0.0368912420166162
ENSOARG00000002708				1.31257522739458	0.00961741059835551
ENSOARG00000002720	101110137	VAV2	vav guanine nucleotide exchange factor 2	-1.04300925479756	0.0127283697895118
ENSOARG00000002776		ZNF619	zinc finger protein 619	-1.25328438309911	0.00827808369109091
ENSOARG00000002796				1.64039915222836	0.000540291115847387
ENSOARG00000002820	101113167	HCK	HCK proto-oncogene, Src family tyrosine kinase	-1.39236510473855	0.0011853927394327
ENSOARG00000002845	101111145	PSTPIP2	proline-serine-threonine phosphatase interacting protein 2	1.18750700751334	0.0282508846820601
ENSOARG00000002848	101111304	PLEKHH3	pleckstrin homology, MyTH4 and FERM domain containing H3	-1.89186916932289	0.000139527868619603
ENSOARG00000002866	101120631	RASSF4	Ras association domain family member 4	1.28014286097599	0.00870979433824271
ENSOARG00000002871	101120873	ATL3	atlastin GTPase 3	1.60226523303861	0.00237717456861356
ENSOARG00000002888	101104782	SPDL1	spindle apparatus coiled-coil protein 1	1.38794172795594	0.00268227604396789
ENSOARG00000002906	101118333	SSB	Sjogren syndrome antigen B	0.858802093965723	0.0241627305300107
ENSOARG00000002923	101110289	TIPARP	TCDD inducible poly(ADP-ribose) polymerase	1.13948625459809	0.00237812089444128
ENSOARG00000002946	101106823	HDHD3	haloacid dehalogenase like hydrolase domain containing 3	-1.46741173982628	0.0359318744815016
ENSOARG00000002952	101104366	ADAR	adenosine deaminase, RNA specific	1.60216964083445	0.00027072243374372
ENSOARG00000002962	100037692	XBP1	X-box binding protein 1	1.2141791337016	0.00686722009563895
ENSOARG00000003008	101110659	SESN2	sestrin 2	1.25799647890998	0.00711689926023324
ENSOARG00000003099	101122784	RASAL3	RAS protein activator like 3	-2.0715246078242	0.0069812225041638
ENSOARG00000003135	101115644	GFOD2	glucose-fructose oxidoreductase domain containing 2	-0.936980659333096	0.0276213811953875
ENSOARG00000003139	101112594	SIK3	SIK family kinase 3	0.848675400788973	0.0154500406890673
ENSOARG00000003154	101114376	ARHGAP21	Rho GTPase activating protein 21	-0.974060218867789	0.00450457614609945
ENSOARG00000003170	101103560	TMUB1	transmembrane and ubiquitin like domain containing 1	-1.14379854263918	0.00842383529441996
ENSOARG00000003192	101112105		solute carrier family 33 member 1	0.953921266814934	0.00239416230281771
ENSOARG00000003206	101108786	CHORDC1	cysteine and histidine rich domain containing 1	0.894635572192185	0.0106311641671281
ENSOARG00000003209	101113584	AGAP3	ArfGAP with GTPase domain, ankyrin repeat and PH domain 3	-1.23127540093882	0.00295033753668312
ENSOARG00000003354	101111832	FNIP2	folliculin interacting protein 2	-0.926568399319307	0.021956954003974
ENSOARG00000003394	101112709	AHDC1	AT-hook DNA binding motif containing 1	-1.44501460142855	0.000615413100849342
ENSOARG00000003401	101115679	KCNK1	potassium two pore domain channel subfamily K member 1	1.50680996676756	0.000181421684686034
ENSOARG00000003421	101120750	LAP3	leucine aminopeptidase 3	1.77929438496318	7.39148060623372e-05
ENSOARG00000003424	101108572	KIAA1211	KIAA1211 ortholog	-1.19446692806552	0.0104743408249949
ENSOARG00000003452	101105172	RAMP2	receptor activity modifying protein 2	-0.956940888864967	0.0439699300808712
ENSOARG00000003481	101116701	ARID4B	AT-rich interaction domain 4B	1.03749896584763	0.0109567900247484
ENSOARG00000003536	101112923	PDF	peptide deformylase, mitochondrial	-1.24317294124073	0.00763362921484231
ENSOARG00000003602				1.22159517501785	0.000366555662566247
ENSOARG00000003635	101107136	FBXW11	F-box and WD repeat domain containing 11	1.22954581458917	0.000968548285459041
ENSOARG00000003647	101105624	EFNA1	ephrin A1	-1.29193070847654	0.0324855476338297
ENSOARG00000003657		SURF2	surfeit 2	-1.09960227837263	0.0391791095258369
ENSOARG00000003720		ZNF239	zinc finger protein 239	-1.41210491319813	0.00509127649293019
ENSOARG00000003723	101123399	DHX38	DEAH-box helicase 38	1.13979350704309	0.0387317511194752
ENSOARG00000003740	101122570	SUCNR1	succinate receptor 1	2.33964228154614	1.03521554928101e-05
ENSOARG00000003943	101110097	BICRAL	BRD4 interacting chromatin remodeling complex associated protein like	-1.0463420084647	0.0334498297409293
ENSOARG00000003959	101120047	RASGEF1A	RasGEF domain family member 1A	-1.83536522698532	0.000350311628637798
ENSOARG00000003995		HNRNPF	heterogeneous nuclear ribonucleoprotein F	0.836079160809127	0.024612887435842
ENSOARG00000004015		CD248	CD248 molecule	-1.08769339441109	0.0219980884451546
ENSOARG00000004060	101122400	LOC101122400	probable 2-ketogluconate reductase	-1.7518226356872	0.00589697079792991
ENSOARG00000004089	101108688	CREBRF	CREB3 regulatory factor	1.08982867669578	0.0138652920128664
ENSOARG00000004162	101107713	FAM222B	family with sequence similarity 222 member B	1.00808455437834	0.0127120241816987
ENSOARG00000004216	101106438	TFB1M	transcription factor B1, mitochondrial	-1.02286865068773	0.0146439580029882
ENSOARG00000004233	101111580	PML	promyelocytic leukemia	1.30930405392045	0.00684741901576319
ENSOARG00000004328	101118274	ELOVL6	ELOVL fatty acid elongase 6	-1.2759566837803	0.0104743408249949
ENSOARG00000004338	101120983	RHOBTB1	Rho related BTB domain containing 1	-1.34891992709473	0.00383155789323502
ENSOARG00000004379		C1RL	complement C1r subcomponent like	1.28168581562692	0.0050797046459038
ENSOARG00000004381	101121233	TMEM26	transmembrane protein 26	-1.26224028378889	0.0148428247504902
ENSOARG00000004431	101108995	XIRP2	xin actin binding repeat containing 2	-2.09908928366627	0.00662618258410256
ENSOARG00000004443	101102410	XRN2	5'-3' exoribonuclease 2	1.63481557434092	0.000365285832387928
ENSOARG00000004470		B4GAT1	beta-1,4-glucuronyltransferase 1	-1.09145668289375	0.00272872797683591
ENSOARG00000004478	101107298	CPTP	ceramide-1-phosphate transfer protein	-0.898745520569922	0.0205245105956808
ENSOARG00000004481		ADO	2-aminoethanethiol dioxygenase	-1.19435967327801	0.00207837381566408
ENSOARG00000004488	101119330	KIAA0355	KIAA0355 ortholog	1.30448382288793	0.0013378373729152
ENSOARG00000004505	101104483	PRKAG2	protein kinase AMP-activated non-catalytic subunit gamma 2	-1.07040058261851	0.00112324487208723
ENSOARG00000004519	101116560	CARD9	caspase recruitment domain family member 9	-1.21819541700794	0.000890502281507376
ENSOARG00000004531		WTAP	WT1 associated protein	1.38270166743464	0.000142297109159737
ENSOARG00000004577	101121707	INPPL1	inositol polyphosphate phosphatase like 1	-0.818221596701229	0.0227484995365141
ENSOARG00000004612	101120534	MSTO1	misato 1, mitochondrial distribution and morphology regulator	-1.19701484066646	0.00101046132692911
ENSOARG00000004687	101107112	XYLT2	xylosyltransferase 2	-1.01924097288334	0.00167424929223658
ENSOARG00000004715				-1.32223744599453	0.00937077801314419
ENSOARG00000004764	101113261	IL34	interleukin 34	-1.27266226621182	0.0109932759685072
ENSOARG00000004776	101110885	PPP2R5D	protein phosphatase 2 regulatory subunit B'delta	-0.894685759381359	0.0111363449672041
ENSOARG00000004836	101114599	CTDSP2	CTD small phosphatase 2	0.951365884794841	0.0423506658473058
ENSOARG00000004838	101121972	NIPSNAP1	nipsnap homolog 1	-0.956594174704417	0.0419631762517803
ENSOARG00000004881	101121479	TM4SF1	transmembrane 4 L six family member 1	1.02526271640634	0.00763362921484231
ENSOARG00000004887	101112110	TTYH3	tweety family member 3	-1.01030514587517	0.00266117159397696
ENSOARG00000004931	101112608	RAB3B	RAB3B, member RAS oncogene family	0.889046432881042	0.0304933909773592
ENSOARG00000004957	101106003	PRKAR2B	protein kinase cAMP-dependent type II regulatory subunit beta	1.04557078915761	0.0247143989645624
ENSOARG00000004961	101122992	TRPT1	tRNA phosphotransferase 1	-0.881969391485558	0.0367831263966118
ENSOARG00000004992		LFNG	LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase	-1.85123828534919	8.49778054560801e-05
ENSOARG00000005044				-1.4683281378027	0.00366884793679638
ENSOARG00000005073	101107019	GRK6	G protein-coupled receptor kinase 6	-1.25079747603934	0.00415788526380523
ENSOARG00000005095	101115108	TSFM	Ts translation elongation factor, mitochondrial	1.2695309663589	0.000121425589798493
ENSOARG00000005120	101103035	SLC25A16	solute carrier family 25 member 16	1.23091666665672	0.00769857379075079
ENSOARG00000005128		CDK2AP1	cyclin dependent kinase 2 associated protein 1	-1.04483454318297	0.00657580201536203
ENSOARG00000005158	101123423	NUDT22	DnaJ heat shock protein family (Hsp40) member C4	-0.874598653082631	0.0280698096510549
ENSOARG00000005176	101104680	LRFN3	leucine rich repeat and fibronectin type III domain containing 3	-1.2070917866913	0.0175726143523132
ENSOARG00000005188	101116509	MAP1B	microtubule associated protein 1B	-1.46850338852595	0.0017611390958199
ENSOARG00000005189				1.56592408772089	0.0249503204902244
ENSOARG00000005210	101105433	THAP8	THAP domain containing 8	-1.46221058459052	0.0172612885119859
ENSOARG00000005243				1.39502313068141	0.0197729807111061
ENSOARG00000005246	101108668	SAMD14	sterile alpha motif domain containing 14	-1.1931527345141	0.00284673234414927
ENSOARG00000005254	101122946	PRR7	proline rich 7, synaptic	-2.3350299807027	0.000134875967986638
ENSOARG00000005263	101120777	PLEKHA7	pleckstrin homology domain containing A7	-1.60934973226081	0.000134260794842866
ENSOARG00000005279	101107407	UBQLN4	ubiquilin 4	-0.858387995757314	0.0423506658473058
ENSOARG00000005282	101115076	ORC1	origin recognition complex subunit 1	-1.29400177535972	0.0419558657073163
ENSOARG00000005289	101121285	COX7A1	cytochrome c oxidase subunit 7A1, mitochondrial	1.16917262474336	0.025934888686208
ENSOARG00000005293	101116087	PACSIN3	protein kinase C and casein kinase substrate in neurons 3	-1.58010130885158	0.0150197493531228
ENSOARG00000005316	101107066	KIF1BP	KIF1 binding protein	0.959399785618773	0.0202171235253657
ENSOARG00000005318	101103416	ZNF382	zinc finger protein 382	-1.28926872110388	0.00633265545197826
ENSOARG00000005322	101107327	SRGN	serglycin	0.860373219936262	0.0441844599817298
ENSOARG00000005451	101119691	PAGR1	PAXIP1 associated glutamate rich protein 1	-1.2313022421493	0.00656215082946959
ENSOARG00000005650	101104295	ARHGEF10	Rho guanine nucleotide exchange factor 10	-1.19555915010867	0.000599413675354942
ENSOARG00000005658	101121771	PPARGC1B	PPARG coactivator 1 beta	-1.45720173309233	0.0189258799316275
ENSOARG00000005706	101111260	USP27X	ubiquitin specific peptidase 27 X-linked	-1.11549577534698	0.0166164027641612
ENSOARG00000005735	105609414	UMAD1	UBAP1-MVB12-associated (UMA) domain containing 1	1.6494537726567	0.00402317271188049
ENSOARG00000005741	101118802	FAM117A	family with sequence similarity 117 member A	-1.72195913398025	0.00198245189711931
ENSOARG00000005792	554263	TLR4	toll like receptor 4	1.30363970591661	0.000658019779293516
ENSOARG00000005846	101114540	TMC8	transmembrane channel like 8	-1.22351311489777	0.00382099273704599
ENSOARG00000005944	101122596	ADGRE5	adhesion G protein-coupled receptor E5	1.26282484687471	9.8294033938189e-05
ENSOARG00000005959	101102699	TNFSF8	TNF superfamily member 8	1.95183973345963	0.000113662891913685
ENSOARG00000005994	101105204	TRPC1	transient receptor potential cation channel subfamily C member 1	1.16164132697582	0.00930410183997681
ENSOARG00000005996	101118341	LDLRAP1	low density lipoprotein receptor adaptor protein 1	-1.19932618649352	0.0161002368030926
ENSOARG00000006009		WHRN	whirlin	1.05982874755972	0.00617979872198151
ENSOARG00000006055	101108178	SORBS1	sorbin and SH3 domain containing 1	-1.44130958739878	0.0154500406890673
ENSOARG00000006104	101117253	CGAS	cyclic GMP-AMP synthase	2.67671025713599	0.000318322087256131
ENSOARG00000006108	101110645	PALD1	phosphatase domain containing paladin 1	-1.67749907833739	0.00205038069200532
ENSOARG00000006124	101118405	RNF138	ring finger protein 138	1.38854692214556	0.00283704080970484
ENSOARG00000006125				1.56011151321382	0.022897420451442
ENSOARG00000006128	101114324	RNF125	ring finger protein 125	1.1854296180724	0.0462589656159921
ENSOARG00000006130				1.56974421746557	0.00807027205721358
ENSOARG00000006166	101115147	MLKL	mixed lineage kinase domain like pseudokinase	2.09939318707607	0.000902774980738571
ENSOARG00000006187	101118118	MAPKAPK2	mitogen-activated protein kinase-activated protein kinase 2	0.979201208618582	0.00276441372900524
ENSOARG00000006210	101104015	OGG1	8-oxoguanine DNA glycosylase	-1.05652248068965	0.0439699300808712
ENSOARG00000006232	101121481	ZNF48	zinc finger protein 48	-1.15518491373013	0.01575248499877
ENSOARG00000006239	101115098	TMEM50A	transmembrane protein 50A	1.01323728209606	0.018848203611803
ENSOARG00000006249	101110875	TBX3	T-box 3	1.32485610675796	0.0195002066062589
ENSOARG00000006271	101106393	ALAD	aminolevulinate dehydratase	-1.11524042455117	0.0112274305536347
ENSOARG00000006283	101118730	PITPNM2	phosphatidylinositol transfer protein membrane associated 2	-1.32325071300767	0.0103957480965908
ENSOARG00000006315	101113739	SETX	senataxin	1.70752605672879	1.66146643208905e-05
ENSOARG00000006322	101110180	LIF	LIF, interleukin 6 family cytokine	2.05127911646972	0.00285791939351532
ENSOARG00000006368	101109237	HDGF	heparin binding growth factor	-0.796390556357528	0.0480000035047634
ENSOARG00000006394	101115643	LDHD	lactate dehydrogenase D	-1.56461301279064	0.0192567772441884
ENSOARG00000006409	101102645	CRMP1	collapsin response mediator protein 1	-1.58727551384497	3.2609759257159e-05
ENSOARG00000006432		DUSP7	dual specificity phosphatase 7	-1.65850557595581	0.000188539868659253
ENSOARG00000006503	101119900	NT5C3A	5'-nucleotidase, cytosolic IIIA	1.65425362427716	0.0295012103016153
ENSOARG00000006506	101107328	SLC29A3	solute carrier family 29 member 3	-1.28247374294986	0.0101041154675779
ENSOARG00000006543	101111252	PTBP3	polypyrimidine tract binding protein 3	0.955339658196354	0.0165132598445259
ENSOARG00000006581	100302551	SLC39A13	solute carrier family 39 member 13	-0.926013368332113	0.00879181299388169
ENSOARG00000006591	101119898	ARHGAP9	Rho GTPase activating protein 9	-1.33963379713751	0.0154276607623649
ENSOARG00000006627	101113690	FCMR	Fc fragment of IgM receptor	2.3717908787274	0.000599413675354942
ENSOARG00000006701	101110687	PLD2	phospholipase D2	-0.989729140229852	0.0195368870728503
ENSOARG00000006708	101122752		zinc finger protein 764	-1.53474818344978	0.0134541740440719
ENSOARG00000006724	101118048	PSMA1	proteasome subunit alpha 1	0.899815505606947	0.0351788035620776
ENSOARG00000006729	101123429	TACC2	transforming acidic coiled-coil containing protein 2	-1.28398062355456	0.000345251698298662
ENSOARG00000006742	101120708	LRRC42	leucine rich repeat containing 42	-0.9620883249889	0.0196131520758071
ENSOARG00000006754	101118871	PALM3	paralemmin 3	-1.66773917140746	0.00054032906312067
ENSOARG00000006791	101108632	TANK	TRAF family member associated NFKB activator	0.992532655476075	0.00280884067676235
ENSOARG00000006807	101116740	RAB20	RAB20, member RAS oncogene family	1.38833688506383	0.0238853171628817
ENSOARG00000006870	101109149	RBMS1	RNA binding motif single stranded interacting protein 1	1.1877079064613	0.00135826962308552
ENSOARG00000006946				1.39334475746393	8.46497854813088e-05
ENSOARG00000006952	101107365	KBTBD7	kelch repeat and BTB domain containing 7	-1.82723315306614	0.00277529963892386
ENSOARG00000007001	101118549	TERF2IP	TERF2 interacting protein	1.4777791494548	0.00781810656013294
ENSOARG00000007065	101120002	MAP1LC3C	microtubule associated protein 1 light chain 3 gamma	1.34991153490286	0.0362908225174264
ENSOARG00000007124	101115680	ELP1	elongator complex protein 1	-0.934951378526354	0.0250656749598934
ENSOARG00000007137	101118556	RRAS2	RAS related 2	1.35654118641691	0.00121848467155521
ENSOARG00000007148		CDKN2AIP	CDKN2A interacting protein	2.32030857201395	0.000117296843293776
ENSOARG00000007154	101114584	DDIT4	DNA damage inducible transcript 4	1.65523081193107	0.0084225104280531
ENSOARG00000007191				-1.26379982519841	0.000971464622904669
ENSOARG00000007244	101118240	ACOT11	acyl-CoA thioesterase 11	-1.49782212990752	0.0076584189172277
ENSOARG00000007247	101122854	TMEM106B	transmembrane protein 106B	-1.09471039146274	0.00796875532910392
ENSOARG00000007251	101111125	GPBP1	GC-rich promoter binding protein 1	1.44321226588059	0.000293563683602344
ENSOARG00000007258	101116847	UBE2O	ubiquitin conjugating enzyme E2 O	-0.977120688892112	0.0169224631941548
ENSOARG00000007283	101118501	FSD1L	fibronectin type III and SPRY domain containing 1 like	-1.19707075144697	0.0311984562626586
ENSOARG00000007303				1.66713002158481	0.000876030083890303
ENSOARG00000007318	100415775	ID3	inhibitor of DNA binding 3, HLH protein	1.17914214382826	0.000797742700877293
ENSOARG00000007364	101111466	ZMYND15	zinc finger MYND-type containing 15	0.974144498190645	0.0152368805498344
ENSOARG00000007365	101104357	HRAS	HRas proto-oncogene, GTPase	-1.04559380254465	0.0112203605575724
ENSOARG00000007382	101112348	SDS	serine dehydratase	2.8870978799718	9.24651920970387e-06
ENSOARG00000007393	101102810	NDST1	N-deacetylase and N-sulfotransferase 1	-1.0112097464063	0.00125888441014916
ENSOARG00000007411	101120897	ASAP3	ArfGAP with SH3 domain, ankyrin repeat and PH domain 3	1.32834314410211	0.021961487572147
ENSOARG00000007419	101122941	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	1.04752239457138	0.0337838966537884
ENSOARG00000007422	101111859	CCNQ	cyclin Q	-1.04431773736427	0.0265729046797003
ENSOARG00000007426	101102082	B9D2	B9 domain containing 2	-1.32500601785413	0.0044095943513993
ENSOARG00000007427	101123642		epithelial stromal interaction 1	1.97909700043841	0.00169468545872854
ENSOARG00000007429	100192424	PSMA6	proteasome subunit alpha 6	1.22055213909493	0.000808646245563246
ENSOARG00000007443	443082	IRF2	interferon regulatory factor 2	1.04304528942733	0.0252894017580206
ENSOARG00000007472	443031	CASP3	caspase 3	1.10199762854348	0.0108409144423073
ENSOARG00000007476	101104191	SIGIRR	single Ig and TIR domain containing	-1.45465127273501	0.00800324432350114
ENSOARG00000007491	101109443	HSD11B1L	hydroxysteroid 11-beta dehydrogenase 1 like	-1.14854380244132	0.0226582927341166
ENSOARG00000007493	101123162	DHCR24	24-dehydrocholesterol reductase	-0.887499696576571	0.0312316422921191
ENSOARG00000007527	101117517	RAD51D	RAD51 paralog D	0.894313750623729	0.0428214396039863
ENSOARG00000007547				-1.48125254435663	0.0111363449672041
ENSOARG00000007557	101114372	UBTF	upstream binding transcription factor	-1.00751906617633	0.00911707252736427
ENSOARG00000007560	101121370	ARHGAP42	Rho GTPase activating protein 42	1.08326856303758	0.037492141230319
ENSOARG00000007573	101109491	TAP2	transporter 2, ATP binding cassette subfamily B member	1.95231242155916	0.00070214748402725
ENSOARG00000007603	101112936	IFI16	interferon gamma inducible protein 16	1.56827452582049	0.00058787954914128
ENSOARG00000007605	101120014	FNBP4	formin binding protein 4	1.71906021266112	5.61926128073177e-05
