ENSEMBL	ENTREZID	SYMBOL	DESCRIPTION	LPS100_1_hit.vs.Ctrl_1_hit.astro.logFC	LPS100.vs.Ctrl.micro.logFC	LPS100_1_hit.vs.Ctrl_1_hit.astro.p.value	LPS100.vs.Ctrl.micro.p.value
ENSOARG00000000918	101113838	TFPI2	tissue factor pathway inhibitor 2	1.16750157816388	4.89196724473641	0.030745023860694	0.000655517224628646
ENSOARG00000000934	101102960	SYTL4	synaptotagmin like 4	0.968506073837891	1.37721426505495	0.0419631762517803	0.0374399885192706
ENSOARG00000000942	101120424	RNF213	ring finger protein 213	2.48298758941484	2.44565977280129	0.000106032427455701	0.00877676044620211
ENSOARG00000000945		NSMF	NMDA receptor synaptonuclear signaling and neuronal migration factor	-0.963145882674133	-1.3877039789812	0.0173750509551076	0.00657825412421358
ENSOARG00000000971	101106986	ANKRD12	ankyrin repeat domain 12	1.13738622961969	1.7703952861889	0.0318193901843966	0.0268649981056682
ENSOARG00000001000				-0.985355558601142	-1.16024822725508	0.0252894017580206	0.00960889518541149
ENSOARG00000001045	101102829	DNAJC1	DnaJ heat shock protein family (Hsp40) member C1	1.19033641239601	1.82726204412748	0.00716715993068173	0.00422148412198834
ENSOARG00000001078	101103463	LOC101103463	TNF receptor-associated factor 2-like	1.1592208900367	2.3719458990893	0.0258389431167654	0.0105198833764531
ENSOARG00000001138	101103321		HECT and RLD domain containing E3 ubiquitin protein ligase family member 6	4.91238326933194	5.13475991439894	4.65986882031524e-05	0.00103567240884271
ENSOARG00000001149				2.79774477212961	4.08921836836895	0.0241386627874083	0.00422148412198834
ENSOARG00000001151	101115125	TMEM150C	transmembrane protein 150C	2.55431140805438	3.78717819382043	0.000119318655082758	0.00170214263427905
ENSOARG00000001202	101109760	PLK3	polo like kinase 3	1.17136266859168	1.33977761298568	0.0125049433701617	0.0118022605571336
ENSOARG00000001274	101120511	CDC25B	cell division cycle 25B	-1.98086462867233	-2.84267465528063	1.31623372141414e-05	0.00170214263427905
ENSOARG00000001389				4.03603746244493	3.02688899926729	8.33684236337028e-06	0.000954750245781552
ENSOARG00000001457	101118600	REL	REL proto-oncogene, NF-kB subunit	3.86654086059037	3.4162816945856	1.60033463815444e-05	0.000207124780440011
ENSOARG00000001462	101119755		secretion regulating guanine nucleotide exchange factor	-1.19532929236942	-1.24359449615063	0.0190556207017503	0.0380365124520035
ENSOARG00000001489	101104858	TPST2	tyrosylprotein sulfotransferase 2	-1.24351897006735	-1.38580819471354	0.0137917950524813	0.0019384325274026
ENSOARG00000001499	101114037	COQ8A	coenzyme Q8A	-1.49358386020422	-2.27779077225117	0.00216901975832185	0.00519355342860391
ENSOARG00000001509	101107503	ARHGAP4	Rho GTPase activating protein 4	-2.28844563402173	-1.84788457581755	0.00126464955792228	0.00143300446833886
ENSOARG00000001516	101119448	SERINC2	serine incorporator 2	-0.942823282357349	-1.72365929420564	0.0301240208788148	0.000902431473418138
ENSOARG00000001521	101105235		TNF receptor associated factor 2	1.46960586205614	2.056601377639	0.000194539383044704	0.00539724933896254
ENSOARG00000001557	101121821	MEFV	MEFV, pyrin innate immunity regulator	5.46391659846014	6.34658085874247	6.52981754624738e-05	0.000207124780440011
ENSOARG00000001560	101116628	ARHGAP22	Rho GTPase activating protein 22	-1.96323517072858	-1.78795994358726	0.0032714874020553	0.00662336081351025
ENSOARG00000001570	101116682	RCN2	reticulocalbin 2	1.33349069490236	2.9005029305933	0.00425043582788759	0.00434195486563898
ENSOARG00000001588	101108292	LOC101108292	guanylate-binding protein 2-like	4.46976387791208	5.52508757487943	0.000521824483185139	0.000832111998779006
ENSOARG00000001611	101115186	SLC25A12	solute carrier family 25 member 12	-1.42680051582382	-1.18403339418563	0.000187302345862365	0.0426111876469302
ENSOARG00000001650	101116939	PSTPIP1	proline-serine-threonine phosphatase interacting protein 1	-2.00460312759882	-1.71824421174076	0.00525422381429249	0.0221996550990641
ENSOARG00000001680	100302355	SFRP2	secreted frizzled related protein 2	2.54560031931607	1.58006455689302	0.0168707151248543	0.0230467619058567
ENSOARG00000001718	101105710	MPPE1	metallophosphoesterase 1	-1.21548325988281	-1.37154436773538	0.00617979872198151	0.00301554501708865
ENSOARG00000001722	101108912	GNPDA1	glucosamine-6-phosphate deaminase 1	-0.946212013277101	-1.44335519094766	0.00753566114839968	0.0226188985365298
ENSOARG00000001731	101108619	CIDEA	cell death-inducing DFFA-like effector a	-1.2090751910803	-1.36529344483369	0.0269993653744315	0.0190035325694348
ENSOARG00000001747	101121184	SGSH	N-sulfoglucosamine sulfohydrolase	-1.0325382329521	-2.25033797390267	0.00963891938797571	0.000718881223380999
ENSOARG00000001749	101119399	PLAGL1	PLAG1 like zinc finger 1	1.15425849294466	1.7819709832998	0.00143154942832877	0.031494869073731
ENSOARG00000001754	101108043	MDFIC	MyoD family inhibitor domain containing	1.22648929267874	2.54695548858363	0.00939735177021019	0.000402183101653792
ENSOARG00000001786	101119909	STX11	syntaxin 11	2.00770279929592	2.68597326656698	0.000722213543321335	0.00343006158341086
ENSOARG00000001812	101110146	BATF	basic leucine zipper ATF-like transcription factor	2.01908209540081	3.48089090315129	0.0056843096846301	0.000263004263101883
ENSOARG00000001815				3.94018586723828	4.02555181770387	0.000188539868659253	0.000809994036056515
ENSOARG00000001863	101116049	SEMA6A	semaphorin 6A	2.66652679695167	3.42154766636527	4.70396580128266e-07	0.00482465594981305
ENSOARG00000001882	101121306	CLUAP1	clusterin associated protein 1	-0.903336945574417	-1.82297367709637	0.0498500457286044	0.00837759709637896
ENSOARG00000001922	101105381	CYTH3	cytohesin 3	-1.8270696088567	-2.29955982333202	0.000409955732571575	0.0133787190131357
ENSOARG00000001930		PTPN2	protein tyrosine phosphatase, non-receptor type 2	1.15633890825055	0.943929812438644	0.000338641353530757	0.048318130829069
ENSOARG00000001970	101120415	FBXO30	F-box protein 30	1.01824499974186	1.58321764852847	0.0107726381004728	0.0489822918754983
ENSOARG00000002000	101111794	BMT2	base methyltransferase of 25S rRNA 2 homolog	2.07106771163085	2.34715916948387	0.00105026031175495	0.0278395157962776
ENSOARG00000002035	101123073	WARS	tryptophanyl-tRNA synthetase	3.33155480223769	2.54586012738472	0.000670456255568605	0.0142572008384393
ENSOARG00000002198	443064	IL12A	interleukin 12A	5.9243884436717	8.38808726851433	0.000128239241854091	0.000152168645998245
ENSOARG00000002204	101106450	LPIN3	lipin 3	-1.19301516757795	-1.4792627137806	0.00221136064162404	0.0298978243308178
ENSOARG00000002211	101123244	SERPINB9	serpin B9	1.21067738623131	4.11919166542353	0.019858731108715	0.00226745871113564
ENSOARG00000002241	101112518	CSRNP1	cysteine and serine rich nuclear protein 1	2.31041279838366	2.57867100091027	5.80556026249623e-06	0.00397033508557617
ENSOARG00000002251	100196903	IDO1	indoleamine 2,3-dioxygenase 1	3.42112705928134	3.35421215959676	0.000178627700988439	0.0146000679967948
ENSOARG00000002278	101119098	MAGEF1	MAGE family member F1	-1.55927251973708	-1.19213852260519	0.000911876435561387	0.0415384992360263
ENSOARG00000002352	101106797	SUDS3	SDS3 homolog, SIN3A corepressor complex component	1.10529855731275	1.15687979328032	0.0159095218892597	0.0254437003589709
ENSOARG00000002372				4.29921767881373	5.1763636621079	0.000571015075233337	0.000224067075142933
ENSOARG00000002432		SIGLEC15	sialic acid binding Ig like lectin 15	-1.26556667850375	-0.872320592204896	0.0153338253389336	0.0498932728399172
ENSOARG00000002477	101106367	NEIL1	nei like DNA glycosylase 1	-1.33199158362942	-1.5893353470973	0.0126389095605318	0.0237670308784932
ENSOARG00000002479	101109983	PIK3R5	phosphoinositide-3-kinase regulatory subunit 5	2.24738734710075	4.34708637460808	0.00355375040663195	0.000299292752945041
ENSOARG00000002545	101122082	EPB41	erythrocyte membrane protein band 4.1	-1.1408042531962	-1.422717641735	0.0131330478583566	0.0468161042490447
ENSOARG00000002585	101104355	MOB3C	MOB kinase activator 3C	1.54450523575574	1.819978167084	0.0113751304180522	0.0326737881005719
ENSOARG00000002640	101114035	NLRP1	NLR family pyrin domain containing 1	-2.87766560327381	-2.34596673397621	0.000459075319822699	0.00152663468261812
ENSOARG00000002658	101106884	C15orf39	chromosome 18 open reading frame, human C15orf39	-2.10658918878104	-2.37203771168712	0.00180865213320765	0.0155707218084496
ENSOARG00000002682		NTN1	netrin 1	1.38933500302049	4.182445450209	0.00284673234414927	0.00201425071324495
ENSOARG00000002726	101107138	PPCDC	phosphopantothenoylcysteine decarboxylase	-2.23662778438539	-1.4608713004006	0.000949443154406966	0.0187865177435698
ENSOARG00000002737	101105481		guanylate-binding protein 1-like	3.57929119022619	4.77908459267135	0.000351754154719504	0.000191555047758492
ENSOARG00000002754	100034672	PTX3	pentraxin 3	5.44997073216878	6.53948695782417	8.33684236337028e-06	0.00026847379460082
ENSOARG00000002759				1.0669407249969	1.47862241968435	0.0143050071689017	0.0203852346302724
ENSOARG00000002783	101112914	MDM4	MDM4, p53 regulator	1.88627549754082	2.28133637235833	0.000698341573831224	0.000578585458473571
ENSOARG00000002799	101115273	IRAK3	interleukin 1 receptor associated kinase 3	2.01456574066424	1.93215053752895	4.61856812362913e-05	0.000692324123388121
ENSOARG00000002831	101104144	IMPDH1	inosine monophosphate dehydrogenase 1	-1.07769969680078	-1.71703539755427	0.00237987725766954	0.00279065404652421
ENSOARG00000002881				3.16101157953355	3.41384970252203	0.000188539868659253	0.00189257975866907
ENSOARG00000002944	101120495	IBSP	integrin binding sialoprotein	2.74622972567807	5.52418801941828	0.000183811835831173	0.000367969486139158
ENSOARG00000002949	101110881	SMIM4	small integral membrane protein 4	-1.25970549500432	-2.58136737442908	0.021327926285426	0.00816554499303808
ENSOARG00000002951	101115072	CFB	complement factor B	1.39296545888571	0.90958956923225	0.0022303322127568	0.0397721448217845
ENSOARG00000002999	101121744	ZNF32	zinc finger protein 32	-1.13748214390421	-1.27557573062845	0.0150608271969793	0.0315812254662069
ENSOARG00000003068	101117013	LOC101117013	caspase-1-like	1.55966725169787	2.03190861983248	0.000691461284392151	0.00434195486563898
ENSOARG00000003114	101118882	DENND3	DENN domain containing 3	1.84742858072764	3.42267450924173	0.0215665546864873	0.000519243282682712
ENSOARG00000003180	101122495	IL27	interleukin 27	5.29001107759214	7.21115090482965	2.40423936559528e-07	0.000130872089438869
ENSOARG00000003181	101102737	RMND1	required for meiotic nuclear division 1 homolog	-1.07971046701887	-1.47004736401503	0.0162843310985415	0.0248692183201853
ENSOARG00000003187	101102529		coronin-7	-1.18811249138541	-1.36202141809779	0.000284981272065034	0.00197609632406038
ENSOARG00000003207		XKR8	XK related 8	1.72190475427995	2.878700915658	0.0001275229169566	0.00047545897817476
ENSOARG00000003219	101103746	PLAGL2	PLAG1 like zinc finger 2	1.04407847363758	2.66835426965104	0.0173514330374872	0.00251985392558943
ENSOARG00000003228	101111705	SLC2A6	solute carrier family 2 member 6	1.46228526112768	3.15082695467475	0.000727786510094504	0.00138121688742661
ENSOARG00000003243	101116929	PSMB10	proteasome subunit beta 10	1.26631068050836	1.99780532471249	0.00382755794427015	0.00737212982320274
ENSOARG00000003263	101122713	FAM129A	family with sequence similarity 129 member A	2.37672988415004	3.67881113191077	0.000105385735640085	0.000410949104167659
ENSOARG00000003290	101118472	RNF121	ring finger protein 121	1.26358053371308	1.22876983836467	0.00406298335491053	0.0154548265266012
ENSOARG00000003314	101122327	POLB	DNA polymerase beta	2.3208785166172	2.89701188672105	1.38300484648244e-05	0.00143300446833886
ENSOARG00000003341	101106828	IFI6	interferon alpha inducible protein 6	2.22432623014357	3.66080951043779	0.00157444691555407	0.00417899103870773
ENSOARG00000003352	100217409	NFIL3	nuclear factor, interleukin 3 regulated	2.04372789381629	2.93486273351841	5.54091937372705e-06	0.00260769672432557
ENSOARG00000003353	101113409	PPP2R2B	protein phosphatase 2 regulatory subunit Bbeta	-1.72481413871631	-1.57592680214864	0.0311192560280568	0.0312875136388233
ENSOARG00000003400	101123574	RALGAPA2	Ral GTPase activating protein catalytic alpha subunit 2	0.94945579806193	1.39949760097339	0.0336617672923589	0.0338599457442753
ENSOARG00000003434	101116202	TARBP1	TAR (HIV-1) RNA binding protein 1	-0.996500438313765	-0.910652148752033	0.0154500406890673	0.0431233081710675
ENSOARG00000003484		IL18BP	interleukin 18 binding protein	2.016422186629	2.13594049894284	0.0011853927394327	0.00712879107646009
ENSOARG00000003559	101116746	ABCC3	ATP binding cassette subfamily C member 3	-1.42500007429606	-1.73622775553207	0.000659223494326145	0.00445805357796734
ENSOARG00000003617	101117988	ERO1B	endoplasmic reticulum oxidoreductase 1 beta	1.13156029013226	1.5662030118709	0.0154276607623649	0.00383897422620489
ENSOARG00000003622	101115598	EDARADD	EDAR associated death domain	3.36322226251465	6.3579512530684	1.21288271159148e-05	3.05605244129813e-05
ENSOARG00000003636	101107165	FUNDC1	FUN14 domain containing 1	1.37960346009519	1.57034066157708	0.0148429713749485	0.0124964219196102
ENSOARG00000003667	101119338	ZBTB47	zinc finger and BTB domain containing 47	-1.24672643735151	-1.76733825006085	0.00197405359791621	0.0114757606133701
ENSOARG00000003763	101119144	AGO2	argonaute 2, RISC catalytic component	1.6511800265731	1.87675041342301	0.000118938272273934	0.00524818252047976
ENSOARG00000003788	101106133		mucin 1, cell surface associated	1.96032188196526	5.01394835681116	0.00121433340325164	0.000832111998779006
ENSOARG00000003804	101120021	SEMA7A	semaphorin 7A (John Milton Hagen blood group)	1.12518034385071	1.85196668469053	0.00222162939892083	0.0169964151909877
ENSOARG00000003819	101111220	ZNF135	zinc finger protein 135	2.39077086296314	2.36847435133451	3.12612829789377e-05	0.000640832963649941
ENSOARG00000003861	101105085	SPATA20	spermatogenesis associated 20	-0.834830796178578	-1.31541473278997	0.0299148025509339	0.0114365167537017
ENSOARG00000003882	101115250	YPEL3	yippee like 3	-1.68804065300077	-1.95897356850452	0.00296955281820005	0.000988420805958692
ENSOARG00000003884				0.972873678288342	1.80900638814282	0.0397121229484532	0.00587892519239164
ENSOARG00000003933		CSGALNACT1	chondroitin sulfate N-acetylgalactosaminyltransferase 1	-1.80210619766941	-1.79496897530301	0.0061022424121397	0.0205081844750764
ENSOARG00000003976	101102533	SH2D4A	SH2 domain containing 4A	1.91421082230052	3.45315325047722	0.00206602132253737	0.000410768316769063
ENSOARG00000004007	101111679	LIPG	lipase G, endothelial type	1.71608312076366	4.16768128743773	0.0142868635122272	0.00126631160853533
ENSOARG00000004043	101114759	GPN2	GPN-loop GTPase 2	1.21222600419744	2.42849858009269	0.000127745625033173	0.000874297145623703
ENSOARG00000004052	101106614	PLEKHF1	pleckstrin homology and FYVE domain containing 1	-2.58692475617524	-2.2785205453523	0.000199890095926278	0.00301546086016429
ENSOARG00000004070	101112099	CALHM2	calcium homeostasis modulator family member 2	-1.81031616252192	-1.8627883260843	0.000106032427455701	0.032322121057613
ENSOARG00000004074	101113711	RIN1	Ras and Rab interactor 1	-1.83880100237645	-1.7859989584641	0.000178089225795813	0.0415916551414323
ENSOARG00000004077	101107646	BEND5	BEN domain containing 5	1.87666531334376	1.14416460743596	0.00415788526380523	0.0483965934256214
ENSOARG00000004084	101104058	NUB1	negative regulator of ubiquitin like proteins 1	1.90125746821685	2.58446615060813	0.000576252292771115	0.00116652078763921
ENSOARG00000004106	101105165	CNKSR3	CNKSR family member 3	1.71710062257486	3.85259511203841	0.000107674709400273	0.00143300446833886
ENSOARG00000004207	101104826	MYO1F	myosin IF	-1.91750113636898	-1.62806644996174	0.00587654690291863	0.0189351049648195
ENSOARG00000004209		P2RY13	purinergic receptor P2Y13	1.35089364014116	3.93255920505984	0.0245884849714854	0.000929293023588925
ENSOARG00000004241	780493	SMO	smoothened, frizzled class receptor	-1.02411578803349	-1.40710490432854	0.0223836714352528	0.0124573681454619
ENSOARG00000004253	101114285	LOC101114285	C-C motif chemokine 4	5.11323836173391	6.72101419193118	2.75627388558393e-05	0.000152168645998245
ENSOARG00000004261	101105341	RSAD1	radical S-adenosyl methionine domain containing 1	-1.44106803834301	-1.32406374916121	0.00568517173248421	0.0360522235616429
ENSOARG00000004300				-2.8809174227453	-1.80155018433515	5.81590858637292e-05	0.00507332405900501
ENSOARG00000004314	101121790	G0S2	G0/G1 switch 2	4.83635760007352	7.04131381871797	0.000640404935035381	0.000400643071883284
ENSOARG00000004367	101114535	LOC101114535	C-C motif chemokine 3	4.44680416819487	4.97725494351626	2.18266506615076e-06	0.000349789236456609
ENSOARG00000004374	101109407		myelin basic protein	-1.00421060431595	-1.97676289451749	0.0201065166127819	0.00397033508557617
ENSOARG00000004403	101121742	ARID5B	AT-rich interaction domain 5B	1.24630848303114	2.29663559061789	0.0177275067319792	0.00679674148441025
ENSOARG00000004414				-4.48651758737209	-4.9650359364651	1.51022378018168e-06	0.000400179165712331
ENSOARG00000004421	101109224	CDKN2C	cyclin dependent kinase inhibitor 2C	-1.30923650397578	-2.01281674851551	0.0269993653744315	0.00210212806202807
ENSOARG00000004438	101110420		ezrin	1.0986454597639	1.57916100980837	0.0180215066650621	0.0225088449497016
ENSOARG00000004500	780506	NAMPT	nicotinamide phosphoribosyltransferase	2.74387859113866	1.68290688989505	0.000107674709400273	0.0463876802856736
ENSOARG00000004523	780457		superoxide dismutase 2	3.05661178383036	4.00018532346675	4.70396580128266e-07	0.000623552188592267
ENSOARG00000004562	101110470	ZADH2	zinc binding alcohol dehydrogenase domain containing 2	-0.945309560960373	-1.14935311202501	0.0202931998018854	0.0271257473049094
ENSOARG00000004567	101105897	GTF2A1L	general transcription factor IIA subunit 1 like	1.2985590421214	2.99101163249509	0.0205245105956808	0.000197117264265264
ENSOARG00000004617	101102014	LOC101102014	hydroxycarboxylic acid receptor 2	2.18165441597592	4.04618846799149	9.55059991557813e-06	0.00059255274141286
ENSOARG00000004639	101122109	KLHL8	kelch like family member 8	-1.7077706888911	-1.14457277256712	0.00711689926023324	0.0247157018986307
ENSOARG00000004723		CENPB	centromere protein B	-0.814644269639005	-1.0850828956615	0.0490518200988013	0.012025688390641
ENSOARG00000004790	443113	MMP13	matrix metallopeptidase 13	3.21350489007195	7.00603743096587	0.0175393234593479	0.00019385660835276
ENSOARG00000004791	101102607	NETO1	neuropilin and tolloid like 1	2.21065412522881	1.42129736140547	0.00079548880327996	0.0159274931411218
ENSOARG00000004800	101116563	EEPD1	endonuclease/exonuclease/phosphatase family domain containing 1	-2.01334860599848	-1.29715964155293	0.00846640566956475	0.0339314104196269
ENSOARG00000004812	101115330	FERMT3	fermitin family member 3	-1.21364537388583	-1.56409864971998	0.0155388619869497	0.00143300446833886
ENSOARG00000004824	443301	YWHAH	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta	-1.01373915298479	-1.26433890994983	0.00189675966284117	0.00510077958546357
ENSOARG00000004844	101105828	MSC	musculin	1.91858728841234	4.45103781495925	0.000279961420660214	0.00184171000378699
ENSOARG00000004930	101119157	MMP12	matrix metallopeptidase 12	2.91265449522203	5.44991978008767	0.00124444824036809	0.000294552068157482
ENSOARG00000004964	101115553	CCL5	C-C motif chemokine ligand 5	6.11274315738823	7.77791673130006	4.70396580128266e-07	0.000152168645998245
ENSOARG00000004971	101122222	IRAK2	interleukin 1 receptor associated kinase 2	1.98832887634232	2.73084744868384	0.00262570730296569	0.00542070053159024
ENSOARG00000004999	101112118	CEP85	centrosomal protein 85	-1.80284225117791	-2.20649409793657	0.000264303589545489	0.0203789872288155
ENSOARG00000005014	101118949	ABLIM3	actin binding LIM protein family member 3	-1.22868979597388	-1.2852585423802	0.0134890469246417	0.021225753264097
ENSOARG00000005032	101108643	PTPN6	protein tyrosine phosphatase, non-receptor type 6	-2.4802991588388	-1.11593805962	2.37438748331185e-05	0.0288454221162126
ENSOARG00000005053	101114400	ZFYVE9	zinc finger FYVE-type containing 9	-1.17681366934121	-1.0265512695059	0.00321031382071109	0.024452181245562
ENSOARG00000005065	101107717	ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	-1.71797408014463	-2.08416930369273	0.00012732310496494	0.00538201445796191
ENSOARG00000005084	101118895	MMP3	matrix metallopeptidase 3	2.35365735609863	3.49035442328767	0.000885170062203914	0.021369366084584
ENSOARG00000005136	101107944	MSH2	mutS homolog 2	-1.59182889266446	-1.23490883545064	0.000176200272378214	0.0153422487260754
ENSOARG00000005154	101104928	NFKBID	NFKB inhibitor delta	1.69630436366537	3.25916644475915	0.014951972696745	0.000762418311967971
ENSOARG00000005159	101104705	LOC101104705	plasminogen activator inhibitor 2-like	3.55389255085052	3.92539771983271	3.99014877757049e-05	0.00145820609743777
ENSOARG00000005206	101106703	OPTN	optineurin	1.02983888299882	1.33917187304343	0.0217652670446526	0.00780366952714783
ENSOARG00000005209		SDC4	syndecan 4	2.47245833279737	4.39046304347718	4.61827543724533e-06	0.00143300446833886
ENSOARG00000005222	101116039	CYP27B1	25-hydroxyvitamin D-1 alpha hydroxylase, mitochondrial	1.68403546346128	2.37533519507726	0.000834119588446626	0.000394336849163965
ENSOARG00000005235	101103289	GYG1	glycogenin 1	-0.996430126544534	-1.62677201767712	0.0125256086811164	0.00285965524684638
ENSOARG00000005302	101123207	DBN1	drebrin 1	-1.72934407378904	-1.45462093189634	0.000279961420660214	0.00516207038924338
ENSOARG00000005315	101120355	MMP1	matrix metallopeptidase 1	4.08497517888271	5.66926857115429	0.000337002631067167	0.000623552188592267
ENSOARG00000005336	101118864		ral guanine nucleotide dissociation stimulator	1.51233723179936	1.52746920209263	0.00515405672395991	0.00438702621806608
ENSOARG00000005419	101108206	TTC7A	tetratricopeptide repeat domain 7A	-1.28082779889285	-1.64434916321688	0.00626604275758763	0.021498454697402
ENSOARG00000005430				2.85347899127472	2.98495738031868	0.000469329813988359	0.000692324123388121
ENSOARG00000005431	101115591	MOCOS	molybdenum cofactor sulfurase	1.36393055131874	2.60818931669838	0.00630436259759059	0.000674092303444914
ENSOARG00000005475	101113441	KLC4	kinesin light chain 4	-0.845580522075436	-0.89914530327489	0.0319781383148324	0.0297253998934653
ENSOARG00000005499				2.46192736719934	1.84120826491172	8.33684236337028e-06	0.0247172746109913
ENSOARG00000005520	101101948	MAZ	MYC associated zinc finger protein	-0.836035841003122	-0.928288252370213	0.0495301629607781	0.015699525839769
ENSOARG00000005523	101122983		TNF alpha induced protein 2	3.24637991705671	1.46076763417273	2.61727419050209e-06	0.01253299948202
ENSOARG00000005525	101116274	MALT1	MALT1 paracaspase	-1.92862984784106	-1.63156671351989	0.000227760899283141	0.0106411894077817
ENSOARG00000005551	101118304	OCLN	occludin	1.25894536742165	2.67567365965073	0.0120539874400674	0.00307032949812837
ENSOARG00000005557	101102861	PLSCR1	phospholipid scramblase 1	2.51787102987693	2.27716899501488	0.000707010671808185	0.0346249321180226
ENSOARG00000005571				-1.18358740941232	-2.12886286972356	0.00130545008351348	0.000858711407315907
ENSOARG00000005599	101105327	DENND1C	DENN domain containing 1C	-1.74400281862119	-1.75884325042201	0.00402317271188049	0.00520465522229304
ENSOARG00000005613	101122077	TRAF1	TNF receptor associated factor 1	1.44892733252244	2.51519630116176	0.0056864215454496	0.000674092303444914
