ENSEMBL	ENTREZID	SYMBOL	DESCRIPTION	LPS100.vs.Ctrl.micro.logFC	LPS100.vs.Ctrl.micro.p.value
ENSOARG00000001595		TACC1	transforming acidic coiled-coil containing protein 1	0.983703675913576	0.0269678588139702
ENSOARG00000001610	101102117		CREB regulated transcription coactivator 2	0.892434472933886	0.0242633653844193
ENSOARG00000001620	101105725	BTK	Bruton tyrosine kinase	-1.18539279556255	0.00641112614832444
ENSOARG00000001641	101121189	C20orf27	chromosome 13 open reading frame, human C20orf27	-1.12675477175428	0.0102581048288905
ENSOARG00000001668	101109437	TFEC	transcription factor EC	1.56550100991822	0.0132837379534424
ENSOARG00000001669				1.13891854235684	0.0177583695387908
ENSOARG00000001674				1.35821246444259	0.042088158866888
ENSOARG00000001695	101106094	NCF2	neutrophil cytosolic factor 2	-1.16361373771386	0.0301385843357204
ENSOARG00000001740	101118767	GPR157	probable G-protein coupled receptor 157	3.11606468623203	0.00103598519713758
ENSOARG00000001750	101104347	PEAK1	pseudopodium enriched atypical kinase 1	1.31442219493757	0.0345304190134444
ENSOARG00000001783	443218	FOS	Fos proto-oncogene, AP-1 transcription factor subunit	-4.05183241427349	0.00417847229221612
ENSOARG00000001792	101111121	CD82	CD82 molecule	3.22659586658618	0.00795560798291887
ENSOARG00000001794		PGAP2	post-GPI attachment to proteins 2	-1.13751342706503	0.0118958267750841
ENSOARG00000001821	101116480	THAP9	THAP domain containing 9	-1.15996080203717	0.0423796761380231
ENSOARG00000001827	101118905	SLC25A29	solute carrier family 25 member 29	1.04223599141745	0.0316546852449435
ENSOARG00000001836		CAVIN1	caveolae associated protein 1	-0.796909341657204	0.0449414980764541
ENSOARG00000001869	101105695	TREM1	triggering receptor expressed on myeloid cells 1	2.65947623928033	0.00689740055785302
ENSOARG00000001875	101120931	CARD14	caspase recruitment domain family member 14	-2.14562486334659	0.0062065153845808
ENSOARG00000001909				1.59468302768278	0.0374151924389541
ENSOARG00000001914	780508	ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)	-1.3892134452254	0.00933772269184445
ENSOARG00000001941	101110458	LOC101110458	serpin B6	1.29431754080784	0.010790748950002
ENSOARG00000001965	101119091	CARS	cysteinyl-tRNA synthetase	1.67931474602905	0.0210600798863179
ENSOARG00000002056	101105855	PTPN9	protein tyrosine phosphatase, non-receptor type 9	2.43676176442479	0.00217032260581984
ENSOARG00000002060	101116207	DCAF17	DDB1 and CUL4 associated factor 17	-1.42347443908329	0.0239702658820517
ENSOARG00000002088	101107151	GRK5	G protein-coupled receptor kinase 5	-3.62378818560251	0.00528793228888001
ENSOARG00000002105	101112322	GPATCH2L	G-patch domain containing 2 like	1.20915975213809	0.00946715616765112
ENSOARG00000002145	101108246	DYNC1LI2	dynein cytoplasmic 1 light intermediate chain 2	1.04917738733823	0.0167627178650603
ENSOARG00000002146	101118909	C11orf54	chromosome 21 open reading frame, human C11orf54	-1.38665148087377	0.0164306467577852
ENSOARG00000002158	101112736	VASH1	vasohibin 1	1.54568327582442	0.00520931335153727
ENSOARG00000002191	101102252	NAGLU	N-acetyl-alpha-glucosaminidase	-1.04657478209903	0.0140107154493645
ENSOARG00000002217	101123656		putative killer cell immunoglobulin-like receptor like protein KIR3DP1	-0.933949044226492	0.0378970937301802
ENSOARG00000002269	101109807	IRF2BPL	interferon regulatory factor 2 binding protein like	-1.14851764988697	0.0261480420416082
ENSOARG00000002353	101109960	LRRC4	leucine rich repeat containing 4	3.7064775459357	0.000377673277383185
ENSOARG00000002462	101117217	GPAT4	glycerol-3-phosphate acyltransferase 4	1.13735678011159	0.0359523115508257
ENSOARG00000002463	101108098	LXN	latexin	-2.68733318320013	0.000243329504031691
ENSOARG00000002543	101121512	MRNIP	MRN complex interacting protein	-1.16715256990972	0.0126665963802016
ENSOARG00000002560				2.13231053309672	0.0425619920030757
ENSOARG00000002563	101107342	LOC101107342	cartilage intermediate layer protein 2	-2.35508660679825	0.0308307851241318
ENSOARG00000002619	101104735	CLEC4D	C-type lectin domain family 4 member D	3.70699293391164	0.00138121688742661
ENSOARG00000002627	100188914	ATRN	attractin	1.63447094538543	0.0126777806372822
ENSOARG00000002654		CBX8	chromobox 8	-1.58367534039975	0.0346634666224731
ENSOARG00000002718	100135686	CLEC4E	C-type lectin domain family 4 member E	3.27523932676114	0.00240256221298075
ENSOARG00000002730	101111735		F-box and leucine rich repeat protein 8	-1.84157556222698	0.00682302966999129
ENSOARG00000002750	101119875	ZFAND4	zinc finger AN1-type containing 4	-1.2720954293716	0.0296538396432783
ENSOARG00000002810				-1.49001733257203	0.0242446941667615
ENSOARG00000002849				-0.823561381891931	0.0451377976187452
ENSOARG00000002877	101107725	SLC9A5	solute carrier family 9 member A5	0.973032212839718	0.0424959433115777
ENSOARG00000002903	101115532		transmembrane BAX inhibitor motif containing 4	1.01864325599848	0.0332450363027949
ENSOARG00000002959		FSCN1	fascin actin-bundling protein 1	2.2127299799992	0.0126683006303516
ENSOARG00000002994	101112942	CLN3	CLN3, battenin	1.85392953451163	0.00566447423591815
ENSOARG00000003065	101102245	MTHFD1L	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1 like	-1.20353005684981	0.0104560114596291
ENSOARG00000003124	101122247	APOBR	apolipoprotein B receptor	2.07351713839366	0.00641005468946323
ENSOARG00000003126	101104627	PBXIP1	pre-B-cell leukemia transcription factor-interacting protein 1	-0.798464128417236	0.0483965934256214
ENSOARG00000003167	101105277	LCP2	lymphocyte cytosolic protein 2	1.30213180169496	0.0203852346302724
ENSOARG00000003184	101113556	NUPR1	nuclear protein 1, transcriptional regulator	1.79752089441309	0.0137414759802901
ENSOARG00000003196				-1.06951351662344	0.039055355016834
ENSOARG00000003213		FAM241A	family with sequence similarity 241 member A	1.67776170030585	0.0324827011865405
ENSOARG00000003230	101121061	C3orf33	chromosome 1 open reading frame, human C3orf33	-1.91034173379327	0.0120104559783884
ENSOARG00000003265	101111686	SPRTN	SprT-like N-terminal domain	0.906017843705915	0.0368685587346193
ENSOARG00000003284	101120053	FASTKD1	FAST kinase domains 1	-1.12205400289472	0.0371195726173705
ENSOARG00000003287	101117698	DGKZ	diacylglycerol kinase zeta	-1.10592461058182	0.00636310054809503
ENSOARG00000003308	101105941	ZNF667	zinc finger protein 667	-1.19706159941259	0.0274821651974481
ENSOARG00000003340				2.55073177228363	0.00226104693498595
ENSOARG00000003365	101107075	FGR	FGR proto-oncogene, Src family tyrosine kinase	1.51357646674172	0.0377352901443826
ENSOARG00000003386	101118850	VDAC3	voltage dependent anion channel 3	1.35719931707544	0.0185140366996274
ENSOARG00000003387	101119468	UIMC1	ubiquitin interaction motif containing 1	-0.973363466214676	0.0390023186839832
ENSOARG00000003393	101112747	USP36	ubiquitin specific peptidase 36	-1.13518540315131	0.0106310562230134
ENSOARG00000003417	101115739	EHMT2	euchromatic histone lysine methyltransferase 2	-1.11022562181674	0.00893228294806698
ENSOARG00000003435		VWA1	von Willebrand factor A domain containing 1	-1.9411362795313	0.0338741565037365
ENSOARG00000003479	101112156	TANGO6	transport and golgi organization 6 homolog	-1.00765608112287	0.0493283187823137
ENSOARG00000003491	101102693	CDIP1	cell death inducing p53 target 1	-0.93261122115485	0.0414086308715924
ENSOARG00000003496	101114670	TBCE	tubulin folding cofactor E	-1.3918505211505	0.00764338716623063
ENSOARG00000003501	101117752	PDK4	pyruvate dehydrogenase kinase 4	-4.44214519040847	0.00367720544726532
ENSOARG00000003550	101113737	MAP3K6	mitogen-activated protein kinase kinase kinase 6	-1.59813239064809	0.00524818252047976
ENSOARG00000003572	101115714	RPS6KA5	ribosomal protein S6 kinase A5	-1.40747378797759	0.0137282355761696
ENSOARG00000003588	101105936	THNSL1	threonine synthase like 1	-1.26787113194524	0.0289381376911027
ENSOARG00000003589	101123347	HOOK3	hook microtubule tethering protein 3	1.09056053875689	0.0121484885701397
ENSOARG00000003591	101113952	NFAT5	nuclear factor of activated T cells 5	2.23747645869404	0.0215493071982622
ENSOARG00000003601	101121876	NQO1	NAD(P)H quinone dehydrogenase 1	-1.25594512861514	0.0140525795580991
ENSOARG00000003605	101117727	GPR137B	G protein-coupled receptor 137B	-0.920316636213241	0.0284553312887024
ENSOARG00000003666	101113692	ASXL1	ASXL transcriptional regulator 1	2.1694444758146	0.000623552188592267
ENSOARG00000003705	101106057	CLIC2	chloride intracellular channel 2	1.79474098765934	0.00697246860896925
ENSOARG00000003760	101102664	DHODH	dihydroorotate dehydrogenase (quinone)	-1.13711977761696	0.0491159961141803
ENSOARG00000003775	101121723	FOLH1	folate hydrolase 1B	1.23909191901587	0.0471340392223529
ENSOARG00000003792	101104317	ANGPTL4	angiopoietin like 4	1.56753449257009	0.0390688776007055
ENSOARG00000003809	101111414	SMAD7	SMAD family member 7	2.03325437245333	0.00973791175724252
ENSOARG00000003811	101103172	ZNF821	zinc finger protein 821	1.35767049218609	0.0195357066173334
ENSOARG00000003835	101103806	MARCH2	membrane associated ring-CH-type finger 2	-0.869690251440133	0.0381816113120367
ENSOARG00000003836	494435	SLC9A1	solute carrier family 9 member A1	-1.49982512021558	0.0387532424983694
ENSOARG00000003908	101105408	IRF5	interferon regulatory factor 5	1.64365370203926	0.00616396195462487
ENSOARG00000003955	101109595	GPATCH3	G-patch domain containing 3	0.823352580459695	0.0426111876469302
ENSOARG00000003975	101101901	EVI2A	ecotropic viral integration site 2A	-1.24136305219972	0.0305298801249727
ENSOARG00000003991	101123474	EVI2B	ecotropic viral integration site 2B	-1.32657551042261	0.00999417087528145
ENSOARG00000004051	101104259	DVL1	dishevelled segment polarity protein 1	-1.13216068594305	0.0149079268771731
ENSOARG00000004068	101121713	AP1B1	adaptor related protein complex 1 subunit beta 1	-0.833779145698045	0.0361612340864935
ENSOARG00000004075	101111584	NISCH	nischarin	-1.54551219886007	0.0017479659362023
ENSOARG00000004088	101118780	SLC25A13	solute carrier family 25 member 13	-0.970554259489045	0.0275932093390013
ENSOARG00000004110	101104760	LACTB2	lactamase beta 2	-1.51536195645009	0.00283874757780886
ENSOARG00000004112	101107451	TRAF4	TNF receptor associated factor 4	2.11745144408056	0.0153520031076631
ENSOARG00000004122	101121677	RAB24	RAB24, member RAS oncogene family	1.28859134099477	0.0438304965665612
ENSOARG00000004123		KCNG2	potassium voltage-gated channel modifier subfamily G member 2	-2.29477562435567	0.00448225640469778
ENSOARG00000004134		MED12L	mediator complex subunit 12 like	1.35974740785798	0.0126665963802016
ENSOARG00000004139	101114032		uncharacterized LOC101114032	4.38229571490585	0.000855698766207501
ENSOARG00000004175	101101932	FZD4	frizzled class receptor 4	-3.11199358463265	0.002199138687687
ENSOARG00000004182	101114794	ELK4	ELK4, ETS transcription factor	1.8185118912442	0.00524818252047976
ENSOARG00000004217	101115651	CKAP5	cytoskeleton associated protein 5	1.45062645037645	0.0332450363027949
ENSOARG00000004237	443211	G6PD	glucose-6-phosphate dehydrogenase	-0.984694895699541	0.0364129488577176
ENSOARG00000004246	101110884	CNPY3	canopy FGF signaling regulator 3	-1.44610713361261	0.011351840878901
ENSOARG00000004252	101120571	ILVBL	ilvB acetolactate synthase like	-1.21304925104133	0.0207458220305526
ENSOARG00000004277				2.78116039770693	0.00422148412198834
ENSOARG00000004348	101111978	CLYBL	citrate lyase beta like	-1.29977052761611	0.0237997775188102
ENSOARG00000004375	101114101	AHCYL2	adenosylhomocysteinase like 2	1.57341211128426	0.0159274931411218
ENSOARG00000004386	101111731	FLRT3	fibronectin leucine rich transmembrane protein 3	-2.21023606261664	0.0233925556557684
ENSOARG00000004429	101108935	IVNS1ABP	influenza virus NS1A binding protein	-1.95384958796114	0.00243024898439984
ENSOARG00000004469	101109975	TAGAP	T cell activation RhoGTPase activating protein	2.40819267503889	0.00782720451942678
ENSOARG00000004490	101105908	STRIP2	striatin interacting protein 2	2.5197835645842	0.00397033508557617
ENSOARG00000004525	101121346	RNF187	ring finger protein 187	-1.26448703304706	0.0479010581738525
ENSOARG00000004544	101113608	VAT1	vesicle amine transport 1	-1.19309657152256	0.0095303030040072
ENSOARG00000004546				1.28511412919934	0.0169522938223702
ENSOARG00000004559	101118636	DCUN1D5	defective in cullin neddylation 1 domain containing 5	1.40419654179281	0.0240542865638692
ENSOARG00000004561	101112235	TMTC4	transmembrane and tetratricopeptide repeat containing 4	-1.63135284554543	0.0226446790642414
ENSOARG00000004591	101117041	HIRIP3	HIRA interacting protein 3	-0.978855020821236	0.0249595342987232
ENSOARG00000004686	101120073	ASNS	asparagine synthetase (glutamine-hydrolyzing)	1.44532879321697	0.0095303030040072
ENSOARG00000004691	100302077	RAB21	RAB21, member RAS oncogene family	0.937096419495921	0.0498637157199559
ENSOARG00000004716	101123430	TIMM21	translocase of inner mitochondrial membrane 21	-0.936951723612628	0.0312875136388233
ENSOARG00000004778	101115024	UBE2H	ubiquitin conjugating enzyme E2 H	1.19521096730234	0.022587118195366
ENSOARG00000004783	101103843	CMKLR1	chemerin chemokine-like receptor 1	-2.73558630618022	0.0055146664965768
ENSOARG00000004785	101102896	PIK3CG	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma	1.69485566555155	0.00896262286974676
ENSOARG00000004845	101119778	C18orf54	chromosome 23 open reading frame, human C18orf54	1.06535736925075	0.048809929846626
ENSOARG00000004895	101114530	RPS6KA2	ribosomal protein S6 kinase A2	-1.29337050297428	0.0333115720630207
ENSOARG00000004923	101108377	EMG1	EMG1, N1-specific pseudouridine methyltransferase	1.29140960817484	0.0411110132705856
ENSOARG00000004941	101105627	PBLD	phenazine biosynthesis like protein domain containing	-1.18641078584662	0.0202940015538356
ENSOARG00000004950	101106423	KLHDC10	kelch domain containing 10	1.34533111517437	0.00456992343538293
ENSOARG00000004963	101115978	RAB7B	RAB7B, member RAS oncogene family	-1.98096919850455	0.0118708218274234
ENSOARG00000004978	100036758	TRAF3	TNF receptor associated factor 3	1.81905385986111	0.00226745871113564
ENSOARG00000004983	101107354	VAV1	vav guanine nucleotide exchange factor 1	1.15724121240064	0.0138595533391945
ENSOARG00000005064	101117411	HERPUD2	HERPUD family member 2	-1.29903612168994	0.0151633868579008
ENSOARG00000005093	101121729	ARHGEF2	Rho/Rac guanine nucleotide exchange factor 2	1.1282815874369	0.0278395157962776
ENSOARG00000005112	101122241	HPS3	HPS3, biogenesis of lysosomal organelles complex 2 subunit 1	-0.98025607412838	0.0215099415425377
ENSOARG00000005162	101107865	TRIP10	thyroid hormone receptor interactor 10	1.58020360841678	0.0104495119531471
ENSOARG00000005164	101107544	HCST	hematopoietic cell signal transducer	1.65613584875309	0.0344810515254814
ENSOARG00000005172	101107153	LOC101107153	cytochrome c oxidase copper chaperone	1.76362697842096	0.0340793948546665
ENSOARG00000005186	101115529	EEF1AKMT3	EEF1A lysine methyltransferase 3	1.34331027473124	0.021498454697402
ENSOARG00000005223	101117263	DESI2	desumoylating isopeptidase 2	1.04916981412818	0.0332450363027949
ENSOARG00000005242	101119471	GRPEL2	GrpE like 2, mitochondrial	1.15631981333449	0.0251366437954318
ENSOARG00000005280	101115500	ATP8B1	ATPase phospholipid transporting 8B1	1.33019679836143	0.0345733589510487
ENSOARG00000005288	101115087	KIAA1328	KIAA1328 ortholog	1.51401354443999	0.00477528132977449
ENSOARG00000005295				-0.926322887718755	0.0474400945664282
ENSOARG00000005297	443230	CALM2	calmodulin 2	-1.08602975020426	0.0302150403951891
ENSOARG00000005305	101102902	ADGRA3	adhesion G protein-coupled receptor A3	1.03554148260961	0.0364129488577176
ENSOARG00000005308	101108929	PDK2	pyruvate dehydrogenase kinase 2	-1.38515856035538	0.0100647875144637
ENSOARG00000005317	101106255	COG5	component of oligomeric golgi complex 5	-0.809303391270504	0.0409099633658667
ENSOARG00000005377				1.81696760516393	0.0148834298153324
ENSOARG00000005457	101115259	STOM	stomatin	-1.1809036067493	0.0331844593324822
ENSOARG00000005502				3.3413775550667	0.00103660013539391
ENSOARG00000005517				1.36316757547951	0.00912827657138948
ENSOARG00000005521	101123416	IL17RC	interleukin 17 receptor C	0.99118685546215	0.0386209329146568
ENSOARG00000005570	101116923	IKBKE	inhibitor of nuclear factor kappa B kinase subunit epsilon	1.10087441537232	0.0126684901409974
ENSOARG00000005579	101123594	SEMA4A	semaphorin 4A	2.57059110024365	0.0234307860235286
ENSOARG00000005604	101111572	PSMD8	proteasome 26S subunit, non-ATPase 8	1.34697803380307	0.0183802749833336
ENSOARG00000005608	101102276	PMF1-BGLAP	polyamine-modulated factor 1	-1.00834464232624	0.0373752016473937
ENSOARG00000005657	101119127	TSC1	TSC complex subunit 1	1.0699891726457	0.00908730924352035
ENSOARG00000005665	101111135	PTK7	protein tyrosine kinase 7 (inactive)	-1.44694507081933	0.0452192814342875
ENSOARG00000005689	101119672	CCDC125	coiled-coil domain containing 125	-1.31889199786932	0.0426843881035634
ENSOARG00000005722	443286	EPAS1	endothelial PAS domain protein 1	1.75355151386908	0.0385743849420344
ENSOARG00000005756	101123181	BRINP1	BMP/retinoic acid inducible neural specific 1	1.59113386270668	0.0231098183009625
ENSOARG00000005757	101111402	SRF	serum response factor	1.10541545832714	0.0239702658820517
ENSOARG00000005786	101112354		protein phosphatase, Mg2+/Mn2+ dependent 1M	-1.0586451084752	0.00900203285470786
ENSOARG00000005958		SRBD1	S1 RNA binding domain 1	-1.1075082379239	0.049344299037867
ENSOARG00000005963	101117343	ARL11	ADP ribosylation factor like GTPase 11	1.31538503934961	0.0222825017933807
ENSOARG00000006117	101114819	SLC41A3	solute carrier family 41 member 3	-1.27901606545672	0.00424839597364513
ENSOARG00000006133	101108407	TNFRSF4	TNF receptor superfamily member 4	1.58311847690387	0.0353645937545752
ENSOARG00000006153		PDGFA	platelet derived growth factor subunit A	1.97500601813243	0.0413132600168976
ENSOARG00000006205	101102074	SEPT9	septin 9	-1.27250081770608	0.0132837379534424
ENSOARG00000006285	101103106	DEAF1	DEAF1 transcription factor	-0.840424469823159	0.049344299037867
ENSOARG00000006292	443342	IL10	interleukin 10	1.97809470153816	0.00982774704862837
ENSOARG00000006293				1.46927593380471	0.0265470349790715
ENSOARG00000006302	101114836	B4GALT6	beta-1,4-galactosyltransferase 6	1.87798457265565	0.0148250385823418
ENSOARG00000006316	101118887	SDCCAG8	serologically defined colon cancer antigen 8	-1.12311099988891	0.0159274931411218
ENSOARG00000006331				-1.63567664604324	0.0106225827244739
ENSOARG00000006343	101106821	XRN1	5'-3' exoribonuclease 1	1.19787020203467	0.0160928704830583
ENSOARG00000006376	101108235	LY96	lymphocyte antigen 96	1.71441879036243	0.0115533883691929
ENSOARG00000006405	101113088	UBE4B	ubiquitination factor E4B	-1.01979126826826	0.0388517003670842
ENSOARG00000006415	101114574	SFR1	SWI5 dependent homologous recombination repair protein 1	-1.25203621799935	0.0213130006642755
ENSOARG00000006427	101119554	PLXNA4	plexin A4	2.32381562875962	0.000865409401671508
ENSOARG00000006435	101115514	CLIC4	chloride intracellular channel 4	1.19901848244993	0.011830074536516
ENSOARG00000006438				1.88951104583366	0.0268649981056682
ENSOARG00000006486	101104603	SREK1IP1	SREK1 interacting protein 1	1.16673543145643	0.039055355016834
ENSOARG00000006514	101115892	FRMD4A	FERM domain containing 4A	1.52908800139473	0.0197683033166492
ENSOARG00000006641				1.93809804993609	0.0301379026908408
ENSOARG00000006643	101108362	RASA2	RAS p21 protein activator 2	2.448090565002	0.0238516203050758
ENSOARG00000006666	101102342	MTMR14	myotubularin related protein 14	-0.775593458586578	0.0346249321180226
ENSOARG00000006681	101117367	EGLN3	egl-9 family hypoxia inducible factor 3	1.73269186000562	0.0489995108730239
ENSOARG00000006689				2.32719829814406	0.0273713596697864
ENSOARG00000006702	101107037		tyrosine-protein phosphatase non-receptor type 11-like	1.34501329644417	0.0374151924389541
ENSOARG00000006773	101123005	ZNF689	zinc finger protein 689	-1.68727686555842	0.00614800718708154
ENSOARG00000006813	101105629	VEGFC	vascular endothelial growth factor C	2.70929675092769	0.0260265902352432
ENSOARG00000006830	101102232	IL27RA	interleukin 27 receptor subunit alpha	-0.941927426818725	0.0243127071705954
ENSOARG00000006840	101107044	DIMT1	DIM1 dimethyladenosine transferase 1 homolog	-0.867028737274235	0.0256296711200407
ENSOARG00000006885	101115726	NEURL2	neuralized E3 ubiquitin protein ligase 2	-2.19742543110129	0.0269678588139702
ENSOARG00000006922	101103943	FBRS	fibrosin	1.10488639114146	0.0108169202754971
ENSOARG00000006924	101118301	CELF1	CUGBP Elav-like family member 1	1.2134036207007	0.0162685293273511
ENSOARG00000006933	101116780	RSF1	remodeling and spacing factor 1	0.966057532981152	0.0229172385181844
ENSOARG00000006976	101121382	TCEANC2	transcription elongation factor A N-terminal and central domain containing 2	-1.22474815057396	0.0315047766849125
ENSOARG00000006979	101104587	RHBDF2	rhomboid 5 homolog 2	1.73250048273814	0.00586333954588183
ENSOARG00000006990	101110720	CCNJ	cyclin J	1.66831994684597	0.0189628850572386
ENSOARG00000007033	101119699	HMGCL	3-hydroxy-3-methylglutaryl-CoA lyase	-0.93651855992591	0.0387532424983694
ENSOARG00000007070	101114822	GCLC	glutamate-cysteine ligase catalytic subunit	-2.0620576002111	0.0136696364447639
ENSOARG00000007134	101121362	HOXB2	homeobox B2	1.49308590883353	0.0293231574273551
ENSOARG00000007158				-1.45707561588915	0.00255774107863295
ENSOARG00000007168	554325	PYGB	glycogen phosphorylase B	-0.985756136547952	0.0274821651974481
ENSOARG00000007234	101110619	PLK2	polo like kinase 2	2.27284403294497	0.0100556263086614
ENSOARG00000007237	101120903	ELOA	elongin A	1.23836794466706	0.0325592997307925
ENSOARG00000007245	101109759	PIK3CB	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta	1.59137988885791	0.0436975639138785
ENSOARG00000007280	101110876		SEC14 like lipid binding 2	1.36541797358525	0.0356384105720291
ENSOARG00000007289		STK35	serine/threonine kinase 35	1.45411469045594	0.0107307354530129
ENSOARG00000007313	101104064	GMIP	GEM interacting protein	-0.99581883822148	0.0159274931411218
ENSOARG00000007371		NIPSNAP3A	nipsnap homolog 3A	-1.99037905335659	0.00367720544726532
ENSOARG00000007373	101116819	MTA3	metastasis associated 1 family member 3	0.904674571690334	0.0311611590678467
ENSOARG00000007396	101118838	OSBPL1A	oxysterol binding protein like 1A	-1.40798222059622	0.0450603128142909
ENSOARG00000007405	101119740	C4BPA	complement component 4 binding protein alpha	0.877475353472565	0.0297253998934653
ENSOARG00000007435		PRPSAP1	phosphoribosyl pyrophosphate synthetase associated protein 1	-1.11364208202576	0.00750064798829837
ENSOARG00000007459	101116956	NUDT13	nudix hydrolase 13	-1.54284360577991	0.023041448260337
ENSOARG00000007525	101102750	AXL	AXL receptor tyrosine kinase	-1.01255024346941	0.0192552693040036
ENSOARG00000007615	101103343	LOC101103343	carcinoembryonic antigen-related cell adhesion molecule 6	-1.47877723422922	0.0171740306484172
ENSOARG00000007626	101123647	AKAP1	A-kinase anchoring protein 1	-1.02992374698234	0.0346249321180226
